,Unnamed: 0,index,Recipients,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Padma Shri State Tel,Padma Shri Field Tel,Padma Shri Awarded By Tel
14,14,14,A. S. Kiran Kumar,"Gujarat, India",Science and Engineering,Pranab Mukherjee,,,,,,,"గుజరాత్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ప్రణబ్ ముఖర్జీ
15,15,15,A. Sankara Reddy,Delhi/India,Literature and Education,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
16,16,16,A. Sivasailam,"Tamil Nadu, India",Trade and Industry,A. P. J. Abdul Kalam,,,,,,,"తమిళనాడు, భారతదేశం",వాణిజ్యం మరియు పరిశ్రమ,ఎ. పి. జె. అబ్దుల్ కలాం
17,17,17,A. Sivathanu Pillai,Delhi,Science and Engineering,K. R. Narayanan,Delhi,Science and Engineering,Pranab Mukherjee,,,,ఢిల్లీ,సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
18,18,18,A. Sreedhara Menon,,,,"Kerala, India",Literature and Education,Pratibha Patil,,,,,,
19,19,19,A. V. Rama Rao,Andhra Pradesh,Science and Engineering,R. Venkataraman,Andhra Pradesh,Science and Engineering,Pranab Mukherjee,,,,ఆంధ్రప్రదేశ్,సైన్స్ అండ్ ఇంజినీరింగ్,ఆర్. వెంకటరమణ
20,20,20,A. Vithal alias Dhananjay Keer,,,,"Maharashtra, India",Literature and Education,V. V. Giri,,,,,,
21,21,21,Aamir Khan,Maharashtra,Arts,A. P. J. Abdul Kalam,Maharashtra,Arts,Pratibha Patil,,,,మహారాష్ట్ర,ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
22,22,22,Aamir Raza Husain,Delhi/India,Arts,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,కె. ఆర్. నారాయణన్
23,23,23,Abdul Gafur Khatri,"Gujarat, India",Arts,Ram Nath Kovind,,,,,,,"గుజరాత్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
24,24,24,Abdul Halim Jaffer Khan,Maharashtra,Arts,V. V. Giri,Maharashtra,Arts,A. P. J. Abdul Kalam,,,,మహారాష్ట్ర,ఆర్ట్స్,వి. వి. గిరి
25,25,25,Abdul Jabbar Khan,"Madhya Pradesh, India",Social Work,Ram Nath Kovind,,,,,,,"మధ్యప్రదేశ్, భారత్",సామాజిక పని,రామ్ నాథ్ కోవింద్
26,26,26,Abdul Karim Parekh,,,,"Maharashtra, India",Social Work,K. R. Narayanan,,,,,,
27,27,27,Abdul Latif Khan,"Madhya Pradesh, India",Arts,K. R. Narayanan,,,,,,,"మధ్యప్రదేశ్, భారత్",ఆర్ట్స్,కె. ఆర్. నారాయణన్
28,28,28,Abdul Rashid Khan,,,,"West Bengal, India",Arts,Pranab Mukherjee,,,,,,
29,29,29,Abhay Chhajlani,"Madhya Pradesh, India",Literature and Education,Pratibha Patil,,,,,,,"మధ్యప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
30,30,30,Abhay and Rani Bang,"Maharashtra, India",Medicine,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,రామ్ నాథ్ కోవింద్
31,31,31,Abhijit Sen,,,,Delhi/India,Public Affairs,Pratibha Patil,,,,,,
32,32,32,Abhinav Bindra,,,,"Punjab, India",Sports,Pratibha Patil,,,,,,
33,33,33,Abhiraj Rajendra Mishra,"Himachal Pradesh, India",Literature and Education,Ram Nath Kovind,,,,,,,"హిమాచల్ ప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,రామ్ నాథ్ కోవింద్
34,34,34,Abid Hussain,,,,Delhi,Civil Service,R. Venkataraman,,,,,,
35,35,35,Achamma Mathai,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,"మహారాష్ట్ర, భారత్",ప్రజా వ్యవహారాలు,రాజేంద్ర ప్రసాద్
36,36,36,Acharya Kakasaheb Kalelkar,,,,,,,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,
37,37,37,Acharya Ramamurti,"Bihar, India",Social Work,K. R. Narayanan,,,,,,,"బీహార్, భారత్",సామాజిక పని,కె. ఆర్. నారాయణన్
38,38,38,Acharya Shivpujan Sahay,,,,"Bihar, India",Literature and Education,Rajendra Prasad,,,,,,
39,39,39,Acharya Vishva Bandhu,,,,"Uttar Pradesh, India",Literature and Education,Zakir Husain (politician),,,,,,
40,40,40,Achyut Madhav Gokhale,Delhi/India,Civil Service,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,సివిల్ సర్వీస్,ఆర్. వెంకటరమణ
41,41,41,Achyut Purushottam Kanvinde,Delhi/India,Science and Engineering,V. V. Giri,,,,,,,ఢిల్లీ/ఇండియా,సైన్స్ అండ్ ఇంజినీరింగ్,వి. వి. గిరి
42,42,42,Adarsh Sein Anand,,,,,,,"Uttar Pradesh, India",Public Affairs,Pratibha Patil,,,
43,43,43,Adi Godrej,,,,"Maharashtra, India",Trade and Industry,Pranab Mukherjee,,,,,,
44,44,44,Adi M. Sethna,,,,Delhi/India,Civil Service,Zail Singh,,,,,,
45,45,45,Adi Pherozeshah Marzban,"Maharashtra, India",Arts,Sarvepalli Radhakrishnan,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,సర్వేపల్లి రాధాకృష్ణన్
46,46,46,Adinath Lahiri,West Bengal,Trade and Industry,Rajendra Prasad,West Bengal,Science and Engineering,Zakir Husain (politician),,,,పశ్చిమ బెంగాల్,వాణిజ్యం మరియు పరిశ్రమ,రాజేంద్ర ప్రసాద్
47,47,47,Aditya Narayan Purohit,"Uttarakhand, India",Science and Engineering,K. R. Narayanan,,,,,,,"ఉత్తరాఖండ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
48,48,48,Aditya Nath Jha,,,,,,,"Uttar Pradesh, India",Public Affairs,V. V. Giri,,,
49,49,49,Adnan Sami,"Maharashtra, India",Arts,Ram Nath Kovind,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
50,50,50,Adoor Gopalakrishnan,Kerala,Arts,Zail Singh,,,,Kerala,Arts,A. P. J. Abdul Kalam,కేరళ,ఆర్ట్స్,జైల్ సింగ్
51,51,51,Adya Rangacharya,,,,"Karnataka, India",Literature and Education,V. V. Giri,,,,,,
52,52,52,Adyar K. Lakshman,"Tamil Nadu, India",Arts,R. Venkataraman,,,,,,,"తమిళనాడు, భారతదేశం",ఆర్ట్స్,ఆర్. వెంకటరమణ
53,53,53,Agus Indra Udayana,,Social Work,Ram Nath Kovind,,,,,,,,సామాజిక పని,రామ్ నాథ్ కోవింద్
54,54,54,Ahalya Chari,"Tamil Nadu, India",Literature and Education,Zail Singh,,,,,,,"తమిళనాడు, భారతదేశం",సాహిత్యం మరియు విద్య,జైల్ సింగ్
55,55,55,Ahindra Choudhury,"West Bengal, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సాహిత్యం మరియు విద్య,సర్వేపల్లి రాధాకృష్ణన్
56,56,56,Ahmed Jan Thirakwa,,,,"Uttar Pradesh, India",Arts,V. V. Giri,,,,,,
57,57,57,Ajai Chowdhry,,,,Delhi/India,Trade and Industry,Pratibha Patil,,,,,,
58,58,58,Ajay K. Sood,"Karnataka, India",Science and Engineering,Pranab Mukherjee,,,,,,,"కర్ణాటక, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,ప్రణబ్ ముఖర్జీ
59,59,59,Ajay Kumar Parida,"Tamil Nadu, India",Science and Engineering,Pranab Mukherjee,,,,,,,"తమిళనాడు, భారతదేశం",సైన్స్ అండ్ ఇంజినీరింగ్,ప్రణబ్ ముఖర్జీ
60,60,60,Ajay Thakur,"Himachal Pradesh, India",Sports,Ram Nath Kovind,,,,,,,"హిమాచల్ ప్రదేశ్, భారత్",క్రీడలు,రామ్ నాథ్ కోవింద్
61,61,61,Ajeet Bajaj,"Haryana, India",Sports,Pratibha Patil,,,,,,,"హర్యానా, భారతదేశం",క్రీడలు,ప్రతిభా పాటిల్
62,62,62,Ajit Chandra Chatterjee,"West Bengal, India",Civil Service,Fakhruddin Ali Ahmed,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సివిల్ సర్వీస్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
63,63,63,Ajit Kumar Basu,"West Bengal, India",Medicine,V. V. Giri,,,,,,,"పశ్చిమ బెంగాల్, భారత్",మెడిసిన్,వి. వి. గిరి
64,64,64,Ajit Pal Singh,Delhi/India,Sports,R. Venkataraman,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,ఆర్. వెంకటరమణ
65,65,65,Ajit Ram Verma,,,,Delhi/India,Science and Engineering,Neelam Sanjiva Reddy,,,,,,
66,66,66,Ajit Wadekar,"Maharashtra, India",Sports,V. V. Giri,,,,,,,"మహారాష్ట్ర, భారత్",క్రీడలు,వి. వి. గిరి
67,67,67,Ajoy Chakrabarty,West Bengal,Arts,Pratibha Patil,West Bengal,Arts,Ram Nath Kovind,,,,పశ్చిమ బెంగాల్,ఆర్ట్స్,ప్రతిభా పాటిల్
68,68,68,Ajoy Kumar Dutta,"Assam, India",Social Work,Pranab Mukherjee,,,,,,,"అసోం, ఇండియా",సామాజిక పని,ప్రణబ్ ముఖర్జీ
69,69,69,Ajoy Kumar Mukherjee,,,,,,,"West Bengal, India",Public Affairs,Fakhruddin Ali Ahmed,,,
70,70,70,Ajudhiya Nath Khosla,,,,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,
71,71,71,Akbar Ali Khan,,,,"Andhra Pradesh, India",Public Affairs,Sarvepalli Radhakrishnan,,,,,,
72,72,72,Akbar Padamsee,,,,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
73,73,73,Akhlaqur Rahman Kidwai,,,,,,,Delhi/India,Public Affairs,Pratibha Patil,,,
74,74,74,Akhtar Mohiuddin,Jammu & Kashmir/India,Literature and Education,Zakir Husain (politician),,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సాహిత్యం మరియు విద్య,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
75,75,75,Akhtarul Wasey,Delhi/India,Literature and Education,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
76,76,76,Akkineni Nageswara Rao,Andhra Pradesh,Arts,Zakir Husain (politician),Andhra Pradesh,Arts,R. Venkataraman,Andhra Pradesh,Arts,Pratibha Patil,ఆంధ్రప్రదేశ్,ఆర్ట్స్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
77,77,77,Akkitham Achuthan Namboothiri,"Kerala, India",Literature and Education,Pranab Mukherjee,,,,,,,"కేరళ, భారత్",సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
78,78,78,Akshay Kumar,"Maharashtra, India",Arts,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ప్రతిభా పాటిల్
79,79,79,Akshay Kumar Jain,,,,Delhi/India,Literature and Education,Sarvepalli Radhakrishnan,,,,,,
80,80,80,Alagappa Chettiar,,,,"Tamil Nadu, India",Social Work,Rajendra Prasad,,,,,,
81,81,81,Alaka Keshav Deshpande,"Maharashtra, India",Medicine,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,కె. ఆర్. నారాయణన్
82,82,82,Alarmel Valli,Tamil Nadu,Arts,R. Venkataraman,Tamil Nadu,Arts,A. P. J. Abdul Kalam,,,,తమిళనాడు,ఆర్ట్స్,ఆర్. వెంకటరమణ
83,83,83,Ale Ahmad Suroor,,,,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,,,,
84,84,84,Alexander Kadakin,,,,Moldova,Public Affairs,Ram Nath Kovind,,,,,,
85,85,85,Ali Akbar Khan,,,,West Bengal,Arts,Sarvepalli Radhakrishnan,West Bengal,Arts,R. Venkataraman,,,
86,86,86,Ali Jawad Zaidi,"Uttar Pradesh, India",Literature and Education,R. Venkataraman,,,,,,,"ఉత్తరప్రదేశ్, భారత్",సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
87,87,87,Ali Manikfan,Lakshadweep/India,Grassroots Innovation,Ram Nath Kovind,,,,,,,లక్షద్వీప్/ఇండియా,గ్రాస్ రూట్స్ ఇన్నోవేషన్,రామ్ నాథ్ కోవింద్
88,88,88,Ali Sardar Jafri,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,సర్వేపల్లి రాధాకృష్ణన్
89,89,89,Ali Yavar Jung,,,,Maharashtra,Civil Service,Rajendra Prasad,Andhra Pradesh,Public Affairs,Fakhruddin Ali Ahmed,,,
90,90,90,Alice Boner,,,,,Arts,V. V. Giri,,,,,,
91,91,91,Alka Kriplani,Delhi/India,Medicine,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రణబ్ ముఖర్జీ
92,92,92,Alla Rakha,Jammu & Kashmir/India,Arts,Fakhruddin Ali Ahmed,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
93,93,93,Allah Jilai Bai,"Rajasthan, India",Arts,Neelam Sanjiva Reddy,,,,,,,"రాజస్థాన్, భారత్",ఆర్ట్స్,నీలం సంజీవ రెడ్డి
94,94,94,Allauddin Khan,,,,Uttar Pradesh,Arts,Rajendra Prasad,West Bengal,Arts,V. V. Giri,,,
95,95,95,Alluri Venkata Satyanarayana Raju,"Andhra Pradesh, India",Trade and Industry,Pratibha Patil,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",వాణిజ్యం మరియు పరిశ్రమ,ప్రతిభా పాటిల్
96,96,96,Alok Mehta,Delhi/India,Literature and Education,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
97,97,97,Aloysius Prakash Fernandez,"Karnataka, India",Others,K. R. Narayanan,,,,,,,"కర్ణాటక, భారత్",మరికొందరు,కె. ఆర్. నారాయణన్
98,98,98,Alyque Padamsee,"Maharashtra, India",Arts,K. R. Narayanan,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,కె. ఆర్. నారాయణన్
99,99,99,Amalprava Das,"Assam, India",Public Affairs,Rajendra Prasad,,,,,,,"అసోం, ఇండియా",ప్రజా వ్యవహారాలు,రాజేంద్ర ప్రసాద్
100,100,100,Amarnath Jha,,,,"Uttar Pradesh, India",Literature and Education,Rajendra Prasad,,,,,,
101,101,101,Amarnath Sehgal,,,,Delhi/India,Arts,Pratibha Patil,,,,,,
102,102,102,Ambrish Mithal,,,,Delhi/India,Medicine,Pranab Mukherjee,,,,,,
103,103,103,Ameen Sayani,"Maharashtra, India",Others,Pratibha Patil,,,,,,,"మహారాష్ట్ర, భారత్",మరికొందరు,ప్రతిభా పాటిల్
104,104,104,Ameena Ahmad Ahuja,Delhi/India,Arts,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,ప్రతిభా పాటిల్
105,105,105,Amin Kamil,Jammu & Kashmir/India,Literature and Education,A. P. J. Abdul Kalam,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
106,106,106,Ustad Amir Khan,,,,"Maharashtra, India",Arts,V. V. Giri,,,,,,
107,107,107,Amit Mitra,Delhi/India,Trade and Industry,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,వాణిజ్యం మరియు పరిశ్రమ,ప్రతిభా పాటిల్
108,108,108,Amit Prabhakar Maydeo,"Maharashtra, India",Medicine,Pranab Mukherjee,,,,,,,"మహారాష్ట్ర, భారత్",మెడిసిన్,ప్రణబ్ ముఖర్జీ
109,109,109,Amitabh Bachchan,Maharashtra,Arts,Zail Singh,Maharashtra,Arts,K. R. Narayanan,Maharashtra,Arts,Pranab Mukherjee,మహారాష్ట్ర,ఆర్ట్స్,జైల్ సింగ్
110,110,110,Amitabh Mattoo,Jammu & Kashmir/India,Literature and Education,Pratibha Patil,,,,,,,జమ్మూ అండ్ కశ్మీర్/ఇండియా,సాహిత్యం మరియు విద్య,ప్రతిభా పాటిల్
111,111,111,Amitav Ghosh,Bahrain,Literature and Education,A. P. J. Abdul Kalam,,,,,,,బహ్రెయిన్,సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
112,112,112,Amitava Roy,"West Bengal, India",Science and Engineering,Ram Nath Kovind,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,రామ్ నాథ్ కోవింద్
113,113,113,Amiya Chakravarty,,,,"West Bengal, India",Literature and Education,V. V. Giri,,,,,,
114,114,114,Amiya Kumar Bagchi,"West Bengal, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"పశ్చిమ బెంగాల్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
115,115,115,Amjad Ali Khan,Delhi,Arts,Fakhruddin Ali Ahmed,Delhi,Arts,R. Venkataraman,Delhi,Arts,K. R. Narayanan,ఢిల్లీ,ఆర్ట్స్,ఫఖ్రుద్దీన్ అలీ అహ్మద్
116,116,116,Ammannur Madhava Chakyar,Kerala,Arts,Neelam Sanjiva Reddy,Kerala,Arts,A. P. J. Abdul Kalam,,,,కేరళ,ఆర్ట్స్,నీలం సంజీవ రెడ్డి
117,117,117,Amod Gupta,"Haryana, India",Medicine,Pranab Mukherjee,,,,,,,"హర్యానా, భారతదేశం",మెడిసిన్,ప్రణబ్ ముఖర్జీ
118,118,118,Amrik Singh Cheema,"Punjab, India",Science and Engineering,Zakir Husain (politician),,,,,,,"పంజాబ్, భారత్",సైన్స్ అండ్ ఇంజినీరింగ్,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
119,119,119,Amrit Tewari,Chandigarh/India,Medicine,R. Venkataraman,,,,,,,చండీగఢ్/ఇండియా,మెడిసిన్,ఆర్. వెంకటరమణ
120,120,120,Amrita Patel,,,,"Gujarat, India",Trade and Industry,K. R. Narayanan,,,,,,
121,121,121,Amrita Pritam,Delhi,Literature and Education,Zakir Husain (politician),,,,Delhi,Literature and Education,A. P. J. Abdul Kalam,ఢిల్లీ,సాహిత్యం మరియు విద్య,జకీర్ హుసేన్ (రాజకీయ నాయకుడు)
122,122,122,Amritlal Nagar,,,,"Uttar Pradesh, India",Literature and Education,Neelam Sanjiva Reddy,,,,,,
123,123,123,Amrta Suryananda Maha Raja,Portugal,Others,Pranab Mukherjee,,,,,,,పోర్చుగల్,మరికొందరు,ప్రణబ్ ముఖర్జీ
124,124,124,Analjit Singh,,,,Delhi/India,Trade and Industry,Pratibha Patil,,,,,,
125,125,125,Anand Mahindra,,,,"Maharashtra, India",Trade and Industry,Ram Nath Kovind,,,,,,
126,126,126,Ananda Chandra Barua,"Assam, India",Literature and Education,V. V. Giri,,,,,,,"అసోం, ఇండియా",సాహిత్యం మరియు విద్య,వి. వి. గిరి
127,127,127,Ananda Mohan Chakrabarty,Bahrain,Science and Engineering,A. P. J. Abdul Kalam,,,,,,,బహ్రెయిన్,సైన్స్ అండ్ ఇంజినీరింగ్,ఎ. పి. జె. అబ్దుల్ కలాం
128,128,128,Ananda Shankar Jayant,"Andhra Pradesh, India",Arts,A. P. J. Abdul Kalam,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,ఎ. పి. జె. అబ్దుల్ కలాం
129,129,129,Anandji Virji Shah,"Maharashtra, India",Arts,R. Venkataraman,,,,,,,"మహారాష్ట్ర, భారత్",ఆర్ట్స్,ఆర్. వెంకటరమణ
130,130,130,Anant Agarwal,United States,Literature and Education,Pranab Mukherjee,,,,,,,యునైటెడ్ స్టేట్స్,సాహిత్యం మరియు విద్య,ప్రణబ్ ముఖర్జీ
131,131,131,Anant Darshan Shankar,"Karnataka, India",Public Affairs,Pratibha Patil,,,,,,,"కర్ణాటక, భారత్",ప్రజా వ్యవహారాలు,ప్రతిభా పాటిల్
132,132,132,Anant Kanekar,"Maharashtra, India",Literature and Education,Sarvepalli Radhakrishnan,,,,,,,"మహారాష్ట్ర, భారత్",సాహిత్యం మరియు విద్య,సర్వేపల్లి రాధాకృష్ణన్
133,133,133,Anant alias Annasaheb Sahasrabuddhe,,,,"Maharashtra, India",Social Work,V. V. Giri,,,,,,
134,134,134,Andal Venkatasubba Rao,,,,"Andhra Pradesh, India",Social Work,Rajendra Prasad,,,,,,
135,135,135,Andre Beteille,,,,Delhi/India,Literature and Education,A. P. J. Abdul Kalam,,,,,,
136,136,136,Anerood Jugnauth,,,,,,,,Public Affairs,Ram Nath Kovind,,,
137,137,137,Anil Agarwal,Delhi/India,Literature and Education,Zail Singh,Delhi/India,Others,K. R. Narayanan,,,,ఢిల్లీ/ఇండియా,సాహిత్యం మరియు విద్య,జైల్ సింగ్
138,138,138,Anil Bordia,,,,"Rajasthan, India",Literature and Education,Pratibha Patil,,,,,,
139,139,139,Anil Kakodkar,Maharashtra,Science and Engineering,K. R. Narayanan,Maharashtra,Science and Engineering,K. R. Narayanan,Maharashtra,Science and Engineering,Pratibha Patil,మహారాష్ట్ర,సైన్స్ అండ్ ఇంజినీరింగ్,కె. ఆర్. నారాయణన్
140,140,140,Anil Kohli,Delhi,Medicine,R. Venkataraman,Delhi,Medicine,A. P. J. Abdul Kalam,,,,ఢిల్లీ,మెడిసిన్,ఆర్. వెంకటరమణ
141,141,141,Anil Kumar Bhalla,Delhi/India,Medicine,Pratibha Patil,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రతిభా పాటిల్
142,142,142,Anil Kumar Gupta,"Gujarat, India",Literature and Education,A. P. J. Abdul Kalam,,,,,,,"గుజరాత్, భారత్",సాహిత్యం మరియు విద్య,ఎ. పి. జె. అబ్దుల్ కలాం
143,143,143,Anil Kumar Lakhina,"Maharashtra, India",Civil Service,Zail Singh,,,,,,,"మహారాష్ట్ర, భారత్",సివిల్ సర్వీస్,జైల్ సింగ్
144,144,144,Anil Kumari Malhotra,Delhi/India,Medicine,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,మెడిసిన్,ప్రణబ్ ముఖర్జీ
145,145,145,Anil Kumble,"Karnataka, India",Sports,A. P. J. Abdul Kalam,,,,,,,"కర్ణాటక, భారత్",క్రీడలు,ఎ. పి. జె. అబ్దుల్ కలాం
146,146,146,Anil Prakash Joshi,Uttarakhand,Social Work,A. P. J. Abdul Kalam,Uttarakhand,Social Work,Ram Nath Kovind,,,,ఉత్తరాఖండ్,సామాజిక పని,ఎ. పి. జె. అబ్దుల్ కలాం
147,147,147,Anish Kapoor,,,,"Maharashtra, India",Arts,Pratibha Patil,,,,,,
148,148,148,Anisuzzaman,,,,"West Bengal, India",Literature and Education,Pranab Mukherjee,,,,,,
149,149,149,Anita Desai,Delhi,Literature and Education,R. Venkataraman,Delhi,Literature and Education,Pranab Mukherjee,,,,ఢిల్లీ,సాహిత్యం మరియు విద్య,ఆర్. వెంకటరమణ
150,150,150,Anita Reddy,"Karnataka, India",Social Work,Pratibha Patil,,,,,,,"కర్ణాటక, భారత్",సామాజిక పని,ప్రతిభా పాటిల్
151,151,151,Anjolie Ela Menon,Delhi/India,Arts,K. R. Narayanan,,,,,,,ఢిల్లీ/ఇండియా,ఆర్ట్స్,కె. ఆర్. నారాయణన్
152,152,152,Anju Bobby George,"Kerala, India",Sports,A. P. J. Abdul Kalam,,,,,,,"కేరళ, భారత్",క్రీడలు,ఎ. పి. జె. అబ్దుల్ కలాం
153,153,153,Anjum Chopra,Delhi/India,Sports,Pranab Mukherjee,,,,,,,ఢిల్లీ/ఇండియా,క్రీడలు,ప్రణబ్ ముఖర్జీ
154,154,154,Anna Hazare,Maharashtra,Social Work,R. Venkataraman,Maharashtra,Social Work,R. Venkataraman,,,,మహారాష్ట్ర,సామాజిక పని,ఆర్. వెంకటరమణ
155,155,155,Anna Rajam Malhotra,,,,"Maharashtra, India",Civil Service,R. Venkataraman,,,,,,
156,156,156,Annada Shankar Ray,,,,"West Bengal, India",Literature and Education,Zail Singh,,,,,,
157,157,157,Annapurna Ravi Shankar,,,,"Uttar Pradesh, India",Arts,Fakhruddin Ali Ahmed,,,,,,
158,158,158,Annavarapu Rama Swamy,"Andhra Pradesh, India",Arts,Ram Nath Kovind,,,,,,,"ఆంధ్రప్రదేశ్, భారత్",ఆర్ట్స్,రామ్ నాథ్ కోవింద్
