,Recipients,philanthropy,philanthropy Telugu
12,A. R. Rahman,"Rahman is involved with a number of charitable causes. In 2004 he was appointed as the global ambassador of the Stop TB Partnership, a WHO project. Rahman has supported Save the Children India and worked with Yusuf Islam on ""Indian Ocean"", a song featuring a-ha keyboard player Magne Furuholmen and Travis drummer Neil Primrose. Proceeds from the song went to help orphans in Banda Aceh who were affected by the 2004 Indian Ocean Tsunami. He produced the single ""We Can Make It Better"" by Don Asian with Mukhtar Sahota. In 2008 Rahman opened the KM Music Conservatory with an audio-media education facility to train aspiring musicians in vocals, instruments, music technology and sound design. The conservatory (with prominent musicians on staff and a symphony orchestra) is located near his studio in Kodambakkam, Chennai and offers courses at several levels. Violinist L. Subramaniam is on its advisory board. Several of Rahman's proteges from the studio have scored feature films","రెహమాన్ అనేక స్వచ్ఛంద కార్యక్రమాలలో నిమగ్నమై ఉన్నారు. 2004లో ఇతను WHO ప్రాజెక్ట్ అయిన స్టాప్ TB పార్టనర్షిప్, ప్రపంచ అంబాసిడర్గా నియమించబడ్డాడు. రెహ్మాన్ సేవ్ ది చిల్డ్రన్ ఇండియాకు మద్దతు ఇచ్చాడు, యూసుఫ్ ఇస్లాంతో కలిసి ""ఇండియన్ ఓషన్""లో పనిచేశాడు, ఈ పాటలో అ-హా కీబోర్డ్ ప్లేయర్ మాగ్నే ఫురుహోల్మెన్, ట్రావిస్ డ్రమ్మర్ నీల్ ప్రింరోస్ ఉన్నారు. 2004 హిందూ మహాసముద్ర సునామీ వల్ల ప్రభావితమైన బండా అచేలోని అనాథలకు సహాయం చేయడానికి ఈ పాట ద్వారా వచ్చిన ఆదాయం. ఇతను ముఖ్తార్ సహోతాతో కలిసి డాన్ ఏషియన్ ద్వారా ""వి కెన్ మేక్ ఇట్ బెటర్"" అనే సింగిల్ని నిర్మించాడు. 2008లో రెహ్మాన్ KM మ్యూజిక్ కన్జర్వేటరీని ఆడియో-మీడియా విద్యా సౌకర్యంతో గానం, వాయిద్యాలు, సంగీత సాంకేతికత, సౌండ్ డిజైన్లో ఔత్సాహిక సంగీతకారులకు శిక్షణనిచ్చేందుకు ప్రారంభించారు. కన్సర్వేటరీ (సిబ్బందిలో ప్రముఖ సంగీత విద్వాంసులు, సింఫనీ ఆర్కెస్ట్రాతో) చెన్నైలోని కోడంబాక్కంలో అతని స్టూడియో సమీపంలో ఉంది, అనేక స్థాయిలలో కోర్సులను అందిస్తోంది. వయోలిన్ విద్వాంసుడు ఎల్. సుబ్రమణ్యం దాని సలహా మండలిలో ఉన్నారు. స్టూడియో నుండి రెహమాన్, అనేక మంది శిష్యులు చలన చిత్రాలను స్కోర్ చేసారు. "
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,,
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,"Chettiar harboured a firm conviction that education is an absolute must for a human being to become productive, wholesome and humane. In 1943 he donated one lakh (100,000) rupees for the installation and development of the Tamil Department of Travancore University.In 1947 at the Annie Besant centenary celebrations he answered the call for industrialists to help educate India by spontaneously offering to start an Arts College in Karaikudi. This college, Alagappa Arts College started at Gandhi Maleghai, opened three days later. His generous donations led to the establishment of a string of educational institutions, which formed the basis for the foundation of the Alagappa University in 1985 by the Government of Tamil Nadu.

He convinced Prime Minister Jawaharlal Nehru to house one of the Government's National Research Institutes in the heart of the Alagappa campus. At the inauguration of the Central Electro Chemical Research Institute (CECRI) on 14 January 1953, the then Vice-President of India Sarvepalli Radhakrishnan surmised The magnificent gift of 300 acres of land and fifteen lakhs of rupees by Alagappa Chettiar helped the Government of India to select Karaikudi as the seat of Electro Chemical Research Institute. Being a businessman himself, Dr. Alagappa Chettiar is aware of the industrial possibilities of our country and the need for scientific, technical and technological education. In his lifetime he has built a monument for himself and you have only to look around","మానవుడు ఉత్పాదకంగా, ఆరోగ్యవంతంగా, మానవత్వంతో ఉండాలంటే విద్య అనేది ఖచ్చితంగా తప్పనిసరి అని చెట్టియార్ దృఢ విశ్వాసాన్ని కలిగి ఉన్నారు. 1943లో ఇతను ట్రావెన్కోర్ విశ్వవిద్యాలయం, తమిళ డిపార్ట్మెంట్ స్థాపన, అభివృద్ధి కోసం ఒక లక్ష (100, 000) రూపాయలను విరాళంగా ఇచ్చాడు. 1947లో అన్నీ బిసెంట్ శతాబ్ది ఉత్సవాల్లో కారైకుడిలో ఆర్ట్స్ కాలేజీని ప్రారంభించడానికి ఆకస్మికంగా ఆఫర్ చేయడం ద్వారా భారతదేశాన్ని విద్యావంతులను చేసేందుకు పారిశ్రామికవేత్తల పిలుపుకు ఆయన సమాధానమిచ్చారు. గాంధీ మాలేఘైలో ప్రారంభమైన ఈ కళాశాల, అలగప్ప ఆర్ట్స్ కళాశాల మూడు రోజుల తర్వాత ప్రారంభించబడింది. అతని ఉదారమైన విరాళాలు అనేక విద్యా సంస్థల స్థాపనకు దారితీశాయి, ఇది తమిళనాడు ప్రభుత్వం 1985లో అలగప్ప విశ్వవిద్యాలయం స్థాపనకు ఆధారం. అలగప్ప క్యాంపస్ నడిబొడ్డున ప్రభుత్వ నేషనల్ రీసెర్చ్ ఇన్స్టిట్యూట్లలో ఒకదానిని ఏర్పాటు చేయడానికి ఇతను ప్రధాన మంత్రి జవహర్లాల్ నెహ్రూను ఒప్పించాడు. 1953 జనవరి 14న సెంట్రల్ ఎలక్ట్రో కెమికల్ రీసెర్చ్ ఇన్స్టిట్యూట్ (CECRI) ప్రారంభోత్సవం సందర్భంగా అప్పటి భారత ఉపరాష్ట్రపతి సర్వేపల్లి రాధాకృష్ణన్ అళగప్ప చెట్టియార్ 300 ఎకరాల భూమి, పదిహేను లక్షల రూపాయలను బహుమతిగా ఇచ్చారని ఊహించారు. కరైకుడిని ఎలక్ట్రో కెమికల్ రీసెర్చ్ ఇన్స్టిట్యూట్ సీటుగా ఎంపిక చేసుకోండి. స్వయంగా వ్యాపారవేత్త కావడంతో డా. అలగప్ప చెట్టియార్ మన దేశంలోని పారిశ్రామిక అవకాశాల గురించి, శాస్త్ర, సాంకేతిక, సాంకేతిక విద్య, ఆవశ్యకత గురించి తెలుసు. తన జీవితకాలంలో ఇతను తన కోసం ఒక స్మారక చిహ్నాన్ని నిర్మించాడు, మీరు చుట్టూ చూడవలసి ఉంటుంది. "
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,"In May 2018, Shetty along with three other Abu Dhabi-based business tycoons signed The Giving Pledge Forbes Article","మే 2018లో, శెట్టి అబుదాబికి చెందిన మరో ముగ్గురు వ్యాపార దిగ్గజాలతో కలిసి ది గివింగ్ ప్లెడ్జ్ ఫోర్బ్స్ ఆర్టికల్పై సంతకం చేశారు. "
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,"He is the founder-chairman of Pratham Pune Education Foundation, an NGO that is engaged in providing primary education to children belonging to under-privileged sections of the local community, which was established in 2000.",ఇతను 2000లో స్థాపించబడిన స్థానిక సమాజంలోని అణగారిన వర్గాలకు చెందిన పిల్లలకు ప్రాథమిక విద్యను అందించడంలో నిమగ్నమై ఉన్న NGO అయిన ప్రథమ్ పూణే ఎడ్యుకేషన్ ఫౌండేషన్ వ్యవస్థాపకుడు-ఛైర్మన్. 
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
