,Recipients,biography,biography Telugu
15,A. S. Arya,"Arya was born in a small Uttar Pradesh village of Ambehta in Saharanpur district on 13 June 1931 and secured his graduate degree (BE) in civil engineering and master's degree (ME) in Structural engineering (1954) from University of Roorkee (present day Indian Institute of Technology, Roorkee). Joining the University of Illinois at Urbana–Champaign in 1959, he secured a doctoral degree in 1961. He started his career as a member of faculty at the University of Roorkee where he served for 36 years till his superannuation 1989. During his career, he rose in ranks to become a professor and the head of the department of Earthquake Engineering and finally, the Pro-vice chancellor of the university. After his retirement, he was made the Emeritus Professor of the Indian Institute of Technology, Roorkee.","ఆర్య 13 జూన్ 1931న సహరాన్పూర్ జిల్లాలోని అంబెహ్తా అనే చిన్న గ్రామంలో జన్మించాడు, రూర్కీ విశ్వవిద్యాలయం (ప్రస్తుత ఇండియన్ ఇన్స్టిట్యూట్) నుండి సివిల్ ఇంజనీరింగ్లో గ్రాడ్యుయేట్ డిగ్రీ (BE), స్ట్రక్చరల్ ఇంజనీరింగ్లో మాస్టర్స్ డిగ్రీ (1954) పొందాడు. టెక్నాలజీ, రూర్కీ). 1959లో ఉర్బానా-ఛాంపెయిన్లోని ఇల్లినాయిస్ విశ్వవిద్యాలయంలో చేరి, 1961లో డాక్టరల్ పట్టా పొందారు. ఇతను రూర్కీ విశ్వవిద్యాలయంలో ఫ్యాకల్టీ సభ్యునిగా తన వృత్తిని ప్రారంభించాడు, అక్కడ ఇతను తన పదవీవిరమణ 1989 వరకు 36 సంవత్సరాలు పనిచేశాడు. తన కెరీర్లో, ఇతను ప్రొఫెసర్గా, ఎర్త్క్వేక్ ఇంజినీరింగ్ విభాగానికి అధిపతిగా, చివరకు విశ్వవిద్యాలయం, ప్రో-వైస్ ఛాన్సలర్గా ర్యాంక్లను పెంచుకున్నాడు. పదవీ విరమణ తర్వాత, రూర్కీలోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీలో ఎమెరిటస్ ప్రొఫెసర్గా నియమితులయ్యారు. "
16,A. S. Kiran Kumar,"Kiran Kumar Aluru Seelin was born in a Hindu family in Hassan District in 1952, in the Indian state of Karnataka. He graduated in Physics (Honours). In 1971, from the National College of Bangalore University. This was followed by a degree of MSc in Electronics from the same university, in 1973. His further studies were at the Indian Institute of Science, Bangalore from where he passed MTech in Physical Engineering, in 1975.Kiran Kumar started his career, joining Space Applications Centre, Ahmedabad, in 1975, working on Space borne Electro -optical imaging instruments. He has remained at the institution ever since and is the Director of the Electro-optical Systems Group since April 2012. He also served as the chairman of ISRO from Jan 2015 to Jan 2018. He has represented Indian Space Research Organization at many international forums such as the World Meteorological Organisation and Indo-US Joint Working Group on Civil Space Cooperation and holds the Chair of the ISRO at the Committee on Earth Observation Satellites (CEO).","కిరణ్ కుమార్ ఆలూరు సీలిన్ భారతదేశంలోని కర్ణాటక రాష్ట్రంలోని హాసన్ జిల్లాలో 1952లో హిందూ కుటుంబంలో జన్మించారు. ఇతను భౌతికశాస్త్రంలో పట్టభద్రుడయ్యాడు (ఆనర్స్). 1971లో, నేషనల్ కాలేజ్ ఆఫ్ బెంగళూరు యూనివర్సిటీ నుండి. దీని తర్వాత 1973లో అదే విశ్వవిద్యాలయం నుండి ఎలక్ట్రానిక్స్లో MSc పట్టా పొందారు. అతని తదుపరి చదువులు బెంగుళూరులోని ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ సైన్స్లో ఉన్నాయి, అక్కడి నుండి ఇతను 1975లో ఫిజికల్ ఇంజినీరింగ్లో ఎంటెక్ ఉత్తీర్ణత సాధించాడు. కిరణ్ కుమార్ తన వృత్తిని ప్రారంభించాడు, 1975లో అహ్మదాబాద్లోని స్పేస్ అప్లికేషన్స్ సెంటర్లో చేరి, స్పేస్ బోర్న్ ఎలక్ట్రో-ఆప్టికల్ ఇమేజింగ్ సాధనాలపై పనిచేశాడు. ఇతను అప్పటి నుండి సంస్థలోనే ఉన్నాడు, ఏప్రిల్ 2012 నుండి ఎలక్ట్రో-ఆప్టికల్ సిస్టమ్స్ గ్రూప్ డైరెక్టర్గా ఉన్నాడు. ఇతను జనవరి 2015 నుండి జనవరి 2018 వరకు ఇస్రో ఛైర్మన్గా కూడా పనిచేశాడు. ఇతను ప్రపంచ వాతావరణ సంస్థ, పౌర అంతరిక్ష సహకారంపై ఇండో-యుఎస్ జాయింట్ వర్కింగ్ గ్రూప్ వంటి అనేక అంతర్జాతీయ ఫోరమ్లలో భారత అంతరిక్ష పరిశోధనా సంస్థకు ప్రాతినిధ్యం వహించాడు, కమిటీ ఆన్ ఎర్త్ అబ్జర్వేషన్ శాటిలైట్స్ (CEO) వద్ద ISRO అధ్యక్షుడిగా ఉన్నారు. "
17,A. Sankara Reddy,,
18,A. Sivasailam,"Sivasailam was born on 24 August 1934, at Alwarkurichi in Tirunelveli district, which is now the south Indian state of Tamil Nadu, to S. Anantharamakrishnan, the founder of Amalgamations Group, as the eldest of his two sons. He graduated in commerce from Loyola College, Chennai, of the University of Madras and started his career as an accountant at a chartered accountancy firm in London where he worked for four years. In 1957, he joined his father in their family business as a comptroller and treasurer and took over Tractors and Farm Equipment Limited (TAFE), an industrial venture started by the group in 1960, as its general manager, in 1961. He continued heading TAFE for 7 years and subsequent to his father's death in 1964, he took over the leadership of the group's business and became the chairman of the group officially in 1968, with his brother, A. Krishnamurthy, as its vice chairman. He held the position till his death in 2011 and the group grew during this period from a ₹ 350 million business to ₹ 70 billion conglomerate, composed of 48 subsidiaries and 12,000 strong workforce. The Tractors and Farm Equipment Limited, the flagship company of the group, has since become the largest exporter and the second largest manufacturer of agricultural tractors in India, with an annual output of 100,000 tractors and a turnover of US$1.6 billion.Sivasailam, a former president of the ASSOCHAM, was the president of the Society of Indian Automobile Manufacturers for two consecutive terms (1970, 1971) and served as the Sheriff of Madras for two years, from 1969 to 1970","శివశైలం 1934 ఆగస్టు 24న దక్షిణ భారతదేశంలోని తమిళనాడు రాష్ట్రంగా ఉన్న తిరునెల్వేలి జిల్లాలోని ఆళ్వార్కురిచిలో జన్మించారు. అమాల్గమేషన్స్ గ్రూప్ వ్యవస్థాపకుడు అనంతరామకృష్ణన్, అతని ఇద్దరు కుమారులలో పెద్దవాడు. ఇతను మద్రాస్ విశ్వవిద్యాలయానికి చెందిన చెన్నైలోని లయోలా కళాశాల నుండి వాణిజ్యంలో పట్టభద్రుడయ్యాడు, లండన్లోని చార్టర్డ్ అకౌంటెన్సీ సంస్థలో అకౌంటెంట్గా తన వృత్తిని ప్రారంభించాడు, అక్కడ ఇతను నాలుగు సంవత్సరాలు పనిచేశాడు. 1957లో, ఇతను తన తండ్రితో కలిసి కంప్ట్రోలర్, కోశాధికారిగా వారి కుటుంబ వ్యాపారంలో చేరాడు, ట్రాక్టర్స్ అండ్ ఫార్మ్ ఎక్విప్మెంట్ లిమిటెడ్ (TAFE)ని 1960లో దాని జనరల్ మేనేజర్గా 1961లో ప్రారంభించాడు. ఇతను 7 సంవత్సరాలు TAFEకి నాయకత్వం వహించాడు, 1964లో తన తండ్రి మరణించిన తరువాత, ఇతను గ్రూప్ వ్యాపారానికి నాయకత్వం వహించాడు, అధికారికంగా 1968లో తన సోదరుడు Aతో కలిసి గ్రూప్కు ఛైర్మన్ అయ్యాడు. కృష్ణమూర్తి వైస్ చైర్మన్గా ఉన్నారు. ఇతను 2011లో మరణించే వరకు ఆ పదవిలో ఉన్నాడు, ఈ కాలంలో గ్రూప్ ₹ 350 మిలియన్ల వ్యాపారం నుండి ₹ 70 బిలియన్ల సమ్మేళనానికి పెరిగింది, 48 అనుబంధ సంస్థలు, 12, 000 బలమైన వర్క్ఫోర్స్తో కూడి ఉంది. సమూహం, ఫ్లాగ్షిప్ కంపెనీ అయిన ట్రాక్టర్స్ అండ్ ఫార్మ్ ఎక్విప్మెంట్ లిమిటెడ్ అప్పటి నుండి భారతదేశంలో 100, 000 ట్రాక్టర్ల వార్షిక ఉత్పత్తి, US$1 టర్నోవర్తో అతిపెద్ద ఎగుమతిదారుగా, రెండవ అతిపెద్ద వ్యవసాయ ట్రాక్టర్ల తయారీదారుగా అవతరించింది. 6 బిలియన్లు. ASSOCHAM మాజీ ప్రెసిడెంట్ అయిన శివశైలం, భారతీయ ఆటోమొబైల్ తయారీదారుల సొసైటీకి వరుసగా రెండు పర్యాయాలు (1970, 1971) అధ్యక్షుడిగా ఉన్నారు, 1969 నుండి 1970 వరకు మద్రాసు షెరీఫ్గా రెండు సంవత్సరాలు పనిచేశారు. "
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,"Rama Rao was born on 2 April 1935 in Guntur, a coastal city in the south Indian state of Andhra Pradesh, to a government employee as one of his nine children. As his father had to work at various places due to frequent transfers, he stayed with his grand parents at Guntur during his school days. He graduated in chemistry (BSc) from A. C. College of Andhra University in 1956 and worked for one year at his alma mater as a demonstrator, before moving to Mumbai to secure his post graduate degree in Pharmaceuticals and Fine Chemicals from the UDCT of Mumbai University in 1960. This was followed by doctoral studies under the guidance of K. Venkataraman, the first Indian director of the National Chemical Laboratory (NCL), to obtain a PhD in 1965. He continued his research at NCL, working there as a B Grade Scientist, till 1975 when he joined Elias James Corey, 1991 Nobel laureate in Chemistry, at Harvard University for a two-year stint at research along with the American organic chemist. He returned to India in 1977 and continued his researches at NCL for another eight years. In 1985, he was appointed as the director of the Indian Institute of Chemical Technology (IICT) (then known as Regional Research Laboratory) where he worked till 1995","రామారావు 1935 ఏప్రిల్ 2న దక్షిణ భారతదేశంలోని ఆంధ్ర ప్రదేశ్ రాష్ట్రంలోని ఒక తీరప్రాంత నగరమైన గుంటూరులో తన తొమ్మిది మంది సంతానంలో ఒక ప్రభుత్వ ఉద్యోగికి జన్మించాడు. తరచూ బదిలీల కారణంగా తండ్రి పలు చోట్ల పనిచేయాల్సి రావడంతో పాఠశాలలో చదువుకునే రోజుల్లో గుంటూరులో తాతయ్య తల్లిదండ్రుల వద్ద ఉండేవాడు. ఇతను A నుండి కెమిస్ట్రీ (BSc) లో పట్టభద్రుడయ్యాడు. సి. 1956లో కాలేజ్ ఆఫ్ ఆంధ్రా యూనివర్సిటీ, 1960లో ముంబై యూనివర్శిటీ, UDCT నుండి ఫార్మాస్యూటికల్స్, ఫైన్ కెమికల్స్లో పోస్ట్ గ్రాడ్యుయేట్ డిగ్రీని పొందేందుకు ముంబైకి వెళ్లడానికి ముందు అతని ఆల్మా మేటర్లో ప్రదర్శనకారుడిగా ఒక సంవత్సరం పనిచేశారు. దీని తరువాత కె మార్గదర్శకత్వంలో డాక్టరల్ అధ్యయనాలు జరిగాయి. వెంకటరామన్, నేషనల్ కెమికల్ లాబొరేటరీ (NCL), మొదటి భారతీయ డైరెక్టర్, 1965లో PhD పొందారు. ఇతను NCLలో తన పరిశోధనను కొనసాగించాడు, అక్కడ B గ్రేడ్ సైంటిస్ట్గా 1975 వరకు పనిచేశాడు, ఇతను 1991 రసాయన శాస్త్రంలో నోబెల్ గ్రహీత అయిన ఎలియాస్ జేమ్స్ కోరీలో చేరి, హార్వర్డ్ యూనివర్శిటీలో అమెరికన్ ఆర్గానిక్ కెమిస్ట్తో కలిసి పరిశోధనలో రెండేళ్లపాటు పనిచేశాడు. ఇతను 1977లో భారతదేశానికి తిరిగి వచ్చి మరో ఎనిమిదేళ్లపాటు NCLలో తన పరిశోధనలను కొనసాగించాడు. 1985లో, ఇతను ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ కెమికల్ టెక్నాలజీ (IICT) డైరెక్టర్గా నియమితుడయ్యాడు (అప్పుడు దీనిని ప్రాంతీయ పరిశోధనా ప్రయోగశాల అని పిలుస్తారు) అక్కడ ఇతను 1995 వరకు పనిచేశాడు. "
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,"Khatri was born in a family of Rogan artists from Nirona village in Kutch. It was the last family of Rogan artists. In the 1980s, Khatri left Nirona and moved to Ahmedabad and then Mumbai for employment. Two years later, he returned and learned the art from his father and grandfather. Rogan painting saw a resurgence due to his efforts. In addition, Khatri and his family began training girls in the art which had previously been practised only by males. Four of his ten Rogan-practicing family members have been awarded with national or state awards. In 2014, Indian Prime Minister Narendra Modi visited the U.S. White House, and gave President Obama two rogan paintings, including a tree of life, which were painted by Khatri","ఖత్రీ కచ్లోని నిరోనా గ్రామానికి చెందిన రోగన్ కళాకారుల కుటుంబంలో జన్మించాడు. ఇది రోగన్ కళాకారుల చివరి కుటుంబం. 1980లలో, ఖత్రీ నిరోనాను విడిచిపెట్టి, ఉపాధి కోసం అహ్మదాబాద్, ముంబైకి వెళ్లారు. రెండు సంవత్సరాల తరువాత, ఇతను తిరిగి వచ్చి తన తండ్రి, తాత నుండి కళను నేర్చుకున్నాడు. అతని ప్రయత్నాల వల్ల రోగన్ పెయింటింగ్ పుంజుకుంది. అదనంగా, ఖత్రీ, అతని కుటుంబం గతంలో మగవారు మాత్రమే అభ్యసించే కళలో అమ్మాయిలకు శిక్షణ ఇవ్వడం ప్రారంభించారు. అతని పది మంది రోగన్-అభ్యాస కుటుంబ సభ్యులలో నలుగురికి జాతీయ లేదా రాష్ట్ర అవార్డులు లభించాయి. 2014లో భారత ప్రధాని నరేంద్ర మోదీ యు. ఎస్. వైట్ హౌస్,, అధ్యక్షుడు ఒబామాకు రెండు రోగన్ పెయింటింగ్స్ ఇచ్చారు, ఇందులో ట్రీ ఆఫ్ లైఫ్ కూడా ఉన్నాయి, వీటిని ఖత్రీ చిత్రించారు. "
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,"Kalelkar was born in Satara on 1 December 1885. His family's ancestral village of Kaleli, near Sawantwadi in Maharashtra, gave him his surname Kalelkar. He matriculated in 1903 and completed B.A. in Philosophy from Fergusson College, Pune in 1907. He appeared in the first year examination of LL.B. and joined Ganesh Vidyalaya in Belgaum in 1908. He worked for a while on the editorial staff of a nationalistic Marathi daily named Rashtramat, and then as a teacher at a school named Ganganath Vidyalaya in Baroda in 1910. In 1912, the British government forcibly closed down the school because of its nationalistic spirit","కలేల్కర్ 1 డిసెంబర్ 1885న సతారాలో జన్మించారు. మహారాష్ట్రలోని సావంత్వాడి సమీపంలోని కలేలి అనే అతని కుటుంబ పూర్వీకుల గ్రామం అతని ఇంటిపేరు కలేల్కర్గా పెట్టింది. ఇతను 1903లో మెట్రిక్యులేట్ చేసి బి పూర్తి చేశాడు. ఎ. 1907లో పూణేలోని ఫెర్గూసన్ కాలేజీ నుండి ఫిలాసఫీలో. ఇతను LL మొదటి సంవత్సరం పరీక్షలో హాజరయ్యాడు. బి., 1908లో బెల్గాంలోని గణేష్ విద్యాలయంలో చేరారు. ఇతను రాష్ట్రమత్ అనే జాతీయ మరాఠీ దినపత్రిక సంపాదకీయ సిబ్బందిలో కొంతకాలం పనిచేశాడు, ఆపై 1910లో బరోడాలోని గంగానాథ్ విద్యాలయ అనే పాఠశాలలో ఉపాధ్యాయుడిగా పనిచేశాడు. 1912లో, బ్రిటీష్ ప్రభుత్వం జాతీయవాద స్ఫూర్తి కారణంగా పాఠశాలను బలవంతంగా మూసివేసింది. "
44,Acharya Ramamurti,"Ramamurti was born on 22 January 1913 in a small village in Jaunpur district by name, Ardhpur, in the Indian state of Uttar Pradesh in a financially healthy family of farmers. After securing a master's degree (MA) in History from Lucknow University, he started his career, in 1954, as a lecturer at Government Queens College, Varanasi but resigned from the job on 10 May 1954 to pursue an active career in social service and joined Shrambharati, a social service community founded by Dhirendra Mazumdar, a gandhian and Sarvodaya leader. When the Bhoodan movement was launched by Vinoba Bhave in 1951, Ramamurti became associated with it, travelling from village to village, propagating the ideals and collecting land. After the death of Mazumdar, he became the Director of the organization and is credited with transforming it into one of the largest peace movement organizations in the country.
Main aspects of Reviewed Policy by Ram Murti Recview committee 1990.
In the early Seventies, he started working closely with Jayaprakash Narayan and was involved with the Bihar Andolan. After the success of Total Revolution, he turned his attention to education and organized the Earn and Learn movement in Khadigram and thirty neighboring villages. In 1989, when V. P. Singh became the Prime Minister of India, his involvement with national level politics increased and he was appointed as the chairman of the Review Committee to appraise the implementation of the National Education Policy of 1980, on 7 May 1990","రామమూర్తి 1913 జనవరి 22న భారతదేశంలోని ఉత్తరప్రదేశ్ రాష్ట్రంలోని జౌన్పూర్ జిల్లాలోని అర్ద్పూర్ అనే చిన్న గ్రామంలో ఆర్థికంగా ఆరోగ్యంగా ఉన్న రైతు కుటుంబంలో జన్మించారు. లక్నో విశ్వవిద్యాలయం నుండి చరిత్రలో మాస్టర్స్ డిగ్రీ (MA) పొందిన తరువాత, ఇతను 1954లో ప్రభుత్వ క్వీన్స్ కళాశాల, వారణాసిలో లెక్చరర్గా తన వృత్తిని ప్రారంభించాడు, అయితే సామాజిక సేవలో చురుకైన వృత్తిని కొనసాగించడానికి 10 మే 1954న ఉద్యోగానికి రాజీనామా చేసి చేరాడు. శ్రమభారతి, గాంధీయన్, సర్వోదయ నాయకుడు ధీరేంద్ర మజుందార్ స్థాపించిన సామాజిక సేవా సంఘం. 1951లో వినోబా భావే భూదాన్ ఉద్యమాన్ని ప్రారంభించినప్పుడు, రామమూర్తి దానితో అనుబంధం కలిగి ఉన్నాడు, గ్రామ గ్రామాన తిరుగుతూ, ఆదర్శాలను ప్రచారం చేసి, భూమిని సేకరించాడు. మజుందార్ మరణం తరువాత, ఇతను సంస్థకు డైరెక్టర్ అయ్యాడు, దేశంలోని అతిపెద్ద శాంతి ఉద్యమ సంస్థలలో ఒకటిగా మార్చిన ఘనత పొందాడు. రామ్ మూర్తి రిక్వ్యూ కమిటీ 1990 సమీక్షించిన విధానం, ప్రధాన అంశాలు. డెబ్బైల ప్రారంభంలో, ఇతను జయప్రకాష్ నారాయణ్తో సన్నిహితంగా పనిచేయడం ప్రారంభించాడు, బీహార్ ఆందోళన్లో పాల్గొన్నాడు. సంపూర్ణ విప్లవం విజయవంతం అయిన తర్వాత, ఇతను విద్యపై దృష్టి సారించాడు, ఖాదీగ్రామ్, ముప్పై పొరుగు గ్రామాలలో సంపాదించండి, తెలుసుకోండి ఉద్యమాన్ని నిర్వహించాడు. 1989లో, వి. పి. సింగ్ భారత ప్రధాని అయ్యాడు, జాతీయ స్థాయి రాజకీయాలతో అతని ప్రమేయం పెరిగింది, 1980 జాతీయ విద్యా విధానం అమలును అంచనా వేయడానికి రివ్యూ కమిటీకి ఛైర్మెన్గా 7 మే 1990న నియమించబడ్డాడు. "
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,"He was an executive director of the MS Swaminathan Research Foundation, a former Chief Secretary of the state of Nagaland and a former chairman of the Genetic Engineering Approval Committee of the Ministry of Environment and Forests. Born on 3 January 1946, Gokhale graduated in Physics from the University of Mumbai in 1965, entered the Indian Administrative Service in 1968 from the Nagaland cadre and served various government offices till his superannuation in January 2006. During his tenure with the Government of Nagaland, he is known to have launched a people's programme, Nagaland Empowerment of People through Economic Development (NEPED), which had reported success in getting the involvement of the people of Nagaland. The Government of India awarded him the fourth highest civilian award of Padma Shri in 1990.Gokhale died on 18 April 2021, aged 75, due to COVID-19.","ఇతను MS స్వామినాథన్ రీసెర్చ్ ఫౌండేషన్, ఎగ్జిక్యూటివ్ డైరెక్టర్, నాగాలాండ్ రాష్ట్ర మాజీ ప్రధాన కార్యదర్శి, పర్యావరణ, అటవీ మంత్రిత్వ శాఖ, జన్యు ఇంజనీరింగ్ ఆమోదం కమిటీ మాజీ ఛైర్మన్. 3 జనవరి 1946న జన్మించిన గోఖలే 1965లో ముంబై విశ్వవిద్యాలయం నుండి భౌతికశాస్త్రంలో పట్టభద్రుడయ్యాడు, నాగాలాండ్ కేడర్ నుండి 1968లో ఇండియన్ అడ్మినిస్ట్రేటివ్ సర్వీస్లో ప్రవేశించి జనవరి 2006లో పదవీ విరమణ పొందే వరకు వివిధ ప్రభుత్వ కార్యాలయాల్లో సేవలందించారు. నాగాలాండ్ ప్రభుత్వంతో తన పదవీకాలంలో, ఇతను ఒక పీపుల్స్ ప్రోగ్రామ్, నాగాలాండ్ ఎంపవర్మెంట్ ఆఫ్ పీపుల్ త్రూ ఎకనామిక్ డెవలప్మెంట్ (NEPED)ని ప్రారంభించాడు, ఇది నాగాలాండ్ ప్రజల ప్రమేయాన్ని పొందడంలో విజయవంతమైంది. భారత ప్రభుత్వం 1990లో నాల్గవ అత్యున్నత పౌర పురస్కారమైన పద్మశ్రీని ప్రదానం చేసింది. COVID-19 కారణంగా గోఖలే 18 ఏప్రిల్ 2021న 75 సంవత్సరాల వయస్సులో మరణించారు. "
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
