,Recipients,early life and career,early life and career Telugu
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,"Ahmed Jan later known as 'Ahmed Jan Thirakwa' was born to a family of musicians in 1892 in Moradabad in Uttar Pradesh state in northern India. Although his early musical training was in Hindustani vocals and the sarangi, his interest in tabla was aroused when he first heard tabla player Munir Khan. He became Munir Khan's disciple at the age of 12. According to The Hindu newspaper article, ""When he was around 12, Ahmed Jan was brought to Bombay by his father Hussain Bakhsh and elder brother Mia Jan, both of whom were noted sarangi players, and placed in the hands of the tabla stalwart Ustad Munir Khan. The tutelage was to last for 25 years but at a very early stage, his guru's father, Kale Khan, nicknamed him ""Thirakwa"" because of his playful and naughty nature."" For a long time, he played tabla in the court of the Nawab of Rampur and during this time, came in close contact with the maestroes of Agra, Jaipur, Gwalior and Patiala gharanas  — both vocalists and instrumentalists. On very few occasions, he rendered Bandishes in his own voice but this was only in the company of extremely close compatriots and admirers. As an accompanist, he was equally loved respected and admired by his peers and elders. Two noteworthy artists in this category of admirers was the great Rabindrasangeet exponent Suchitra Mitra (1924–2011) and the famous tabla player Pandit Nikhil Ghosh.The name ""Thirakwa"" is not actually his original name, but was a nickname he earned from his guru's father","అహ్మద్ జాన్ తరువాత 'అహ్మద్ జాన్ తిరక్వా' అని పిలవబడేది ఉత్తర భారతదేశంలోని ఉత్తరప్రదేశ్ రాష్ట్రంలోని మొరాదాబాద్లో 1892లో సంగీతకారుల కుటుంబంలో జన్మించాడు. అతని ప్రారంభ సంగీత శిక్షణ హిందూస్థానీ గాత్రం, సారంగిలో ఉన్నప్పటికీ, తబలా వాద్యకారుడు మునీర్ ఖాన్ను మొదటిసారి విన్నప్పుడు అతనిలో తబలాపై ఆసక్తి పెరిగింది. ఇతను 12 సంవత్సరాల వయస్సులో మునీర్ ఖాన్ శిష్యుడు అయ్యాడు. ది హిందూ వార్తాపత్రిక కథనం ప్రకారం, ""ఇతను 12 సంవత్సరాల వయస్సులో ఉన్నప్పుడు, అహ్మద్ జాన్ను అతని తండ్రి హుస్సేన్ బక్ష్, అన్నయ్య మియా జాన్ బొంబాయికి తీసుకువచ్చారు, వీరిద్దరూ ప్రముఖ సారంగి వాద్యకారులు,, తబలా విద్వాంసుడు ఉస్తాద్ మునీర్ చేతిలో పెట్టారు. ఖాన్. శిక్షణ 25 సంవత్సరాలు కొనసాగింది, కానీ చాలా ప్రారంభ దశలో, అతని గురువు తండ్రి కాలే ఖాన్ అతని ఆటగాడు, కొంటె స్వభావం కారణంగా అతనికి ""తిరక్వా"" అని పేరు పెట్టారు. ""చాలా కాలం పాటు, ఇతను రాంపూర్ నవాబు ఆస్థానంలో తబలా వాయించాడు, ఈ సమయంలో, ఆగ్రా, జైపూర్, గ్వాలియర్, పాటియాలా ఘరానాల మాస్ట్రోలతో సన్నిహితంగా ఉన్నాడు - గాయకులు, వాయిద్యకారులు ఇద్దరూ. చాలా తక్కువ సందర్భాల్లో, ఇతను తన స్వరంలో బాండిష్లను అందించాడు, అయితే ఇది చాలా సన్నిహిత స్వదేశీయులు, ఆరాధకుల సహవాసంలో మాత్రమే. ఒక తోడుగా, ఇతను తన తోటివారు, పెద్దలచే సమానంగా ప్రేమించబడ్డాడు, గౌరవించబడ్డాడు. ఆరాధకుల ఈ వర్గంలో ఇద్దరు ప్రముఖ కళాకారులు గొప్ప రవీంద్రసంగీత్ విద్వాంసురాలు సుచిత్రా మిత్ర (1924-2011), ప్రసిద్ధ తబలా వాద్యకారుడు పండిట్ నిఖిల్ ఘోష్. ""తిరక్వా"" అనే పేరు నిజానికి అతని అసలు పేరు కాదు, కానీ ఇతను తన గురువు తండ్రి నుండి సంపాదించిన మారుపేరు. "
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,"Asha Mangeshkar was born in the small hamlet of Goar in Sangli, then in the salute princely state of Sangli (now in Maharashtra), into the musical family of Deenanath Mangeshkar, who was Marathi and Konkani, and his Gujarati wife, Shevanti. Deenanath was an actor and classical singer on the Marathi Musical stage. When Asha was nine years old, her father died. The family moved from Pune to Kolhapur and then to Mumbai. She and her elder sister Lata Mangeshkar began singing and acting in films to support their family. She sang her first film song '""Chala Chala Nav Bala"" for the Marathi film Majha Bal (1943). The music for the film was composed by Datta Davjekar. She made her Hindi film debut when she sang the song ""Saawan Aaya"" for Hansraj Behl's Chunariya (1948). Her first solo Hindi film song was for the movie Raat Ki Raani (1949).
At the age of 16, she eloped with 31-year-old Ganpatrao Bhosle, marrying him against her family's wishes","ఆశా మంగేష్కర్ మరాఠీ, కొంకణి అయిన దీనానాథ్ మంగేష్కర్, అతని గుజరాతీ భార్య శేవంతి, సంగీత కుటుంబంలో సాంగ్లీ (ప్రస్తుతం మహారాష్ట్రలో ఉన్న) సంగ్లీలోని గోర్ అనే చిన్న కుగ్రామంలో జన్మించారు. దీనానాథ్ మరాఠీ సంగీత వేదికపై నటుడు, శాస్త్రీయ గాయకుడు. ఆశాకు తొమ్మిదేళ్ల వయసులో, ఈమె తండ్రి చనిపోయాడు. కుటుంబం పూణె నుండి కొల్హాపూర్కు, ఆపై ముంబైకి మారింది. ఈమె, ఈమె అక్క లతా మంగేష్కర్ తమ కుటుంబాన్ని పోషించుకోవడానికి సినిమాల్లో పాడటం, నటించడం ప్రారంభించారు. ఈమె తన మొదటి సినిమా పాట ""చలా చలా నవ్ బాలా"" మరాఠీ చిత్రం మజా బల్ (1943) కోసం పాడింది. ఈ చిత్రానికి సంగీతం దత్తా దావ్జేకర్ స్వరాలు సమకుర్చారు. ఈమె హన్సరాజ్ బెహ్ల్, చునారియా (1948) కోసం ""సావన్ అయా"" పాటను పాడినప్పుడు ఈమె హిందీ చలనచిత్ర రంగ ప్రవేశం చేసింది. ఈమె మొదటి సోలో హిందీ సినిమా పాట రాత్ కి రాణి (1949) చిత్రం కోసం. 16 సంవత్సరాల వయస్సులో, ఈమె 31 ఏళ్ల గణపత్రావ్ భోంస్లేతో పారిపోయి, తన కుటుంబ సభ్యులకు వ్యతిరేకంగా అతనిని వివాహం చేసుకుంది. "
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,Balasubramanian Muthuraman joined Tata Steel as a trainee in 1966. He was later shifted to the marketing and sales division after he had gained experience in the fields of iron-making and engineering development after 10 years. He worked for 20 years in this position before being appointed  the vice president of the company.,"బాలసుబ్రమణ్యం ముత్తురామన్ 1966లో టాటా స్టీల్లో ట్రైనీగా చేరారు. ఇతను 10 సంవత్సరాల తర్వాత ఇనుము తయారీ, ఇంజనీరింగ్ అభివృద్ధి రంగాలలో అనుభవం సంపాదించిన తర్వాత మార్కెటింగ్, సేల్స్ విభాగానికి మార్చబడ్డాడు. కంపెనీ వైస్ ప్రెసిడెంట్గా నియమించబడటానికి ముందు ఇతను ఈ పదవిలో 20 సంవత్సరాలు పనిచేశాడు. "
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,"Barry Gardiner, the son of Olympic footballer John Gardiner, was born in Glasgow, Scotland. His mother trained as a surgeon and was the first woman to win the gold medal for surgery at the University of Glasgow. He was educated at the independent High School of Glasgow and Haileybury and Imperial Service College in Hertfordshire. He received an undergraduate Master of Arts from the University of St Andrews before serving for two years as full-time Scottish Regional Secretary of the Student Christian Movement. As a young man, he planned to become an Episcopal priest and began identifying politically with democratic and Christian socialism.In 1983, Gardiner was awarded a Kennedy Memorial Trust scholarship to study Philosophy at Harvard University under John Rawls, returning to conduct doctoral research at Corpus Christi College, Cambridge for three years from 1984.  He was elected as a councillor to Cambridge City Council in 1988 becoming Mayor of Cambridge in 1992, the youngest mayor in the city's 800-year history. He left the council in 1994. Before his election to Parliament, he worked as a senior partner in shipping insurance and arbitration.","బారీ గార్డినర్, ఒలింపిక్ ఫుట్బాల్ క్రీడాకారుడు జాన్ గార్డినర్ కుమారుడు, స్కాట్లాండ్లోని గ్లాస్గోలో జన్మించాడు. అతని తల్లి సర్జన్గా శిక్షణ పొందింది, గ్లాస్గో విశ్వవిద్యాలయంలో శస్త్రచికిత్స కోసం బంగారు పతకాన్ని గెలుచుకున్న మొదటి మహిళ. ఇతను గ్లాస్గో, హేలీబరీ, స్వతంత్ర ఉన్నత పాఠశాల, హెర్ట్ఫోర్డ్షైర్లోని ఇంపీరియల్ సర్వీస్ కాలేజీలో చదువుకున్నాడు. ఇతను స్టూడెంట్ క్రిస్టియన్ మూవ్మెంట్, పూర్తి-సమయం స్కాటిష్ రీజినల్ సెక్రటరీగా రెండు సంవత్సరాలు పనిచేయడానికి ముందు ఇతను సెయింట్ ఆండ్రూస్ విశ్వవిద్యాలయం నుండి అండర్ గ్రాడ్యుయేట్ మాస్టర్ ఆఫ్ ఆర్ట్స్ను అందుకున్నాడు. యువకుడిగా, ఇతను ఎపిస్కోపల్ పూజారిగా మారాలని అనుకున్నాడు, ప్రజాస్వామ్య, క్రైస్తవ సోషలిజంతో రాజకీయంగా గుర్తించడం ప్రారంభించాడు. 1983లో, గార్డినర్కు జాన్ రాల్స్ ఆధ్వర్యంలో హార్వర్డ్ విశ్వవిద్యాలయంలో తత్వశాస్త్రం అధ్యయనం చేసేందుకు కెన్నెడీ మెమోరియల్ ట్రస్ట్ స్కాలర్షిప్ లభించింది, 1984 నుండి మూడు సంవత్సరాల పాటు కేంబ్రిడ్జ్లోని కార్పస్ క్రిస్టీ కాలేజీలో డాక్టరల్ పరిశోధన చేయడానికి తిరిగి వచ్చాడు. ఇతను 1988లో కేంబ్రిడ్జ్ సిటీ కౌన్సిల్కు కౌన్సిలర్గా ఎన్నికయ్యాడు, 1992లో కేంబ్రిడ్జ్ మేయర్ అయ్యాడు, నగరం, 800 సంవత్సరాల చరిత్రలో అతి పిన్న వయస్కుడైన మేయర్. 1994లో కౌన్సిల్ నుంచి నిష్క్రమించారు. పార్లమెంటుకు ఎన్నికయ్యే ముందు, ఇతను షిప్పింగ్ ఇన్సూరెన్స్, ఆర్బిట్రేషన్లో సీనియర్ భాగస్వామిగా పనిచేశాడు. "
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
