,Recipients,early life,early life Telugu
10,A. Nagappa Chettiar,,
11,A. P. J. Abdul Kalam,,
12,A. R. Rahman,"Allah Rakha Rahman was born as A. S. Dileep Kumar in Madras, Tamil Nadu, on 6 January 1967. His father, R. K. Shekhar from a Mudaliar family, was a film-score composer and conductor for Tamil and Malayalam films. Rahman began studying piano at age four. He assisted his father in the studio, playing the keyboard.
After his father's death when Rahman was nine years old, the rental of his father's musical equipment provided his family's income. Raised by his mother, Kareema (born Kashturi), Rahman, who was studying in Padma Seshadri Bala Bhavan had to work to support his family","అల్లా రఖా రెహమాన్ ఎ గా జన్మించాడు. ఎస్. 6 జనవరి 1967న తమిళనాడులోని మద్రాసులో దిలీప్ కుమార్. అతని తండ్రి, ఆర్. కె. ముదలియార్ కుటుంబానికి చెందిన శేఖర్, తమిళం, మలయాళ చిత్రాలకు ఫిల్మ్-స్కోర్ కంపోజర్, కండక్టర్. రెహమాన్ నాలుగేళ్ల వయసులో పియానో ​​నేర్చుకోవడం ప్రారంభించాడు. ఇతను స్టూడియోలో తన తండ్రికి కీబోర్డ్ వాయించేవాడు. రెహ్మాన్ తొమ్మిదేళ్ల వయసులో అతని తండ్రి మరణించిన తరువాత, అతని తండ్రి సంగీత పరికరాల అద్దె అతని కుటుంబ ఆదాయాన్ని అందించింది. పద్మ శేషాద్రి బాలభవన్లో చదువుతున్న అతని తల్లి కరీమా (కష్టూరి) వద్ద పెరిగిన రెహమాన్ తన కుటుంబాన్ని పోషించుకోవడానికి పని చేయాల్సి వచ్చింది. "
13,A. Ramachandran,,
14,A. Ramasamy Mudaliar,"Ramasamy Mudaliar was born on 14 October 1887 in Kurnool in a Tamil-speaking Tuluva Vellala Mudaliar family. He was the eldest of a pair of twins, the other being Arcot Lakshmanaswamy Mudaliar. He studied at Municipal High School, Kurnool, and graduated in arts from Madras Christian College. On graduation, Mudaliar studied law and was nominated to the Madras Legislative Council. Uncle to World War II veteran Commander V.S.P. Mudaliar.","రామసామి ముదలియార్ 1887 అక్టోబర్ 14న కర్నూలులో తమిళం మాట్లాడే తుళువ వెల్లాల ముదలియార్ కుటుంబంలో జన్మించారు. ఇతను ఒక జంట కవలలలో పెద్దవాడు, మరొకరు ఆర్కాట్ లక్ష్మణస్వామి ముదలియార్. ఇతను కర్నూలులోని మున్సిపల్ హైస్కూల్లో చదువుకున్నాడు, మద్రాసు క్రిస్టియన్ కాలేజీ నుండి ఆర్ట్స్లో పట్టభద్రుడయ్యాడు. గ్రాడ్యుయేషన్ తర్వాత, ముదలియార్ న్యాయశాస్త్రం అభ్యసించారు, మద్రాసు లెజిస్లేటివ్ కౌన్సిల్కు నామినేట్ అయ్యారు. రెండవ ప్రపంచ యుద్ధం అనుభవజ్ఞుడైన కమాండర్ వి. ఎస్. పి. ముదలియార్. "
15,A. S. Arya,,
16,A. S. Kiran Kumar,,
17,A. Sankara Reddy,,
18,A. Sivasailam,,
19,A. Sivathanu Pillai,,
20,A. Sreedhara Menon,,
21,A. V. Rama Rao,,
22,A. Vithal alias Dhananjay Keer,,
23,Aamir Khan,,
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,"Abdul Halim was born in 1927 in Jaora (35 km away from Ratlam, Madhya Pradesh) as the son of Jaffer Khan, a versatile vocalist, sitarist and beenkar. He belonged to the Beenkar Gharana of Indore and was an All India Radio artiste since the early 1940s. A few years before the Beatles met Ravi Shankar, in 1958, Khan collaborated with jazz pianist and composer Dave Brubeck. Brubeck who was in Bombay through the U.S. State Department sponsored Jazz Ambassadors Program was impressed by the improvisation in Indian music and said that the experience accompanying Halim Jaffer Khan led him to play in a different way. Brubeck says of that meeting, ""We understood each other."" Khan also performed with the noted English classical guitarist Julian Bream in 1963.","అబ్దుల్ హలీమ్ 1927లో జయోరాలో (మధ్యప్రదేశ్లోని రత్లాం నుండి 35 కి. మీ దూరంలో) బహుముఖ గాయకుడు, సితార్ వాద్యకారుడు, బేకర్ అయిన జాఫర్ ఖాన్ కుమారుడిగా జన్మించాడు. ఇతను ఇండోర్లోని బీంకర్ ఘరానాకు చెందినవాడు, 1940ల ప్రారంభం నుండి ఆల్ ఇండియా రేడియో ఆర్టిస్ట్. బీటిల్స్ రవిశంకర్ను కలుసుకోవడానికి కొన్ని సంవత్సరాల ముందు, 1958లో, ఖాన్ జాజ్ పియానిస్ట్, స్వరకర్త డేవ్ బ్రూబెక్తో కలిసి పనిచేశాడు. యు ద్వారా బొంబాయిలో ఉన్న బ్రూబెక్. ఎస్. స్టేట్ డిపార్ట్మెంట్ స్పాన్సర్ చేసిన జాజ్ అంబాసిడర్స్ ప్రోగ్రామ్ భారతీయ సంగీతంలో మెరుగుదలని చూసి ముగ్ధులమైందని, హలీమ్ జాఫర్ ఖాన్తో కలిసి వచ్చిన అనుభవం తనను వేరే విధంగా ప్లే చేయడానికి దారితీసిందని చెప్పారు. ఆ సమావేశం గురించి బ్రూబెక్ ఇలా అన్నాడు, ""మేము ఒకరినొకరు అర్థం చేసుకున్నాము. ""ఖాన్ 1963లో ప్రముఖ ఇంగ్లీష్ క్లాసికల్ గిటారిస్ట్ జూలియన్ బ్రీమ్తో కలిసి ప్రదర్శన ఇచ్చాడు. "
27,Abdul Jabbar Khan,"Jabbar came from a poor Muslim family which moved to Bhopal when he was one year old. He worked in the construction business, responsible for digging borewells.","జబ్బార్ ఒక పేద ముస్లిం కుటుంబం నుండి వచ్చాడు, ఇతను ఒక సంవత్సరం వయసులో భోపాల్కు వెళ్లాడు. ఇతను బోర్వెల్లు తవ్వే బాధ్యత నిర్మాణ వ్యాపారంలో పనిచేశాడు. "
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,"Abdul Rashid Khan was born in a family of musicians tracing back to Behram Khan, who was a singer of traditional Gwalior gharana gayaki. He received his initial training from his father's elder brother Bade Yusuf Khan and from his father Chhote Yusuf Khan.This was followed by extensive musical training from his family elders like Chand Khan, Barkhudar Khan and Mahtab Khan who taught him the Gwalior Gayaki. He further developed this style suiting his own artistic sensitivity. He was a descendant of Tansen, a renowned singer who was one of the nine gems in the court of Akbar the Great during the sixteenth century.","అబ్దుల్ రషీద్ ఖాన్ సంగీత విద్వాంసుల కుటుంబంలో జన్మించాడు, బెహ్రామ్ ఖాన్ సంప్రదాయ గ్వాలియర్ ఘరానా గయాకి గాయకుడు. ఇతను తన తండ్రి, అన్నయ్య బడే యూసుఫ్ ఖాన్, అతని తండ్రి ఛోటే యూసుఫ్ ఖాన్ నుండి ప్రాథమిక శిక్షణ పొందాడు. దీని తరువాత అతనికి గ్వాలియర్ గయాకి నేర్పిన చాంద్ ఖాన్, బర్ఖుదార్ ఖాన్, మహతాబ్ ఖాన్ వంటి అతని కుటుంబ పెద్దల నుండి విస్తృతమైన సంగీత శిక్షణ పొందారు. ఇతను తన స్వంత కళాత్మక సున్నితత్వానికి అనుగుణంగా ఈ శైలిని మరింత అభివృద్ధి చేశాడు. ఇతను పదహారవ శతాబ్దంలో అక్బర్ ది గ్రేట్ ఆస్థానంలో ఉన్న తొమ్మిది రత్నాలలో ఒకరైన ప్రఖ్యాత గాయకుడు తాన్సేన్ వంశస్థుడు. "
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,"Sen grew up in New Delhi, attending Sardar Patel Vidyalaya and then St Stephen's College for a Physics Honours degree.
. He has a PhD in Economics from the University of Cambridge in 1981 where he was a member of Trinity Hall and wrote a thesis titled ""The agrarian constraint to economic development: the case of India"" under supervision of Prof. J. A. Rowthorn","సేన్ న్యూ ఢిల్లీలో పెరిగాడు, సర్దార్ పటేల్ విద్యాలయంలో, సెయింట్ స్టీఫెన్స్ కాలేజీలో ఫిజిక్స్ ఆనర్స్ డిగ్రీ కోసం చదివాడు. ఇతను 1981లో కేంబ్రిడ్జ్ విశ్వవిద్యాలయం నుండి ఎకనామిక్స్లో PhD కలిగి ఉన్నాడు, అక్కడ ఇతను ట్రినిటీ హాల్లో సభ్యుడు, ప్రొఫెసర్ పర్యవేక్షణలో ""ది అగ్రేరియన్ కంస్ట్రెయిన్ టు ఎకనామిక్ డెవలప్మెంట్: ది కేస్ ఆఫ్ ఇండియా"" అనే థీసిస్ను వ్రాసాడు. జె. ఎ. రౌథ్రోన్. "
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,"Godrej completed his schooling at St. Xavier's High School and then St. Xaviers College, Mumbai for two years. He earned an undergraduate degree from HL college and an MBA from the MIT Sloan School of Management, where he was a member of the Pi Lambda Phi fraternity and a member of Tau Beta Pi.","గోద్రెజ్ తన పాఠశాల విద్యను సెయింట్. జేవియర్స్ హై స్కూల్, తరువాత St. జేవియర్స్ కాలేజీ, ముంబైలో రెండేళ్లు. ఇతను HL కళాశాల నుండి అండర్ గ్రాడ్యుయేట్ డిగ్రీని, MIT స్లోన్ స్కూల్ ఆఫ్ మేనేజ్మెంట్ నుండి MBA ను పొందాడు, అక్కడ ఇతను పై లాంబ్డా ఫై సోదర సంఘం సభ్యుడు, టౌ బీటా పై సభ్యుడు. "
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,"Adil Marzban was born in Bombay (now Mumbai) on 17 April 1914 to Pherozeshah Jehangir Marzban, a dramatist who wrote under the nom de plume, Pijam and the author of plays such as Mazandaran, Maasi no Maako and Makhai Mohoro. Born in the lineage of Fardunjee Marzban, the founder of Jam-e-Jamshed and Mumbai Samachar, both Gujarati newspapers, he did his schooling at Bharda New High School and graduated from Elphinstone College in 1933. It was during this time, he met his future producer and colleague, Pesi Khandavala. He started his career as a publicity officer for Western India Theatres but left the job to take up the editorial work of his family newspaper, Jam-e-Jamshed, in 1936, simultaneously working for Gupsup, a monthly humour magazine.","ఆదిల్ మార్జ్బాన్ బొంబాయిలో (ప్రస్తుతం ముంబై) 1914 ఏప్రిల్ 17న ఫిరోజ్షా జహంగీర్ మార్జ్బాన్కు జన్మించాడు, ఇతను నామ్ డి ప్లూమ్, పిజం కింద వ్రాసిన నాటకకారుడు, మజాందరన్, మాసి నో మాకో, మఖై మొహోరో వంటి నాటకాల రచయిత. జామ్-ఎ-జంషెడ్, ముంబై సమాచార్ అనే రెండు గుజరాతీ వార్తాపత్రికల స్థాపకుడు ఫర్దుంజీ మార్జ్బాన్ వంశంలో జన్మించిన ఇతను తన పాఠశాల విద్యను భార్దా న్యూ హై స్కూల్లో చేసాడు, 1933లో ఎల్ఫిన్స్టోన్ కళాశాల నుండి పట్టభద్రుడయ్యాడు. ఈ సమయంలో, ఇతను తన కాబోయే నిర్మాత, సహోద్యోగి పెసి ఖండవాలాను కలిశాడు. ఇతను వెస్ట్రన్ ఇండియా థియేటర్స్కు ప్రచార అధికారిగా తన వృత్తిని ప్రారంభించాడు, అయితే 1936లో తన కుటుంబ వార్తాపత్రిక జామ్-ఎ-జంషెడ్, సంపాదకీయ పనిని చేపట్టడానికి ఉద్యోగాన్ని విడిచిపెట్టాడు, అదే సమయంలో గుప్సప్ అనే నెలవారీ హాస్య పత్రికలో పనిచేశాడు. "
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,"Born on 16 December 1933, Adyar K. Lakshman hails from Kuppam in Chittoor district of Andhra Pradesh. His father, Krishnaraja Rao, was posted there as a school teacher. Lakshman and his brother Rama Rao were discovered at a young age by P.D. Doraiswamy Iyer, a representative of Smt. Rukmini Devi Arundale, the founder of the world acclaimed fine arts college Kalakshetra. The young boys showed unusual musical and rhythmic talent, and were offered a thorough education in the Fine Arts. Lakshman's father was only too happy to accept the offer made by Kalakshetra.","1933 డిసెంబర్ 16న జన్మించిన అడయార్ కె. లక్ష్మణ్ స్వస్థలం ఆంధ్రప్రదేశ్లోని చిత్తూరు జిల్లా కుప్పం. అతని తండ్రి కృష్ణరాజరావు అక్కడ పాఠశాల ఉపాధ్యాయునిగా నియమించబడ్డాడు. లక్ష్మణ్, అతని సోదరుడు రామారావు చిన్న వయస్సులోనే పి. డి. దొరైస్వామి అయ్యర్, శ్రీమతి ప్రతినిధి. రుక్మిణీ దేవి అరుండేల్, ప్రపంచ ప్రఖ్యాతి పొందిన ఫైన్ ఆర్ట్స్ కళాశాల కళాక్షేత్ర వ్యవస్థాపకురాలు. యువకులు అసాధారణమైన సంగీత, రిథమిక్ ప్రతిభను కనబరిచారు, ఫైన్ ఆర్ట్స్లో పూర్తి విద్యను అందించారు. లక్ష్మణ్ తండ్రి కళాక్షేత్ర ఆఫర్ని అంగీకరించడం చాలా సంతోషంగా ఉంది. "
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,"Thakur was born in Dabhota village of Nalagarh, Himachal Pradesh to Rajinder Kaur and Chottu Ram. He was inspired by his cousin Rakesh who had already represented India in Kabaddi at international level. He married Sandeep Rana on April 10, 2019.","ఠాకూర్ హిమాచల్ ప్రదేశ్లోని నలాఘర్లోని దభోటా గ్రామంలో రాజిందర్ కౌర్, చొట్టు రామ్ దంపతులకు జన్మించాడు. ఇతను ఇప్పటికే అంతర్జాతీయ స్థాయిలో కబడ్డీలో భారతదేశానికి ప్రాతినిధ్యం వహించిన అతని బంధువు రాకేష్ నుండి ప్రేరణ పొందాడు. ఇతను ఏప్రిల్ 10, 2019న సందీప్ రాణాను వివాహం చేసుకున్నాడు. "
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,"Bajaj (also affectionately known as ""Bagage"") completed his schooling at The Lawrence School, Sanawar. At the age of twelve he climbed the 17,353-foot-high (5,289 m) Friendship Peak near Kullu. He graduated from St. Stephen's College, Delhi.","బజాజ్ (దీనిని ముద్దుగా ""బాగేజ్"" అని కూడా పిలుస్తారు) సనావర్లోని లారెన్స్ స్కూల్లో పాఠశాల విద్యను పూర్తి చేశాడు. పన్నెండేళ్ల వయసులో ఇతను కులు సమీపంలోని 17, 353 అడుగుల ఎత్తు (5, 289 మీ) స్నేహ శిఖరాన్ని అధిరోహించాడు. ఇతను సెయింట్ నుండి పట్టభద్రుడయ్యాడు. స్టీఫెన్స్ కాలేజ్, ఢిల్లీ. "
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,"Singh was born on 1 April 1947 at Sansarpur, a small village near Jalandhar Cantonment of Punjab, which was famous as a breeding ground for the hockey stars as this village had been home to a number of international hockey players who had done the nation proud with their commendable performance in the game. As a young man he joined the newly raised Border Security Force(BSF) and captained the Hockey team of BSF. Under his captainship BSF hockey team lifted the Nehru Trophy in 1975. He left the force as an Assistant Commandant.","సింగ్ 1 ఏప్రిల్ 1947న పంజాబ్లోని జలంధర్ కంటోన్మెంట్ సమీపంలోని సన్సార్పూర్ అనే చిన్న గ్రామంలో జన్మించాడు, ఈ గ్రామం దేశం గర్వించేలా చేసిన అనేక మంది అంతర్జాతీయ హాకీ క్రీడాకారులకు నిలయంగా ఉన్నందున హాకీ స్టార్లకు బ్రీడింగ్ గ్రౌండ్గా ప్రసిద్ధి చెందింది. ఆటలో వారి మెచ్చుకోదగిన ప్రదర్శన. యువకుడిగా ఇతను కొత్తగా పెరిగిన బోర్డర్ సెక్యూరిటీ ఫోర్స్ (BSF) లో చేరాడు, BSF, హాకీ జట్టుకు కెప్టెన్గా ఉన్నాడు. అతని నాయకత్వంలో BSF హాకీ జట్టు 1975లో నెహ్రూ ట్రోఫీని కైవసం చేసుకుంది. ఇతను అసిస్టెంట్ కమాండెంట్గా దళాన్ని విడిచిపెట్టాడు. "
82,Ajit Ram Verma,"Ajit Ram Verma was born on 20 September 1921 at Dalmau near Lucknow to Hans Raj Verma, a Railway official, and Devi Rani.
After early education at several places including Allahabad and Meerut, he enrolled in Allahabad University, where he took his BSc (1940) and MSc (1942) degrees.","అజిత్ రామ్ వర్మ 20 సెప్టెంబర్ 1921న లక్నో సమీపంలోని దాల్మావులో రైల్వే అధికారి హన్స్ రాజ్ వర్మ, దేవి రాణి దంపతులకు జన్మించారు. అలహాబాద్, మీరట్తో సహా అనేక ప్రదేశాలలో ప్రారంభ విద్యాభ్యాసం తర్వాత, ఇతను అలహాబాద్ విశ్వవిద్యాలయంలో చేరాడు, అక్కడ ఇతను తన BSc (1940), MSc (1942) డిగ్రీలను తీసుకున్నాడు. "
83,Ajit Wadekar,"Born in brahmin family at Bombay,Wadekar's father wished him to study Mathematics so that he could become an engineer, but Wadekar instead preferred to play cricket.","బొంబాయిలో బ్రాహ్మణ కుటుంబంలో జన్మించిన వాడేకర్ తండ్రి ఇతను ఇంజనీర్ కావడానికి గణితం చదవాలని కోరుకున్నాడు, కాని వాడేకర్ బదులుగా క్రికెట్ ఆడటానికి ఇష్టపడతాడు. "
84,Ajoy Chakrabarty,"Ajoy Chakrabarty was born in Kolkata, West Bengal. His father moved to India from his homeland, Mymensingh of Bangladesh during the partition and raised two sons in Shyamnagar. His younger brother, Sanjay Chakraborty, is a lyricist and composer.
He graduated top of his class in music, both in B.A and M.A. from the Rabindra Bharati University in Kolkata and joined the ITC Sangeet Research Academy in 1978 as its first scholar. Today he is one of the youngest gurus of this academy.
His father was his first Guru. He then studied with Pannalal Samanta, Kanaidas Baigari and Jnan Prakash Ghosh","అజోయ్ చక్రబర్తి పశ్చిమ బెంగాల్లోని కోల్కతాలో జన్మించారు. అతని తండ్రి దేశ విభజన సమయంలో బంగ్లాదేశ్లోని మైమెన్సింగ్ నుండి తన స్వదేశం నుండి భారతదేశానికి తరలివెళ్లారు, ఇద్దరు కొడుకులను శ్యామ్నగర్లో పెంచారు. అతని తమ్ముడు సంజయ్ చక్రవర్తి గీత రచయిత, స్వరకర్త. ఇతను సంగీతంలో తన క్లాస్లో టాప్ పట్టభద్రుడయ్యాడు, రెండింటిలోనూ బి. ఎ, ఎం. ఎ. కోల్కతాలోని రవీంద్రభారతి విశ్వవిద్యాలయం నుండి, 1978లో ITC సంగీత్ రీసెర్చ్ అకాడమీలో మొదటి స్కాలర్గా చేరారు. నేడు ఇతను ఈ అకాడమీ, చిన్న గురువులలో ఒకడు. అతని తండ్రి అతని మొదటి గురువు. ఆ తర్వాత పన్నాలాల్ సమంత, కనైదాస్ బైగారి, జ్ఞాన్ ప్రకాష్ ఘోష్ దగ్గర చదువుకున్నాడు. "
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,"Khan was born in 1899, to Mehboob Ali Khan, a minor jagirdar in Bidar and the commander of one of the irregular troops of the Nizam. He received his early education in Mufid-ul-Anam High School. He joined the Aligarh Muslim University, but influenced by Gandhi, he gave up his studies to participate in the Non-cooperation movement. He later completed his B.A. in 1923 from Osmania University. Later he took LL.B. (Hons) from London University, completed barrister at law at Middle Temple, and returned in 1927 to start practice as advocate. After his return from England as barrister at law he married Karamat Unissa Begum","ఖాన్ 1899లో బీదర్లోని మైనర్ జాగీర్దార్, నిజాం, అక్రమ సేనలలో ఒకరికి కమాండర్ అయిన మెహబూబ్ అలీ ఖాన్కు జన్మించాడు. ఇతను ముఫీద్-ఉల్-అనమ్ హైస్కూల్లో తన ప్రారంభ విద్యను అభ్యసించాడు. ఇతను అలీఘర్ ముస్లిం యూనివర్శిటీలో చేరాడు, కానీ గాంధీచే ప్రభావితమైన ఇతను సహాయ నిరాకరణ ఉద్యమంలో పాల్గొనడానికి తన చదువును విడిచిపెట్టాడు. తరువాత ఇతను తన బి పూర్తి చేశాడు. ఎ. 1923లో ఉస్మానియా యూనివర్సిటీ నుంచి. తర్వాత ఎల్ఎల్ తీసుకున్నాడు. బి. (ఆనర్స్) లండన్ విశ్వవిద్యాలయం నుండి, మిడిల్ టెంపుల్లో న్యాయవాదిని పూర్తి చేసి, న్యాయవాదిగా ప్రాక్టీస్ ప్రారంభించడానికి 1927లో తిరిగి వచ్చారు. న్యాయవాదిగా ఇంగ్లండ్ నుండి తిరిగి వచ్చిన తరువాత ఇతను కరామత్ యునిస్సా బేగంను వివాహం చేసుకున్నాడు. "
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,"Akkitham Achuthan Namboothiri was born on 18 March 1926 at Amettikkara, near Kumaranellur in Palakkad district of the south Indian state of Kerala to Amettu Akkithathu Manayil Vasudevan Namboothiri and Checkur Manaykkal Parvathy Antharjanam. After schooling in Sanskrit, Astrology and Music, he started his college education but did not complete his graduate degree course.He is the first prisedent of Thapasya(group of artists and literary fellows)a organization under RSS","అక్కితం అచ్యుతన్ నంబూతిరి 1926 మార్చి 18న దక్షిణ భారత దేశంలోని కేరళ రాష్ట్రంలోని పాలక్కాడ్ జిల్లాలోని కుమారనెల్లూరు సమీపంలోని అమెట్టిక్కరాలో అక్కితతు మనయిల్ వాసుదేవన్ నంబూతిరి, చెకుర్ మనాయక్కల్ పార్వతి అంతర్జనమ్ దంపతులకు జన్మించారు. సంస్కృతం, జ్యోతిష్యం, సంగీతంలో పాఠశాల విద్య తరువాత, ఇతను తన కళాశాల విద్యను ప్రారంభించాడు కానీ అతని గ్రాడ్యుయేట్ డిగ్రీ కోర్సును పూర్తి చేయలేదు. ఇతను RSS ఆధ్వర్యంలోని తపస్య (కళాకారులు, సాహిత్య సహచరుల సమూహం), మొదటి అధ్యక్షుడు. "
98,Akshay Kumar,,
