,Recipients,work,work Telugu
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,"Suroor wrote extensively on Urdu poet Muhammad Iqbal. Suroor was the founder director of the ""Iqbal institute"" in Kashmir University which is now known as the ""Iqbal institute of Culture and Philosophy"". The ""Iqbal Chair"" was established at Kashmir University in 1977 where Suroor was appointed as Iqbal professor.


''' Books '''
Suroor authored many books. The following is an incomplete list of Suroor's books.
Khwab Baaki Hai (Dreams Still Remain): It is an autobiography of Suroor published in 1991.
Nazar aur Nazariya (Sight and Perspective) (1973): Critic work which won Sahitya Akademi Award of Government of India in 1974.
Tanqidi Ishare (Critical Signposts) (1942): It was Suroor's first collection of critical writing.
Naye aur Purane Chirag (New and Old Lamps) (1946)
Tanqid Kya Hai? (What is Criticism?) (1947)
Adab aur Nazariya (Literature and Perspective) (1954)
Jadidiyat aur Adab (Modernism and Literature) (1967)
Masarrat se Basirat tak (From Pleasure to Insight) (1974)
Urdu aur Hindustani Tehjib (Urdu and Indian culture) (1985)
Afkar ke Diye (The Lamps of the Mind) (2000)The following are some of books written by Suroor on Iqbal's legacy.
Iqbal aur unka Falsafa (Iqbal and his Philosophy) (1977)
Iqbal:Nazar aur Shairi (Iqbal:Vision and Poetry) (1978)
Iqbal, Faiz aur Ham (Iqbal, Faiz and We) (1985)
Iqbal ki Manviyat (The Relevance of Iqbal) (1986)
Danishwar Iqbal (Iqbal The Intellectual) (1996)","సురూర్ ఉర్దూ కవి ముహమ్మద్ ఇక్బాల్పై విస్తృతంగా రాశారు. సురూర్ కాశ్మీర్ విశ్వవిద్యాలయంలో ""ఇక్బాల్ ఇన్స్టిట్యూట్"" వ్యవస్థాపక డైరెక్టర్, దీనిని ఇప్పుడు ""ఇక్బాల్ ఇన్స్టిట్యూట్ ఆఫ్ కల్చర్ అండ్ ఫిలాసఫీ"" అని పిలుస్తారు. ""ఇక్బాల్ చైర్"" 1977లో కాశ్మీర్ విశ్వవిద్యాలయంలో స్థాపించబడింది, ఇక్కడ సురూర్ ఇక్బాల్ ప్రొఫెసర్గా నియమితులయ్యారు. '''పుస్తకాలు '''సురూర్ అనేక పుస్తకాలను రచించాడు. కిందిది సురూర్ పుస్తకాల అసంపూర్ణ జాబితా. ఖ్వాబ్ బాకీ హై (కలలు ఇంకా మిగిలి ఉన్నాయి): ఇది 1991లో ప్రచురించబడిన సురూర్ ఆత్మకథ. నాజర్ ఔర్ నజారియా (దృష్టి, దృక్పథం) (1973): 1974లో భారత ప్రభుత్వ సాహిత్య అకాడమీ అవార్డు గెలుచుకున్న విమర్శకుల రచన. టంకిడి ఇషారే (క్రిటికల్ సైన్పోస్ట్లు) (1942): ఇది సురూర్, మొదటి విమర్శనాత్మక రచన సంకలనం. నయే ఔర్ పురానే చిరాగ్ (కొత్త, పాత దీపాలు) (1946)తాంకిద్ క్యా హై? (విమర్శ అంటే ఏమిటి?) (1947) అదాబ్ ఔర్ నజారియా (సాహిత్యం, దృక్పథం) (1954) జదిదియత్ ఔర్ అదాబ్ (ఆధునికవాదం, సాహిత్యం) (1967) మసరత్ సే బసిరత్ తక్ (ఆనందం నుండి అంతర్దృష్టి వరకు) (1974) ఉర్దూ తెదుజిబ్ ఉర్ ), భారతీయ సంస్కృతి) (1985)అఫ్కర్ కే దియే (ది లాంప్స్ ఆఫ్ ది మైండ్) (2000)ఇక్బాల్ వారసత్వంపై సురూర్ రాసిన కొన్ని పుస్తకాలు క్రిందివి. ఇక్బాల్ ఔర్ ఉంకా ఫల్సాఫా (ఇక్బాల్, అతని తత్వశాస్త్రం) (1977)ఇక్బాల్:నాజర్ ఔర్ షైరీ (ఇక్బాల్:విజన్ అండ్ పొయెట్రీ) (1978)ఇక్బాల్, ఫైజ్ ఔర్ హామ్ (ఇక్బాల్, ఫైజ్, మేము) (1985)ఇక్బాల్ కి మాన్వియత్ ఆఫ్ ది రిలేవ్ ఇక్బాల్ (1986)దానిశ్వర్ ఇక్బాల్ (ఇక్బాల్ ది ఇంటెలెక్చువల్) (1996). "
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,"Anjolie Ela Menon's preferred medium was oil on masonite, which she applied by using a series of translucent colours and thin washes. In addition to oil paintings and murals, she worked in several other mediums, including computer graphics and Murano glass. She is best known for her religious-themed works, portraits, and nudes that incorporated a vibrant colour palette and were rendered in a variety of styles ranging from cubism to techniques that recalled the artists of the European Renaissance. In 1997 she, for the first time displayed non-figurative work, including Buddhist abstracts. She represented India at the Paris, Algiers, and São Paulo Biennales and at three Triennales in New Delhi.Being a well-known muralist, Anjolie Ela Menon has done over 35 solo shows and many group shows in India and abroad. In 1968, 1972 and 1975, she performed along with I, II, III International Triennale by Lalit Kala Akademi, with Paris Biennale, France in 1980 and in 1980 at New York and Washington D.C.In the year 2000, Government of India conferred Anjolie Ela Menon with the most prestigious Padma Shree Award. In the same year, she was nominated to be on the board of trustees of the Indira Gandhi National Centre for the Arts (IGNCA) — the only visual artist to have ever been nominated","అంజోలీ ఎలా మీనన్ ఇష్టపడే మాధ్యమం మసోనైట్పై నూనె, ఈమె అపారదర్శక రంగులు, సన్నని వాష్లను ఉపయోగించడం ద్వారా దరఖాస్తు చేసింది. ఆయిల్ పెయింటింగ్స్, కుడ్యచిత్రాలతో పాటు, ఈమె కంప్యూటర్ గ్రాఫిక్స్, మురానో గ్లాస్తో సహా అనేక ఇతర మాధ్యమాలలో పనిచేసింది. ఈమె మతపరమైన-నేపథ్య రచనలు, పోర్ట్రెయిట్లు, నగ్న చిత్రాలకు ప్రసిద్ధి చెందింది, ఇది శక్తివంతమైన రంగుల పాలెట్ను కలిగి ఉంది, క్యూబిజం నుండి యూరోపియన్ పునరుజ్జీవనోద్యమానికి చెందిన కళాకారులను గుర్తుచేసే పద్ధతుల వరకు వివిధ శైలులలో ప్రదర్శించబడింది. 1997లో, ఈమె మొదటిసారిగా బౌద్ధ సారాంశాలతో సహా చిత్రలేతర పనిని ప్రదర్శించింది. ఈమె పారిస్, అల్జీర్స్, సావో పాలో బినాల్స్, న్యూ ఢిల్లీలోని మూడు ట్రియెన్నాల్స్లో భారతదేశానికి ప్రాతినిధ్యం వహించింది. సుప్రసిద్ధ కుడ్యచిత్రకారుడు అయిన అంజోలీ ఎలా మీనన్ భారతదేశం, విదేశాలలో 35కి పైగా సోలో షోలు, అనేక గ్రూప్ షోలు చేసారు. 1968, 1972, 1975లో, ఈమె లలిత్ కళా అకాడమీ ద్వారా I, II, III ఇంటర్నేషనల్ ట్రైనాలేతో పాటు 1980లో ఫ్రాన్స్లోని ప్యారిస్ బినాలేతో, 1980లో న్యూయార్క్, వాషింగ్టన్ D లలో ప్రదర్శించారు. సి. 2000 సంవత్సరంలో, భారత ప్రభుత్వం అంజోలీ ఎలా మీనన్ను అత్యంత ప్రతిష్టాత్మకమైన పద్మశ్రీ అవార్డుతో సత్కరించింది. అదే సంవత్సరంలో, ఈమె ఇందిరా గాంధీ నేషనల్ సెంటర్ ఫర్ ది ఆర్ట్స్ (IGNCA), ధర్మకర్తల బోర్డులో నామినేట్ చేయబడింది — ఇదివరకు నామినేట్ చేయబడిన ఏకైక దృశ్య కళాకారిణి. "
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,"''' As Illustrator '''
The Mahabharata by Shanta Rameshwar Rao; illustrations by Badri Narayan. (1985, Orient Longman)
The Ramayana by Laxmi Lal, illustrated by Badri Narayan (1988, Orient Longman)","శాంతా రామేశ్వర్ రావు రచించిన '' 'ఇలస్ట్రేటర్గా' '' మహాభారతం; బద్రీ నారాయణ్ దృష్టాంతాలు. (1985, ఓరియంట్ లాంగ్మన్) లక్ష్మీ లాల్ రచించిన రామాయణం, బద్రీ నారాయణ్ (1988, ఓరియంట్ లాంగ్మన్) చిత్రీకరించారు. "
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,"She rejected job offers from the government to work in Nandalal Bhandari Maternity Home to treat the wives of poor mill workers. She started the Vatsalya Nursing Home with her Husband Late Dr CS Yadav at her residence, which has been continuing for 36 years now.  It is now being looked after by Dr. Chetan M Yadav, her son and Dr. Sunita Yadav, her daughter-in-law. Dr. Bhakti Yadav conducted 1.5 lakhs operations including 70,000 normal deliveries. She treated about a thousand women patients without charging them any fees.","పేద మిల్లు కార్మికుల భార్యలకు వైద్యం చేసేందుకు నందలాల్ భండారీ ప్రసూతి గృహంలో పనిచేయడానికి ప్రభుత్వం నుండి వచ్చిన ఉద్యోగ ప్రతిపాదనలను ఈమె తిరస్కరించారు. ఈమె తన నివాసంలో తన భర్త దివంగత డాక్టర్ సిఎస్ యాదవ్తో కలిసి వాత్సల్య నర్సింగ్ హోమ్ను ప్రారంభించింది, ఇది ఇప్పుడు 36 సంవత్సరాలుగా కొనసాగుతోంది. దీనిని ఇప్పుడు డా. చేతన్ ఎం యాదవ్, ఈమె కుమారుడు, డా. సునీతా యాదవ్, ఈమె కోడలు. డా. భక్తి యాదవ్ నిర్వహించారు 1. 70, 000 సాధారణ ప్రసవాలు సహా 5 లక్షల ఆపరేషన్లు. ఈమె సుమారు వెయ్యి మంది మహిళా రోగులకు ఎటువంటి రుసుము వసూలు చేయకుండా చికిత్స చేసింది. "
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
