,Recipients,political career,political career Telugu
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,"Amit Mitra joined All India Trinamool Congress on the invitation of Mamata Banerjee and contested during the state assembly election of 2011 from the Khardaha state assembly constituency. He was attributed a giant killer after the election as he defeated state Finance Minister Asim Dasgupta by a margin of 26,154 votes. Asim Dasgupta was elected from the Khardaha constituency previously  five times in a row during the state assembly elections of 1987, 1991, 1996, 2001 and 2006.
Amit Mitra was sworn in as a minister on May 20, 2011 and was given the Finance and Excise portfolio.Amit Mitra has opined that the ‘minimal capital expenditure’ made over a long period by the state government has led to the state of bankruptcy. He feels that the state's financial condition can be improved with a flow of investments and expansion of the state's existing industrial units.","అమిత్ మిత్రా మమతా బెనర్జీ ఆహ్వానం మేరకు ఆల్ ఇండియా తృణమూల్ కాంగ్రెస్లో చేరారు, 2011 రాష్ట్ర అసెంబ్లీ ఎన్నికల సమయంలో ఖర్దాహా రాష్ట్ర అసెంబ్లీ నియోజకవర్గం నుండి పోటీ చేశారు. ఎన్నికల తర్వాత రాష్ట్ర ఆర్థిక మంత్రి అసిమ్ దాస్గుప్తాను 26, 154 ఓట్ల తేడాతో ఓడించడంతో ఆయనను జెయింట్ కిల్లర్గా అభివర్ణించారు. అసిమ్ దాస్గుప్తా 1987, 1991, 1996, 2001, 2006లో జరిగిన రాష్ట్ర అసెంబ్లీ ఎన్నికలలో ఖర్దాహా నియోజకవర్గం నుంచి గతంలో వరుసగా ఐదుసార్లు ఎన్నికయ్యారు. అమిత్ మిత్రా మే 20, 2011న మంత్రిగా ప్రమాణ స్వీకారం చేశారు, ఆయనకు ఆర్థిక, ఎక్సైజ్ శాఖలు ఇచ్చారు. రాష్ట్ర ప్రభుత్వం చాలా కాలంగా చేసిన ‘కనీస మూలధన వ్యయం’ దివాలా తీయడానికి దారితీసిందని అమిత్ మిత్రా అభిప్రాయపడ్డారు. రాష్ట్రంలో ప్రస్తుతం ఉన్న పారిశ్రామిక యూనిట్ల విస్తరణ, పెట్టుబడుల ప్రవాహంతో రాష్ట్ర ఆర్థిక పరిస్థితి మెరుగుపడుతుందని ఆయన అభిప్రాయపడ్డారు. "
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,"Jaitley had been a member of the national executive of Bharatiya Janata Party since 1991. He became the spokesperson of the BJP during the period preceding the 1999 general election.


''' Union Minister for Information and Broadcasting (1999–2000) '''
On 13 October 1999, after the Vajpayee Government of the BJP led National Democratic Alliance came to power, he was appointed Minister of State for Information and Broadcasting (Independent Charge). In addition he was appointed Minister of State for Disinvestment (Independent Charge). The disinvestment ministry was created for the first time in accordance with the policy of disinvestment under the World Trade Organization regime. On 23 July 2000 following the resignation of Ram Jethmalani as the Union Cabinet Minister of Law, Justice and Company Affairs, he took over his ministry as an additional charge.


''' Union Minister of Law and Justice (2000–04) '''
In November 2000 and was made a Cabinet Minister for the Ministry of Law, Justice and Company Affairs and Shipping. The Ministry of Surface Transport was bifurcated and he was appointed as the first Minister of Shipping. He demitted the office of the Minister for Shipping with effect from 1 September 2001 and as Union Minister of Law, Justice and Company Affairs on 1 July 2002. He then served as the General Secretary of the BJP and its national spokesman","జైట్లీ 1991 నుంచి భారతీయ జనతా పార్టీ జాతీయ కార్యవర్గంలో సభ్యుడిగా ఉన్నారు. 1999 సార్వత్రిక ఎన్నికలకు ముందు కాలంలో ఆయన బీజేపీ అధికార ప్రతినిధి అయ్యారు. '''కేంద్ర సమాచార, ప్రసార మంత్రి (1999–2000) '''13 అక్టోబర్ 1999న, BJP నేతృత్వంలోని నేషనల్ డెమోక్రటిక్ అలయన్స్ అధికారంలోకి వచ్చిన తర్వాత, ఇతను సమాచార, ప్రసార శాఖ సహాయ మంత్రిగా (స్వతంత్ర బాధ్యత) నియమించబడ్డాడు. ). అదనంగా, ఇతను పెట్టుబడుల ఉపసంహరణ రాష్ట్ర మంత్రిగా (స్వతంత్ర బాధ్యత) నియమించబడ్డాడు. ప్రపంచ వాణిజ్య సంస్థ పాలనలో డిజిన్వెస్ట్మెంట్ విధానానికి అనుగుణంగా మొదటిసారిగా పెట్టుబడుల ఉపసంహరణ మంత్రిత్వ శాఖ సృష్టించబడింది. 23 జూలై 2000న న్యాయ, న్యాయ, కంపెనీ వ్యవహారాల కేంద్ర క్యాబినెట్ మంత్రిగా రామ్ జెఠ్మలానీ రాజీనామా చేసిన తరువాత, ఇతను అదనపు బాధ్యతగా తన మంత్రిత్వ శాఖను స్వీకరించాడు. '''కేంద్ర చట్టం, న్యాయ మంత్రి (2000–04) '''నవంబర్ 2000లో న్యాయ, న్యాయ, కంపెనీ వ్యవహారాలు, షిప్పింగ్ మంత్రిత్వ శాఖకు క్యాబినెట్ మంత్రిగా చేశారు. ఉపరితల రవాణా మంత్రిత్వ శాఖ రెండుగా విభజించబడింది, ఇతను షిప్పింగ్ మొదటి మంత్రిగా నియమించబడ్డాడు. ఇతను 1 సెప్టెంబర్ 2001 నుండి షిప్పింగ్ మంత్రి పదవిని, 1 జూలై 2002న కేంద్ర న్యాయ, న్యాయ, కంపెనీ వ్యవహారాల మంత్రిగా బాధ్యతలు చేపట్టాడు. ఆ తర్వాత బీజేపీ ప్రధాన కార్యదర్శిగా, జాతీయ అధికార ప్రతినిధిగా పనిచేశారు. "
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,"Chander was first elected to Punjab Legislative Assembly from Kartarpur in 2007. In 2012, he successfully contested from the new constituency Phillaur.",చందర్ తొలిసారిగా 2007లో కర్తార్పూర్ నుంచి పంజాబ్ శాసనసభకు ఎన్నికయ్యారు. 2012లో కొత్త నియోజకవర్గం ఫిలింనగర్ నుంచి పోటీ చేసి విజయం సాధించారు. 
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,Rao was the speaker of Andhra Pradesh Legislative Assembly from 1956 to 1962.,రావు 1956 నుండి 1962 వరకు ఆంధ్రప్రదేశ్ శాసనసభ స్పీకర్గా ఉన్నారు. 
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,"B. G. Kher's political career began in 1922.  He was appointed as the Secretary of the Bombay branch of the Swaraj Party. During the Civil disobedience movement, he was arrested and sentenced to eight months' rigorous imprisonment and fine in 1930. He was again arrested in 1932 and sentenced to two years rigorous imprisonment and fine.
He became the first Prime Minister of the Bombay Province in 1937 and continued in office till October 1939. He was arrested and imprisoned in 1940. During the Quit India struggle, he was arrested again and imprisoned in August 1942. He was released from prison on 14 July 1944","బి. జి. ఖేర్ రాజకీయ జీవితం 1922లో ప్రారంభమైంది. స్వరాజ్ పార్టీ బొంబాయి శాఖ కార్యదర్శిగా నియమితులయ్యారు. శాసనోల్లంఘన ఉద్యమం సమయంలో, ఇతను అరెస్టు చేయబడ్డాడు, 1930లో ఎనిమిది నెలల కఠిన కారాగార శిక్ష, జరిమానా విధించబడ్డాడు. ఇతను 1932లో మళ్లీ అరెస్టు చేయబడ్డాడు, రెండు సంవత్సరాల కఠిన కారాగార శిక్ష, జరిమానా విధించబడింది. ఇతను 1937లో బాంబే ప్రావిన్స్కి మొదటి ప్రధానమంత్రి అయ్యాడు, అక్టోబర్ 1939 వరకు పదవిలో కొనసాగాడు. ఇతను 1940 లో అరెస్టు చేయబడి జైలులో ఉన్నాడు. క్విట్ ఇండియా పోరాటంలో, ఇతను మళ్లీ అరెస్టు చేయబడి ఆగస్టు 1942 లో జైలు పాలయ్యాడు. ఇతను 1944 జూలై 14న జైలు నుండి విడుదలయ్యాడు. "
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,"With the enactment of the Government of India Act 1935, the couple joined the Muslim League and entered electoral politics. In the 1937 elections, she was one of the few women who successfully contested from a non-reserved seat and was elected to the U.P legislative assembly. Begum Aijaz Rasul remained a member till 1952. She held the office of the Deputy President of the Council from 1937 to 1940 and acted as the Leader of Opposition in the Council from 1950 to 1952-54. She was the first woman in India and the first Muslim woman in the world to reach this position. Despite her family background, she was known for her strong support for zamindari abolition. She also strongly opposed the demand for separate electorates based on religion.
In 1946, she was elected to the Constituent Assembly of India and was one of 28 Muslim League members who finally joined. She was the only Muslim woman in the Assembly","భారత ప్రభుత్వ చట్టం 1935 అమలులోకి రావడంతో, ఈ జంట ముస్లిం లీగ్లో చేరి ఎన్నికల రాజకీయాల్లోకి ప్రవేశించారు. 1937 ఎన్నికలలో, రిజర్వ్డ్ కాని స్థానం నుండి విజయవంతంగా పోటీ చేసి U కి ఎన్నికైన కొద్దిమంది మహిళల్లో ఈమె ఒకరు. పి శాసన సభ. బేగం ఐజాజ్ రసూల్ 1952 వరకు సభ్యురాలిగా కొనసాగారు. ఈమె 1937 నుండి 1940 వరకు కౌన్సిల్ డిప్యూటీ ప్రెసిడెంట్ పదవిని నిర్వహించారు, 1950 నుండి 1952-54 వరకు కౌన్సిల్లో ప్రతిపక్ష నాయకురాలిగా పనిచేశారు. భారతదేశంలో ఈ స్థానానికి చేరుకున్న మొదటి మహిళ, ప్రపంచంలోనే మొదటి ముస్లిం మహిళ. ఈమె కుటుంబ నేపథ్యం ఉన్నప్పటికీ, ఈమె జమీందారీ నిర్మూలనకు ఈమె బలమైన మద్దతుకు ప్రసిద్ధి చెందింది. మత ప్రాతిపదికన ప్రత్యేక ఓటర్ల డిమాండ్ను కూడా ఈమె తీవ్రంగా వ్యతిరేకించారు. 1946లో, ఈమె భారత రాజ్యాంగ సభకు ఎన్నికయ్యారు, చివరకు చేరిన 28 మంది ముస్లిం లీగ్ సభ్యులలో ఒకరు. అసెంబ్లీలో ఉన్న ఏకైక ముస్లిం మహిళ. "
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
