,Recipients,recognition,recognition Telugu
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,"Padma Vibhushan, 1977
Shanti Swarup Bhatnagar Prize, 1974
Padma Bhusan, 1954
Conferred the honorary D.Sc. degree by his alma mater","పద్మ విభూషణ్, 1977 శాంతి స్వరూప్ భట్నాగర్ బహుమతి, 1974 పద్మ భూషణ్, 1954 గౌరవ డి. Sc. అతని ఆల్మా మేటర్ ద్వారా డిగ్రీ. "
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,"Padma Bhushan from the Govt. of India (1970)
The Deshikottama from Visva-Bharati
Sahitya Akademi Award (1963)",ప్రభుత్వం నుండి పద్మ భూషణ్. భారతదేశం (1970) విశ్వభారతి సాహిత్య అకాడమీ అవార్డు నుండి దేశికోత్తమ (1963). 
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,"Padma Bhushan from Government of India–2003
Padmasri In 1981
Sangeet Natak Akademi Award - 1979Kalidasa Samman
D-Lit degree from University of Kannur, Kerala
Golden Bangle From International centre of Kutiyattam, Thrippunithura
Unesco Recitation from Paris in 2001
Kerala Sangeeth Natak Akademy Award
Kerala Kalamandalam Award","Padma Bhushan from Government of India–2003Padmasri In 1981Sangeet Natak Akademi Award - 1979Kalidasa SammanD-Lit degree from University of Kannur, KeralaGolden Bangle From International centre of Kutiyattam, ThrippunithuraUnesco Recitation from Paris in 2001Kerala Sangeeth Natak Akademy AwardKerala Kalamandalam Award. "
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,"She was awarded various awards for her contribution in development and management of dairy sector including the Financial Express Lifetime Achievement Award, Jawaharlal Nehru Birth Centenary Award for Nation Building (1999-2000), World Dairy Expo’s International Person of the Year (1997), Indian Dairy Association Fellowship, Krishimitra Award, Foundation National Award from Fuel Injection Engineering Company, Sahkarita Bandhu Award, Borlaug Award (1991),  Indira Gandhi Paryavaran Puraskar (2005), Mahindra Samriddhi Krishi Shiromani Samman (Lifetime Achievement Award, 2016).The Government of India awarded her Padma Bhushan, the third highest civilian award of India, in 2001.","డైరీ రంగం అభివృద్ధి, నిర్వహణలో ఈమె చేసిన కృషికి ఫైనాన్షియల్ ఎక్స్ప్రెస్ లైఫ్టైమ్ అచీవ్మెంట్ అవార్డు, జవహర్లాల్ నెహ్రూ బర్త్ సెంటెనరీ అవార్డ్ ఫర్ నేషన్ బిల్డింగ్ (1999-2000), వరల్డ్ డైరీ ఎక్స్పో, ఇంటర్నేషనల్ పర్సన్ ఆఫ్ ది ఇయర్ (1997), భారతీయుడు వంటి పలు అవార్డులు ఈమెకు లభించాయి. డెయిరీ అసోసియేషన్ ఫెలోషిప్, కృషిమిత్ర అవార్డు, ఫ్యూయెల్ ఇంజెక్షన్ ఇంజినీరింగ్ కంపెనీ నుండి ఫౌండేషన్ నేషనల్ అవార్డు, సహకరిత బంధు అవార్డు, బోర్లాగ్ అవార్డు (1991), ఇందిరా గాంధీ పర్యవరణ్ పురస్కార్ (2005), మహీంద్రా సమృద్ధి కృషి శిరోమణి సమ్మాన్ (జీవితకాల సాఫల్య పురస్కారం, 2016). భారత ప్రభుత్వం ఈమెకు 2001లో భారతదేశంలోని మూడవ అత్యున్నత పౌర పురస్కారమైన పద్మభూషణ్ను ప్రదానం చేసింది. "
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,"Patel was awarded the Padma Shri, the fourth highest civilian award in India, in 2008. He also won the KK Birla Foundation fellowship. He received the Ranjitram Suvarna Chandrak in 1995, the highest award in Gujarati literature. He was the recipient of the Sahitya Akademi Award for Gujarati in 1992 for Devoni Ghati. Bholabhai Patel Chowk, a crossroad near Gujarat University, is named after him.","పటేల్కు 2008లో భారతదేశంలో నాల్గవ అత్యున్నత పౌర పురస్కారం పద్మశ్రీ లభించింది. ఇతను కెకె బిర్లా ఫౌండేషన్ ఫెలోషిప్ను కూడా గెలుచుకున్నాడు. ఇతను 1995లో గుజరాతీ సాహిత్యంలో అత్యున్నత పురస్కారం రంజిత్రం సువర్ణ చంద్రక్ని అందుకున్నాడు. దేవోని ఘాటి కోసం 1992లో గుజరాతీకి సాహిత్య అకాడమీ అవార్డు గ్రహీత. భోలాభాయ్ పటేల్ చౌక్, గుజరాత్ యూనివర్శిటీ సమీపంలోని కూడలికి ఆయన పేరు పెట్టారు. "
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,"Arjuna Award in 1982
Padma Shri in 2001
Delhi Sports Journalist Association Award (For The Best Sports Woman 1983)
Rajasthan Sports Award Council 1984
Maharana Mewar Foundation ""Aravali Award"" (For the most Outstanding Sportswoman of the year 1990)
K.K. Birla Foundation Award for Sports (For Outstanding Performance in 1991)
Bombay Sports Journalist Association Award (For Best Sportswoman for the year 1992)
Listed in the Limca Book of Records (For Sports Person of The Year 1992 and for The Most Number of Titles Won in Indian Sports)
Rajasthan Olympic Association Award -For Best Woman Player 1993–94
Maharaja Sawai Madho Singh Award for excellence in sports","అర్జున అవార్డు 1982లో పద్మశ్రీ 2001లో ఢిల్లీ స్పోర్ట్స్ జర్నలిస్ట్ అసోసియేషన్ అవార్డు (ఉత్తమ క్రీడా మహిళ కోసం 1983) రాజస్థాన్ స్పోర్ట్స్ అవార్డ్ కౌన్సిల్ 1984 మహారాణా మేవార్ ఫౌండేషన్ ""ఆరావళి అవార్డు"" (1990 సంవత్సరంలో అత్యుత్తమ క్రీడాకారిణికి). కె. బిర్లా ఫౌండేషన్ అవార్డ్ ఫర్ స్పోర్ట్స్ (1991లో అత్యుత్తమ ప్రదర్శన కోసం)బాంబే స్పోర్ట్స్ జర్నలిస్ట్ అసోసియేషన్ అవార్డ్ (1992 సంవత్సరానికి ఉత్తమ క్రీడాకారిణిగా) లిమ్కా బుక్ ఆఫ్ రికార్డ్స్లో జాబితా చేయబడింది (స్పోర్ట్స్ పర్సన్ ఆఫ్ ది ఇయర్ 1992, అత్యధిక సంఖ్యలో టైటిల్స్ కోసం. ఇండియన్ స్పోర్ట్స్)రాజస్థాన్ ఒలింపిక్ అసోసియేషన్ అవార్డ్ -ఉత్తమ మహిళా క్రీడాకారిణికి 1993–94 క్రీడలలో ప్రతిభ చూపినందుకు మహారాజా సవాయి మాధో సింగ్ అవార్డు. "
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,"Bindeshwar Pathak is a Padma Bhushan recipient from the Government of India. In 2003, his name was added to the Global 500 Roll of Honour. Bindheshwar Pathak also received the Energy Globe Award, and the Dubai International Award for Best Practices. Stockholm Water Prize was awarded to him in year 2009. In June 2013, he also received the Legend of Planet award from the French senate in Paris, ahead of World Environment Day. Antarrashtriya Bhojpuri Samman was awarded to him in the 4th world Bhojpuri Sammelan in Port Louis.In January 2011, Pathak was invited to deliver a lecture at The Cambridge Union, a debating society of the University of Cambridge in England. The lecture was well received by the students where Dr Pathak urged the students to join voluntary work in the field of sanitation.In 2014, he was honoured by Sardar Patel International Award for ""Excellence in the field of Social Development"".In April 2016, Bill De Blasio, Mayor of New York City, declared 14 April 2016 as Bindeshwar Pathak Day","బిందేశ్వర్ పాఠక్ భారత ప్రభుత్వం నుండి పద్మభూషణ్ గ్రహీత. 2003లో, అతని పేరు గ్లోబల్ 500 రోల్ ఆఫ్ ఆనర్లో చేర్చబడింది. బింధేశ్వర్ పాఠక్ ఎనర్జీ గ్లోబ్ అవార్డు, దుబాయ్ ఇంటర్నేషనల్ అవార్డ్ ఫర్ బెస్ట్ ప్రాక్టీసెస్ కూడా అందుకున్నాడు. అతనికి 2009లో స్టాక్హోమ్ వాటర్ ప్రైజ్ లభించింది. జూన్ 2013లో, ఇతను ప్రపంచ పర్యావరణ దినోత్సవానికి ముందు పారిస్లోని ఫ్రెంచ్ సెనేట్ నుండి లెజెండ్ ఆఫ్ ప్లానెట్ అవార్డును కూడా అందుకున్నాడు. పోర్ట్ లూయిస్లో జరిగిన 4వ ప్రపంచ భోజ్పురి సమ్మేళన్లో అతనికి అంతర్రాష్ట్ర భోజ్పురి సమ్మాన్ లభించింది. జనవరి 2011లో, ఇంగ్లండ్లోని కేంబ్రిడ్జ్ విశ్వవిద్యాలయం, డిబేటింగ్ సొసైటీ అయిన ది కేంబ్రిడ్జ్ యూనియన్లో ఉపన్యాసం ఇవ్వడానికి పాఠక్ ఆహ్వానించబడ్డాడు. ఈ ఉపన్యాసం విద్యార్థుల నుండి బాగా ఆదరించబడింది, ఇక్కడ డాక్టర్ పాఠక్ విద్యార్థులు పారిశుధ్య రంగంలో స్వచ్ఛంద సేవలో చేరాలని కోరారు. 2014లో, ఇతను ""సామాజిక అభివృద్ధి రంగంలో శ్రేష్ఠత"" కోసం సర్దార్ పటేల్ అంతర్జాతీయ అవార్డుతో సత్కరించబడ్డాడు. ఏప్రిల్ 2016లో, న్యూయార్క్ నగర మేయర్ బిల్ డి బ్లాసియో, 14 ఏప్రిల్ 2016ని బిందేశ్వర్ పాఠక్ డేగా ప్రకటించారు. "
