,Recipients,honours,honours Telugu
49,Adarsh Sein Anand,"Anand was unanimously elected President of the International Institute of Human Rights Society in 1996. In 1997, he became the first Indian to be awarded the Fellowship of University College London, his alma mater. Anand was nominated as the Executive Chairman of the National Legal Services Authority (India), a statutory body, with effect from July 1997 in recognition of his contribution to legal aid for the poor. He was also unanimously elected Honorary Bencher of the Inner Temple this year. He is the author of the book, The Constitution of Jammu and Kashmir - Its Development and Comments. On 26 January 2008, Anand was honoured with the Padma Vibhushan, the second highest civilian award in India.
Awarded the Degree of LL.D. (Honoris Causa) at the Special Convocation held by Lucknow University on 14 March 1996.
Awarded Fellowship of the University College, London, on  19 May 1997","ఆనంద్ 1996లో ఇంటర్నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ హ్యూమన్ రైట్స్ సొసైటీ అధ్యక్షుడిగా ఏకగ్రీవంగా ఎన్నికయ్యారు. 1997లో, ఇతను తన విద్యాసంస్థ అయిన యూనివర్సిటీ కాలేజ్ లండన్, ఫెలోషిప్ పొందిన మొదటి భారతీయుడు అయ్యాడు. పేదలకు న్యాయ సహాయం అందించినందుకు ఆనంద్ జూలై 1997 నుండి అమలులోకి వచ్చేలా, చట్టబద్ధమైన సంస్థ అయిన నేషనల్ లీగల్ సర్వీసెస్ అథారిటీ (ఇండియా), ఎగ్జిక్యూటివ్ ఛైర్మన్గా నామినేట్ చేయబడింది. ఈ ఏడాది ఇన్నర్ టెంపుల్ గౌరవ బెంచర్గా ఏకగ్రీవంగా ఎన్నికయ్యారు. ది కాన్స్టిట్యూషన్ ఆఫ్ జమ్మూ అండ్ కాశ్మీర్ - ఇట్స్ డెవలప్మెంట్ అండ్ కామెంట్స్ అనే పుస్తక రచయిత. 26 జనవరి 2008న, ఆనంద్ భారతదేశంలో రెండవ అత్యున్నత పౌర పురస్కారమైన పద్మవిభూషణ్తో సత్కరించబడ్డాడు. LL డిగ్రీని ప్రదానం చేశారు. డి. (హానోరిస్ కాసా) 14 మార్చి 1996న లక్నో విశ్వవిద్యాలయం నిర్వహించిన ప్రత్యేక స్నాతకోత్సవంలో. 19 మే 1997న లండన్లోని యూనివర్శిటీ కాలేజీకి ఫెలోషిప్ లభించింది. "
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,"In 1910-11 the Muir Hostel was constructed. Allahabad University renamed it as ""Amarnath Jha Hostel"" to pay him regards. hostels' history say that Dr. Amarnath Jha as Vice-Chancellor of the University of Allahabad was himself also the warden of the Muir Hostel.
He was among the first recipients of the civilian honour of Padma Bhushan (1954).","1910-11లో ముయిర్ హాస్టల్ నిర్మించబడింది. అలహాబాద్ యూనివర్శిటీ ఆయనకు నివాళులర్పించేందుకు ""అమర్నాథ్ ఝా హాస్టల్""గా పేరు మార్చింది. హాస్టళ్ల చరిత్ర డా. అలహాబాద్ విశ్వవిద్యాలయం వైస్-ఛాన్సలర్గా అమర్నాథ్ ఝా స్వయంగా ముయిర్ హాస్టల్కు వార్డెన్గా కూడా ఉన్నారు. పద్మభూషణ్ (1954) పౌర గౌరవాన్ని పొందిన మొదటి వ్యక్తులలో ఇతను కూడా ఉన్నాడు. "
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,"QC (1980)
Her Majesty's Most Honourable Privy Council (1983)
Knight Commander of the Order of St Michael and St George (1988)
Grand Prix of the Order of La Pléiade (1984)
Honorary Doctorate from Aix-Marseille University (March 1985)
Doctor of Civil Law (Honoris Causa) from the University of Mauritius (May 1985)
Order of the Rising Sun (January 1988)
Grand Officer of the Legion of Honour (March 1990)
Grand Commander of the Order of the Star and Key of the Indian Ocean (2003)
Honorary Doctorate from Middlesex University (July 2009)
Padma Vibhushan from India (2020)Jugnauth bore the title Right Honourable for life. He was also entitled to use MP post-nominal and prefix, as he was an MP for more than 35 years.


''' National honours '''
 Mauritius:
 Grand Commander of the Most Distinguished Order of the Star and Key of the Indian Ocean (GCSK) (2003) Knight Commander of the Most Distinguished Order of St Michael and St George (KCMG) (1988)


''' Foreign honours '''
 France:
 Grand Officer of the National Order of Legion of Honour (1990)
 India:
 Padma Vibhushan (2020)
 Japan:
 Grand Cordon of the Order of the Rising Sun (1988)
 Francophonie:
 Grand Cross of the Order of La Pléiade (1984)Jugnauth was one of the only two Prime Ministers who served under Queen Elizabeth II and the pre-republic regime. There is one primary school in his former constituency, Riviere du Rempart under his name, known as Sir Anerood Jugnauth Government School, situated in the north of the country.
He has also a commemorative golden Mauritian rupee coin issued by the Bank of Mauritius having his portrait on the obverse and a Dodo on the reverse. The inscriptions are ""THE Rt HON SIR ANEROOD JUGNAUTH PC, QC, KCMG "" and is followed by ""MAURITIUS"". It originally holds a value of Rs 1,000 but is sold as a collector's piece at US$1,881. On 19 December 2010, he and his wife, Sarojini Ballah went to receive an official opening of a pictorial biography of the President himself showing his path from small age poor child to him being President of Mauritius in 2010 leaving behind him a rich career as one of the leaders of the country. The biography is entitled The Rise of a Common Man. Present at the ceremony were former Prime Minister Navin Ramgoolam, Vice Prime Minister Pravind Jugnauth and other ministers as well as friends of the latter","QC (1980)హర్ మెజెస్టి, మోస్ట్ హానరబుల్ ప్రివీ కౌన్సిల్ (1983)నైట్ కమాండర్ ఆఫ్ ది ఆర్డర్ ఆఫ్ సెయింట్ మైఖేల్ అండ్ సెయింట్ జార్జ్ (1988)గ్రాండ్ ప్రిక్స్ ఆఫ్ ది ఆర్డర్ ఆఫ్ లా ప్లీయేడ్ (1984)ఐక్స్-మార్సెయిల్ 8 విశ్వవిద్యాలయం నుండి గౌరవ డాక్టరేట్ (మార్చి 5)D19 మారిషస్ విశ్వవిద్యాలయం నుండి సివిల్ లా (హానోరిస్ కాసా) (మే 1985)ఆర్డర్ ఆఫ్ ది రైజింగ్ సన్ (జనవరి 1988)గ్రాండ్ ఆఫీసర్ ఆఫ్ ది లెజియన్ ఆఫ్ హానర్ (మార్చి 1990)గ్రాండ్ కమాండర్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది స్టార్ అండ్ కీ ఆఫ్ హిందూ మహాసముద్రం (2003)మిడిల్సెక్స్ యూనివర్శిటీ నుండి గౌరవ డాక్టరేట్ (జూలై 2009) భారతదేశం నుండి పద్మ విభూషణ్ (2020) జుగ్నౌత్ జీవితాంతం గౌరవనీయమైన బిరుదును కలిగి ఉన్నాడు. ఇతను 35 సంవత్సరాలకు పైగా MPగా ఉన్నందున, MP పోస్ట్-నామినల్, ప్రిఫిక్స్ని ఉపయోగించడానికి కూడా ఇతను అర్హుడు. ''' జాతీయ గౌరవాలు ''' మారిషస్: గ్రాండ్ కమాండర్ ఆఫ్ ది మోస్ట్ డిస్టింగ్విష్డ్ ఆర్డర్ ఆఫ్ ది స్టార్ అండ్ కీ ఆఫ్ ది హిందూ ఓషన్ (GCSK) (2003) నైట్ కమాండర్ ఆఫ్ ది మోస్ట్ డిస్టింగ్విష్డ్ ఆర్డర్ ఆఫ్ సెయింట్ మైకేల్ అండ్ సెయింట్ జార్జ్ (KCMG) (1988) )'''' విదేశీ గౌరవాలు ''' ఫ్రాన్స్: గ్రాండ్ ఆఫీసర్ ఆఫ్ నేషనల్ ఆర్డర్ ఆఫ్ లెజియన్ ఆఫ్ ఆనర్ (1990) భారతదేశం: పద్మ విభూషణ్ (2020) జపాన్: గ్రాండ్ కార్డన్ ఆఫ్ ది ఆర్డర్ ఆఫ్ ది రైజింగ్ సన్ (1988) ఫ్రాంకోఫోనీ: గ్రాండ్ క్రాస్ ఆఫ్ ది ఆర్డర్ ఆఫ్ లా ప్లీయేడ్ (1984) క్వీన్ ఎలిజబెత్ II, రిపబ్లిక్ పూర్వ పాలనలో పనిచేసిన ఇద్దరు ప్రధాన మంత్రులలో జుగ్నౌత్ ఒకరు. అతని పూర్వ నియోజకవర్గం రివియర్ డు రెమ్పార్ట్లో ఒక ప్రాథమిక పాఠశాల ఉంది, దీనిని సర్ అనిరోడ్ జుగ్నాథ్ ప్రభుత్వ పాఠశాల అని పిలుస్తారు, ఇది దేశంలోని ఉత్తరాన ఉంది. బ్యాంక్ ఆఫ్ మారిషస్ జారీ చేసిన స్మారక గోల్డెన్ మారిషస్ రూపాయి నాణెం కూడా అతని వద్ద ఉంది, అతని పోర్ట్రెయిట్ ఎదురుగా, వెనుక భాగంలో డోడో ఉంది. శాసనాలు ""The Rt HON SIR ANEROOD JUGNAUTH PC, QC, KCMG "", తరువాత ""మారిషస్"". ఇది వాస్తవానికి రూ. 1, 000 విలువను కలిగి ఉంది, అయితే కలెక్టర్ ముక్కగా US$1, 881కి విక్రయించబడింది. 19 డిసెంబర్ 2010న, ఇతను, అతని భార్య, సరోజినీ బల్లా ప్రెసిడెంట్, చిత్రమైన జీవిత చరిత్ర, అధికారిక ప్రారంభోత్సవాన్ని స్వీకరించడానికి వెళ్ళారు, చిన్న వయస్సులో ఉన్న పేద పిల్లల నుండి మారిషస్ అధ్యక్షుడిగా 2010లో అతనికి గొప్ప వృత్తిని మిగిల్చారు. దేశ నాయకుల. జీవిత చరిత్రకు ది రైజ్ ఆఫ్ ఎ కామన్ మ్యాన్ అని పేరు పెట్టారు. ఈ వేడుకకు మాజీ ప్రధాని నవీన్ రామ్గూలం, ఉప ప్రధాని ప్రవింద్ జుగ్నాథ్, ఇతర మంత్రులతో పాటు వారి స్నేహితులు కూడా హాజరయ్యారు. "
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,"1977, she received the Padma Bhushan (India's third highest civilian honour).
1991, she received the Sangeet Natak Akademi Award (the highest Indian honour in performing arts). She is the only surbahar player to be so honoured.
1999, the Desikottama, an honorary doctorate degree by Visva-Bharati University.
In 2004, she was made a fellow of the Sangeet Natak Akademi.","1977, ఈమె పద్మ భూషణ్ (భారతదేశం, మూడవ అత్యున్నత పౌర పురస్కారం) అందుకుంది. 1991, ఈమె సంగీత నాటక అకాడమీ అవార్డు (ప్రదర్శన కళలలో అత్యున్నత భారతీయ గౌరవం) అందుకుంది. ఇంత గౌరవం పొందిన ఏకైక సుర్బహార్ ప్లేయర్ ఈమె. 1999, దేశికోత్తమ, విశ్వభారతి విశ్వవిద్యాలయంచే గౌరవ డాక్టరేట్ డిగ్రీ. 2004లో, ఈమె సంగీత నాటక అకాడెమీ, ఫెలోగా చేయబడింది. "
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,"Panagariya received the Merit award from the Government of Rajasthan in 1992. The Medical Council of India awarded him the Dr. B. C. Roy Award, the highest Indian award in the medical category, in 2002. He was awarded the civilian honour of Padma Shri in 2014 by the Government of India. He was a recipient of the UNESCO Award for medical/social contributions, the Lifetime Achievement Award from The Times of India and of the Lifetime Achievement Award of Madras Neuro Trust.","పనగారియా 1992లో రాజస్థాన్ ప్రభుత్వం నుండి మెరిట్ అవార్డును అందుకున్నారు. మెడికల్ కౌన్సిల్ ఆఫ్ ఇండియా అతనికి డా. బి. సి. 2002లో వైద్య విభాగంలో అత్యున్నత భారతీయ పురస్కారం రాయ్ అవార్డు. అతనికి భారత ప్రభుత్వం 2014లో పద్మశ్రీ పౌర గౌరవాన్ని అందించింది. ఇతను వైద్య/సామాజిక సేవలకు యునెస్కో అవార్డు, టైమ్స్ ఆఫ్ ఇండియా నుండి లైఫ్టైమ్ అచీవ్మెంట్ అవార్డు, మద్రాస్ న్యూరో ట్రస్ట్, లైఫ్టైమ్ అచీవ్మెంట్ అవార్డు గ్రహీత. "
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,"Mukherjee was a professor at Calcutta University and held the Carmichael chair of the Ancient Indian History and Culture from 1975 to 1998. He was a fellow of the Royal Asiatic Society, UK. The Government of India awarded him the civilian honour of the Padma Shri in 1992. He was the president of the Indian History Congress and was a recipient of the H. C. Raychaudhuri Centenary Medal of the Asiatic Society, Kolkata.Mukherjee died on 4 April 2013, at the age of 79, survived by his wife and son.","ముఖర్జీ కలకత్తా విశ్వవిద్యాలయంలో ప్రొఫెసర్, 1975 నుండి 1998 వరకు ప్రాచీన భారతీయ చరిత్ర, సంస్కృతికి కార్మైకేల్ చైర్గా ఉన్నారు. ఇతను రాయల్ ఏషియాటిక్ సొసైటీ, UK, సహచరుడు. భారత ప్రభుత్వం ఆయనకు 1992లో పద్మశ్రీ పౌర గౌరవాన్ని అందించింది. ఇతను ఇండియన్ హిస్టరీ కాంగ్రెస్ అధ్యక్షుడు, హెచ్. సి. కోల్కతాలోని ఆసియాటిక్ సొసైటీకి చెందిన రాయచౌధురి సెంటెనరీ మెడల్. ముఖర్జీ 79 సంవత్సరాల వయస్సులో 4 ఏప్రిల్ 2013న మరణించారు, అతని భార్య, కొడుకుతో జీవించి ఉన్నారు. "
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
