,Recipients,positions,positions Telugu
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,"Amit Prabhakar Maydeo, a former President of the Society of Gastrointestinal Endoscopy of India, is the Managing Director of the Institute of Advanced Endoscopy, he also holds positions of prominence such as:

Director - Baldota Institute of Digestive Sciences, Global Hospital, Mumbai
Consultant, Gastroenterologist - Breach Candy Hospital, Mumbai
Honorary Consultant Gastroenterologist - Jaslok Hospital, Mumbai
Consultant Gastroenterologist - Prince Aly Khan Hospital, MumbaiMaydeo is also connected with two firms, Elcom Instruments Industries and Centre for Digestive and Kidney Diseases India, in the capacity of the Director.","అమిత్ ప్రభాకర్ మేడియో, సొసైటీ ఆఫ్ గ్యాస్ట్రోఇంటెస్టినల్ ఎండోస్కోపీ ఆఫ్ ఇండియా మాజీ ప్రెసిడెంట్, ఇన్స్టిట్యూట్ ఆఫ్ అడ్వాన్స్డ్ ఎండోస్కోపీకి మేనేజింగ్ డైరెక్టర్, ఇతను ప్రముఖ స్థానాలను కూడా కలిగి ఉన్నారు: డైరెక్టర్ - బల్డోటా ఇన్స్టిట్యూట్ ఆఫ్ డైజెస్టివ్ సైన్సెస్, గ్లోబల్ హాస్పిటల్, ముంబై కన్సల్టెంట్, గ్యాస్ట్రోఎంటరాలజిస్ట్ - బ్రీచ్ కాండీ హాస్పిటల్, ముంబై గౌరవ కన్సల్టెంట్ గ్యాస్ట్రోఎంటరాలజిస్ట్ - జస్లోక్ హాస్పిటల్, ముంబై కన్సల్టెంట్ గ్యాస్ట్రోఎంటరాలజిస్ట్ - ప్రిన్స్ అలీ ఖాన్ హాస్పిటల్, ముంబై మేడియో డైరెక్టర్ హోదాలో ఎల్కామ్ ఇన్స్ట్రుమెంట్స్ ఇండస్ట్రీస్, సెంటర్ ఫర్ డైజెస్టివ్ అండ్ కిడ్నీ డిసీజెస్ ఇండియా అనే రెండు సంస్థలతో కూడా అనుసంధానించబడి ఉంది. "
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,"Abbi has held many positions of importance, both at administrative and academic levels. Current position: Director, Center of Oral and Tribal Literature Sahtiya Akademi, New Delhi India. Adjunct Professor, Simon Fraser University, British Columbia, Vancouver, Canada and the President of the Linguistic society of India. She has served as an advisor to institutions such as UNESCO (since 2002) and Sahitya Akademi. She is also a life member of the Linguistic Society of India at their Dravidian Linguistics Association wing and has also sat on the editorial board of two journals, Indian Linguistics (1991–95) and the International Journal of Dravidian Linguistics (1992–96).The list of academic and organizational responsibilities Professor Anvita Abbi has carried out may be listed as:","అబ్బి అడ్మినిస్ట్రేటివ్, అకడమిక్ స్థాయిలలో చాలా ముఖ్యమైన స్థానాలను కలిగి ఉన్నారు. ప్రస్తుత స్థానం: డైరెక్టర్, సెంటర్ ఆఫ్ ఓరల్ అండ్ ట్రైబల్ లిటరేచర్ సాహిత్య అకాడమీ, న్యూఢిల్లీ ఇండియా. అనుబంధ ప్రొఫెసర్, సైమన్ ఫ్రేజర్ విశ్వవిద్యాలయం, బ్రిటిష్ కొలంబియా, వాంకోవర్, కెనడా, లింగ్విస్టిక్ సొసైటీ ఆఫ్ ఇండియా అధ్యక్షుడు. యునెస్కో (2002 నుండి), సాహిత్య అకాడమీ వంటి సంస్థలకు ఈమె సలహాదారుగా పనిచేశారు. ఈమె ద్రవిడియన్ లింగ్విస్టిక్స్ అసోసియేషన్ విభాగంలో లింగ్విస్టిక్ సొసైటీ ఆఫ్ ఇండియాలో జీవితకాల సభ్యురాలు, ఇండియన్ లింగ్విస్టిక్స్ (1991-95), ఇంటర్నేషనల్ జర్నల్ ఆఫ్ ద్రావిడియన్ లింగ్విస్టిక్స్ (1992-96) అనే రెండు పత్రికల సంపాదకీయ బోర్డులో కూడా కూర్చుంది. ప్రొఫెసర్ అన్విత అబ్బి నిర్వర్తించిన విద్యా, సంస్థాగత బాధ్యతల జాబితా ఇలా జాబితా చేయబడవచ్చు:. "
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,Awards and recognitions,"అవార్డులు, గుర్తింపులు. "
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,"Panagariya was a professor emeritus of the SMS Medical College and an honorary neurologist to the Armed Forces of India. He was the chairman of DISHA Foundation, a non-profit non-governmental organization engaged in the welfare of people with special needs. He was also associated with the Post Graduate Institute of Medical Education and Research, Chandigarh and the Press Club of Jaipur, as a member.","పనగారియా SMS మెడికల్ కాలేజీకి ప్రొఫెసర్ ఎమెరిటస్, భారతదేశ సాయుధ దళాలకు గౌరవ న్యూరాలజిస్ట్. ఇతను ప్రత్యేక అవసరాలు కలిగిన వ్యక్తుల సంక్షేమంలో నిమగ్నమై ఉన్న లాభాపేక్షలేని ప్రభుత్వేతర సంస్థ దిశా ఫౌండేషన్కు ఛైర్మన్గా ఉన్నారు. ఇతను పోస్ట్ గ్రాడ్యుయేట్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ ఎడ్యుకేషన్ అండ్ రీసెర్చ్, చండీగఢ్, ప్రెస్ క్లబ్ ఆఫ్ జైపూర్తో సభ్యునిగా కూడా పనిచేశాడు. "
309,Ashok Rajgopal,"Rajgopal has held, and currently holds several key positions and memberships, some of the notable ones being:

Founder Member, Vice President and former President - Indian Hip and Knee Society
Life Member - Indian Arthroplasty Association
Life Member - Indian Orthopaedic Association
Life Member and former President - Indian Arthroscopy Association
Life Member - Indian Association of Sports Medicine
Founder President and former Secretary - Asia Pacific Arthroplasty Society
Member - International Society of Arthroscopy, Knee Surgery and Orthopaedic Sports Medicine (ISAKOS)
Member - Indian Medical Sciences AcademyHe holds permanent registration with the General Medical Council (UK).","రాజ్గోపాల్ ప్రస్తుతం అనేక కీలక పదవులు, సభ్యత్వాలను కలిగి ఉన్నారు, వాటిలో కొన్ని ముఖ్యమైనవి: వ్యవస్థాపక సభ్యుడు, వైస్ ప్రెసిడెంట్, మాజీ ప్రెసిడెంట్ - ఇండియన్ హిప్ అండ్ మోకాలి సొసైటీ లైఫ్ మెంబర్ - ఇండియన్ ఆర్థ్రోప్లాస్టీ అసోసియేషన్ లైఫ్ మెంబర్ - ఇండియన్ ఆర్థోపెడిక్ అసోసియేషన్ లైఫ్ మెంబర్, మాజీ ప్రెసిడెంట్ - ఇండియన్ ఆర్థ్రోస్కోపీ అసోసియేషన్ లైఫ్ మెంబర్ - ఇండియన్ అసోసియేషన్ ఆఫ్ స్పోర్ట్స్ మెడిసిన్ ఫౌండర్ ప్రెసిడెంట్, మాజీ సెక్రటరీ - ఆసియా పసిఫిక్ ఆర్థ్రోప్లాస్టీ సొసైటీ సభ్యుడు - ఇంటర్నేషనల్ సొసైటీ ఆఫ్ ఆర్థ్రోస్కోపీ, మోకాలి సర్జరీ, ఆర్థోపెడిక్ స్పోర్ట్స్ మెడిసిన్ (ISAKOS) సభ్యుడు - ఇండియన్ మెడికల్ సైన్సెస్ అకాడమీ ఇతను జనరల్ మెడికల్ కౌన్సిల్ (UK)లో శాశ్వత రిజిస్ట్రేషన్ కలిగి ఉన్నాడు. "
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,"Datta has been associated with several central and state government and government-aided autonomous bodies in various positions. He chaired the Recruitment Assessment Board of the Council of Scientific and Industrial Research (CSIR) from 2003 to 2006 and has held the chair of the Integrated Long Term Programme (ILTP) of the Department of Science and Technology. He was the chairman of Scientific Advisory Committee (SAC) of the National Institute of Cholera and Enteric Diseases, Kolkata from 2005 to 2007 and has been holding the chair of the Scientific Advisory Committee of the Vector Control Research Centre, Puducherry from 2007 till date. He has served as a member of the Scientific Advisory Committee of the Prime Minister of India and was involved in the Tenth Five–Year Plan of India as a member of the Steering Committee on Science and Technology of the Planning Commission. He was also a member of the Steering Committee of Biotechnology of the states of Maharashtra, Odisha, Madhya Pradesh and West Bengal.Datta was the president of the Society of Biological Chemists in 2000 and the Indian Science Congress from 2003–2004 term. He sat in the governing body of the Council of Scientific and Industrial Research and the steering committee of the National Bioresource Board. He was associated with the Indian National Science Academy as its council member (2002–2004) and vice president, and the National Academy of Sciences, India (NASI) as its president (2009–2011). He served the Governing Bodies of the Indian Council of Agricultural Research (ICAR) (2007–2010) and the Indian Council of Medical Research (ICMR) 2007–2010, and has chaired the Biomedical Board of the latter. He has been a member of the Science and Technology Forum, Japan, the Review Committee of ICMR, the ICAR Society and the Board of Governors of the ICFAI University, Dehradun and the Indian Institute of Technology, Guwahati","దత్తా అనేక కేంద్ర, రాష్ట్ర ప్రభుత్వాలు, ప్రభుత్వ-సహాయం పొందే స్వయంప్రతిపత్తి సంస్థలతో వివిధ స్థానాల్లో అనుబంధం కలిగి ఉన్నారు. ఇతను 2003 నుండి 2006 వరకు కౌన్సిల్ ఆఫ్ సైంటిఫిక్ అండ్ ఇండస్ట్రియల్ రీసెర్చ్ (CSIR), రిక్రూట్మెంట్ అసెస్మెంట్ బోర్డ్కు అధ్యక్షత వహించాడు, డిపార్ట్మెంట్ ఆఫ్ సైన్స్ అండ్ టెక్నాలజీ, ఇంటిగ్రేటెడ్ లాంగ్ టర్మ్ ప్రోగ్రామ్ (ILTP) అధ్యక్షుడిగా ఉన్నాడు. ఇతను 2005 నుండి 2007 వరకు కోల్కతాలోని నేషనల్ ఇన్స్టిట్యూట్ ఆఫ్ కలరా అండ్ ఎంటరిక్ డిసీజెస్, సైంటిఫిక్ అడ్వైజరీ కమిటీ (SAC) ఛైర్మన్గా ఉన్నారు, 2007 నుండి ఇప్పటి వరకు వెక్టర్ కంట్రోల్ రీసెర్చ్ సెంటర్, పుదుచ్చేరి, సైంటిఫిక్ అడ్వైజరీ కమిటీకి అధ్యక్షుడిగా ఉన్నారు. ఇతను భారత ప్రధాన మంత్రి, శాస్త్రీయ సలహా కమిటీ సభ్యునిగా పనిచేశాడు, ప్రణాళికా సంఘం, సైన్స్ అండ్ టెక్నాలజీపై స్టీరింగ్ కమిటీ సభ్యునిగా భారతదేశ పదవ పంచవర్ష ప్రణాళికలో పాల్గొన్నాడు. ఇతను మహారాష్ట్ర, ఒడిశా, మధ్యప్రదేశ్, పశ్చిమ బెంగాల్ రాష్ట్రాల బయోటెక్నాలజీ స్టీరింగ్ కమిటీ సభ్యుడు కూడా. దత్తా 2000లో సొసైటీ ఆఫ్ బయోలాజికల్ కెమిస్ట్లకు, 2003-2004 వరకు ఇండియన్ సైన్స్ కాంగ్రెస్కు అధ్యక్షుడిగా ఉన్నారు. ఇతను కౌన్సిల్ ఆఫ్ సైంటిఫిక్ అండ్ ఇండస్ట్రియల్ రీసెర్చ్, నేషనల్ బయోరిసోర్స్ బోర్డ్, స్టీరింగ్ కమిటీ పాలకమండలిలో కూర్చున్నాడు. ఇతను ఇండియన్ నేషనల్ సైన్స్ అకాడమీతో దాని కౌన్సిల్ మెంబర్ (2002–2004), వైస్ ప్రెసిడెంట్గా, నేషనల్ అకాడమీ ఆఫ్ సైన్సెస్, ఇండియా (NASI) అధ్యక్షుడిగా (2009–2011) అనుబంధం కలిగి ఉన్నాడు. ఇతను ఇండియన్ కౌన్సిల్ ఆఫ్ అగ్రికల్చరల్ రీసెర్చ్ (ICAR) (2007-2010), ఇండియన్ కౌన్సిల్ ఆఫ్ మెడికల్ రీసెర్చ్ (ICMR) 2007-2010, పాలకమండలికి పనిచేశాడు, తరువాతి బయోమెడికల్ బోర్డ్కు అధ్యక్షత వహించాడు. ఇతను జపాన్లోని సైన్స్ అండ్ టెక్నాలజీ ఫోరమ్, ICMR, రివ్యూ కమిటీ, ICAR సొసైటీ, ICFAI విశ్వవిద్యాలయం, డెహ్రాడూన్, ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీ, గౌహతి, గవర్నర్ల బోర్డులో సభ్యుడు. "
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,"The Indian Institute of Astrophysics (IIA), established in 1786 by William Petrie, was modernised in 1960 by Vainu Bappu, the renowned Indian astronomer, and Sreekantan became associated with the institute during this time. The institute, functioning under the Ministry of Civil Aviation, was brought under the jurisdiction of the Department of Science and Technology in 1985 with the efforts of Raja Ramanna and Sreekantan, when it was made an autonomous institution. He was a member of the governing council of the institute from 1988 till 2007, a total of 19 years, of which 15 years from 1992, he served as the chairman of the council. It was during his tenancy as the chairman, the institute set up the Himalayan Chandra Telescope (HCT) at Hanle, Ladakh at an altitude of 14000 ft. He is also credited with assisting Ramanath Cowsik with the establishment of a new campus for IIA at Hoskote in Karnataka and in the construction of housing for the staff of the institute.Sreekantan served as the visiting professor at the Massachusetts Institute of Technology for two terms, the first from 1954 to 1955 and subsequently from 1965 to 1967. He was associated with the University of Tokyo as their JSPS visiting professor in 1977 and taught at the University of California, Irvine and the University of California, San Diego during 1993–94. He served as the president of the Indian Physics Association (1976–78) and the physics section of the Indian Science Congress (1981). He held the post of the vice chairman of the IUPAP Cosmic Ray Commission from 1987 to 1993, sat as a member of the Atomic Energy Commission during 1985–86 and held the chair of the Research Council of National Physical Laboratory, New Delhi. During 1986–88, he served as the vice president of the Indian Academy of Sciences","విలియం పెట్రీచే 1786లో స్థాపించబడిన ఇండియన్ ఇన్స్టిట్యూట్ ఆఫ్ ఆస్ట్రోఫిజిక్స్ (IIA), 1960లో ప్రఖ్యాత భారతీయ ఖగోళ శాస్త్రవేత్త వైను బప్పుచే ఆధునీకరించబడింది, ఈ సమయంలో శ్రీకాంతన్ ఇన్స్టిట్యూట్తో అనుబంధం పొందారు. పౌర విమానయాన మంత్రిత్వ శాఖ కింద పనిచేస్తున్న ఈ సంస్థను 1985లో రాజా రామన్న, శ్రీకంఠన్ల కృషితో సైన్స్ అండ్ టెక్నాలజీ విభాగం అధీనంలోకి తీసుకుని, స్వయంప్రతిపత్తి కలిగిన సంస్థగా మార్చారు. ఇతను 1988 నుండి 2007 వరకు ఇన్స్టిట్యూట్, పాలక మండలి సభ్యుడు, మొత్తం 19 సంవత్సరాలు, అందులో 1992 నుండి 15 సంవత్సరాలు, ఇతను కౌన్సిల్ ఛైర్మన్గా పనిచేశాడు. ఇతను ఛైర్మన్గా ఉన్న సమయంలో, సంస్థ 14000 అడుగుల ఎత్తులో లడఖ్లోని హన్లేలో హిమాలయన్ చంద్ర టెలిస్కోప్ (HCT)ని ఏర్పాటు చేసింది. కర్నాటకలోని హోస్కోట్లో IIA కోసం కొత్త క్యాంపస్ను స్థాపించడంలో, ఇన్స్టిట్యూట్ సిబ్బందికి గృహనిర్మాణంలో రామనాథ్ కౌసిక్కు సహాయం చేసిన ఘనత కూడా ఆయనకు ఉంది. శ్రీకాంతన్ మసాచుసెట్స్ ఇన్స్టిట్యూట్ ఆఫ్ టెక్నాలజీలో విజిటింగ్ ప్రొఫెసర్గా రెండు పర్యాయాలు పనిచేశారు, మొదటిది 1954 నుండి 1955 వరకు, తరువాత 1965 నుండి 1967 వరకు. ఇతను 1977లో టోక్యో విశ్వవిద్యాలయం వారి JSPS విజిటింగ్ ప్రొఫెసర్గా అనుబంధించబడ్డాడు, 1993-94లో యూనివర్శిటీ ఆఫ్ కాలిఫోర్నియా, ఇర్విన్, యూనివర్శిటీ ఆఫ్ కాలిఫోర్నియా, శాన్ డియాగోలో బోధించాడు. ఇతను ఇండియన్ ఫిజిక్స్ అసోసియేషన్ (1976-78), ఇండియన్ సైన్స్ కాంగ్రెస్ (1981), ఫిజిక్స్ విభాగానికి అధ్యక్షుడిగా పనిచేశాడు. ఇతను 1987 నుండి 1993 వరకు IUPAP కాస్మిక్ రే కమీషన్ వైస్ చైర్మన్ పదవిని నిర్వహించాడు, 1985-86 సమయంలో అటామిక్ ఎనర్జీ కమిషన్ సభ్యునిగా కూర్చున్నాడు, రీసెర్చ్ కౌన్సిల్ ఆఫ్ నేషనల్ ఫిజికల్ లాబొరేటరీ, న్యూ ఢిల్లీకి అధ్యక్షత వహించాడు. 1986-88 సమయంలో, ఇతను ఇండియన్ అకాడమీ ఆఫ్ సైన్సెస్ వైస్ ప్రెసిడెంట్గా పనిచేశాడు. "
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
