,Recipients,family,family Telugu
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,"Son of Haridas Mitra, a freedom fighter and former Deputy Speaker of the West Bengal Legislative Assembly and Bela Mitra. His maternal grandfather was Suresh Chandra Bose, elder brother of Netaji Subhas Chandra Bose. Both Suresh Chandra Bose and Haridas Mitra were part of the secret service team of Azad Hind Fauj. Bela Mitra took charge of the secret service of Azad Hind Fauj from Haridas Mitra. Belanagar railway station in Howrah district on the Howrah-Bardhaman chord line, is named after her.","హరిదాస్ మిత్ర, స్వాతంత్ర్య సమరయోధుడు, పశ్చిమ బెంగాల్ శాసనసభ మాజీ డిప్యూటీ స్పీకర్, బేల మిత్ర కుమారుడు. అతని తల్లితండ్రులు సురేష్ చంద్రబోస్, నేతాజీ సుభాష్ చంద్రబోస్ అన్నయ్య. సురేశ్ చంద్రబోస్, హరిదాస్ మిత్రా ఇద్దరూ ఆజాద్ హింద్ ఫౌజ్ రహస్య సేవా బృందంలో సభ్యులు. బేలా మిత్రా హరిదాస్ మిత్రా నుండి ఆజాద్ హింద్ ఫౌజ్, రహస్య సేవకు బాధ్యత వహించాడు. హౌరా-బర్ధమాన్ కార్డ్ లైన్లో హౌరా జిల్లాలోని బేలానగర్ రైల్వే స్టేషన్కి ఈమె పేరు పెట్టారు. "
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,"Amrit Kaur Tewari's father Sardar Tirath Singh was a minister in the erstwhile PEPSU. Her brother Barjinder Shingh was chairman of the Central Board of Direct Taxes while her sister Surinder Kaur retired as an IRS officer.Her husband VN Tewari was a professor at the Punjab University. Her son was the former Union Minister Manish Tewari, and daughter Puneet Tewari, is settled in the US.","అమృత్ కౌర్ తివారీ తండ్రి సర్దార్ తీరత్ సింగ్ గతంలో PEPSUలో మంత్రిగా ఉన్నారు. ఈమె సోదరుడు బర్జిందర్ షింఘ్ సెంట్రల్ బోర్డ్ ఆఫ్ డైరెక్ట్ టాక్సెస్ ఛైర్మన్గా ఉండగా, ఈమె సోదరి సురీందర్ కౌర్ IRS అధికారిగా పదవీ విరమణ చేశారు. ఈమె భర్త వీఎన్ తివారీ పంజాబ్ యూనివర్సిటీలో ప్రొఫెసర్గా ఉన్నారు. ఈమె కుమారుడు మాజీ కేంద్ర మంత్రి మనీష్ తివారీ, కుమార్తె పునీత్ తివారీ అమెరికాలో స్థిరపడ్డారు. "
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,His father's name is Mool Raj. His grandfather's name is Seth Kishan Dass.,అతని తండ్రి పేరు మూల్ రాజ్. అతని తాత పేరు సేథ్ కిషన్ దాస్. 
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,"In 1943, Iyengar married 16-year-old Ramamani in a marriage that was arranged by their parents in the usual Indian manner. He said of their marriage: ""We lived without conflict as if our two souls were one."" Together, they raised five daughters and a son. Ramamani died in 1973 aged 46; Iyengar named his yoga institute in Pune, the Ramamani Iyengar Memorial Yoga Institute, after her.Both Iyengar's eldest daughter Geeta (1944–2018) and his son Prashant have become internationally known teachers in their own right. His other children are Vanita, Sunita, Suchita, and Savita. Geeta, having worked extensively on yoga for women, published Yoga: A Gem for Women (2002); Prashant is the author of several books, including A Class after a Class: Yoga, an Integrated Science (1998), and Yoga and the New Millennium (2008). Since Geeta's death, Prashant has served as the director of the Ramamani Iyengar Memorial Yoga Institute (RIMYI) in Pune.  Iyengar's granddaughter, Abhijata Sridhar Iyengar, trained for a number of years under his tutelage, and is now a teacher both at the Institute in Pune and internationally.
Iyengar died on 20 August 2014 in Pune, aged 95","1943లో, అయ్యంగార్ 16 ఏళ్ల రమామణిని వారి తల్లిదండ్రులు సాధారణ భారతీయ పద్ధతిలో వివాహం చేసుకున్నారు. వారి వివాహం గురించి ఇతను ఇలా చెప్పాడు: ""మా ఇద్దరి ఆత్మలు ఒక్కటే అన్నట్లుగా మేము విభేదాలు లేకుండా జీవించాము. ""ఇద్దరు కలిసి ఐదుగురు కుమార్తెలు, ఒక కొడుకును పెంచారు. రమామణి 1973లో 46వ ఏట మరణించారు; అయ్యంగార్ పూణేలోని తన యోగా ఇన్స్టిట్యూట్కి రమామణి అయ్యంగార్ మెమోరియల్ యోగా ఇన్స్టిట్యూట్ అని పేరు పెట్టారు. అయ్యంగార్ పెద్ద కుమార్తె గీత (1944–2018), అతని కుమారుడు ప్రశాంత్ ఇద్దరూ అంతర్జాతీయంగా వారి స్వంత హక్కులో ఉపాధ్యాయులుగా పేరు తెచ్చుకున్నారు. అతని ఇతర పిల్లలు వనిత, సునీత, సుచిత,, సవిత. మహిళల కోసం యోగాపై విస్తృతంగా పనిచేసిన గీత, యోగా: ఎ జెమ్ ఫర్ ఉమెన్ (2002)ను ప్రచురించింది; ప్రశాంత్ ఎ క్లాస్ ఆఫ్టర్ ఎ క్లాస్: యోగా, యాన్ ఇంటిగ్రేటెడ్ సైన్స్ (1998),, యోగా అండ్ ది న్యూ మిలీనియం (2008)తో సహా అనేక పుస్తకాల రచయిత. గీత మరణించినప్పటి నుండి, ప్రశాంత్ పూణేలోని రమామణి అయ్యంగార్ మెమోరియల్ యోగా ఇన్స్టిట్యూట్ (RIMYI) డైరెక్టర్గా పనిచేశారు. అయ్యంగార్ మనవరాలు, అభిజాత శ్రీధర్ అయ్యంగార్, అతని ఆధ్వర్యంలో కొన్ని సంవత్సరాలు శిక్షణ పొందారు, ఇప్పుడు పూణేలోని ఇన్స్టిట్యూట్లో, అంతర్జాతీయంగా ఉపాధ్యాయురాలిగా ఉన్నారు. అయ్యంగార్ 20 ఆగస్టు 2014న పూణేలో 95వ ఏట మరణించారు. "
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,"Rajam Iyer was born in Karaikudi, in Ramnad district. His father is Balasubramania Iyer and his mother is Lakshmi Ammal.","రాజం అయ్యర్ రామనాద్ జిల్లాలోని కారైకుడిలో జన్మించారు. అతని తండ్రి బాలసుబ్రమణ్య అయ్యర్, తల్లి లక్ష్మి అమ్మాళ్. "
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,"Begum Rasool was born on 2 April 1909 as Qudsia Begum, daughter of Sir Zulfiqar Ali Khan by his wife Mahmuda Sultana. Her father, Sir Zulfiqar, belonged to a collateral branch of the ruling family of Malerkotla princely state in Punjab. Her mother, Mahmuda Sultan, was the daughter of Nawab Allauddin Ahmed Khan, Nawab of Loharu.
Qudsia was married in 1929, to Nawab Aijaz Rasul, the taluqdar (landowner) of Sandila in Hardoi district of what was then Oudh (now a part of Uttar Pradesh. The match was arranged by Sir Malcolm Hailey and the marriage was entirely harmonious. Two years after the wedding, when Qudsia was fourteen, her father died in 1931. Shortly after this happened, her in-laws came and took her away to Sandila, which was to be her home in life and where she lies buried after her death. In Sandila, Qudsia came to be addressed after her husband's name as ""Begum Aijaz Rasool,"" and this is the name by which she is known in all public records.","బేగం రసూల్ 1909 ఏప్రిల్ 2న సర్ జుల్ఫికర్ అలీఖాన్కు అతని భార్య మహమూదా సుల్తానా ద్వారా కుద్సియా బేగంగా జన్మించారు. ఈమె తండ్రి, సర్ జుల్ఫికర్, పంజాబ్లోని మలేర్కోట్ల సంస్థానానికి చెందిన పాలక కుటుంబానికి చెందిన అనుబంధ శాఖకు చెందినవారు. ఈమె తల్లి మహమూదా సుల్తాన్, లోహారు నవాబ్ అల్లావుద్దీన్ అహ్మద్ ఖాన్ కుమార్తె. ఖుద్సియా 1929లో, అప్పటి ఔద్ (ప్రస్తుతం ఉత్తరప్రదేశ్లో ఒక భాగం)లోని హర్దోయ్ జిల్లాలోని శాండిలా తాలూక్దార్ (భూ యజమాని) నవాబ్ ఐజాజ్ రసూల్తో వివాహం చేసుకున్నారు. ఈ మ్యాచ్ను సర్ మాల్కం హేలీ ఏర్పాటు చేశారు, వివాహం పూర్తిగా సామరస్యపూర్వకంగా జరిగింది. పెళ్లయిన రెండు సంవత్సరాల తర్వాత, ఖుద్సియాకు పద్నాలుగేళ్లు ఉన్నప్పుడు, ఈమె తండ్రి 1931లో మరణించారు. ఇది జరిగిన కొద్దిసేపటికే, ఈమె అత్తమామలు వచ్చి ఈమెను శాండిలాకు తీసుకువెళ్లారు, అది జీవితంలో ఈమె నివాసం, ఈమె మరణించిన తర్వాత ఖననం చేయబడిన ప్రదేశం. శాండిలాలో, ఖుద్సియా తన భర్త పేరు తర్వాత ""బేగం ఐజాజ్ రసూల్"" అని సంబోధించబడింది, ఈమె అన్ని పబ్లిక్ రికార్డ్లలో ప్రసిద్ధి చెందిన పేరు. "
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,"Pande was married to Shanta Pande, a former freedom fighter. He had one child and two grandchildren.","పాండే మాజీ స్వాతంత్ర్య సమరయోధురాలు శాంత పాండేని వివాహం చేసుకున్నారు. అతనికి ఒక బిడ్డ, ఇద్దరు మనుమలు ఉన్నారు. "
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
