,Recipients,acting career,acting career Telugu
23,Aamir Khan,"''' 1984–1989: Debut and career challenges '''
In addition to assisting Hussain, Khan acted in documentaries directed by the students of the Film and Television Institute of India. Director Ketan Mehta noticed Khan in those films, and offered him a role in the low-budget experimental film Holi. Featuring an ensemble cast of newcomers, Holi was based on a play by Mahesh Elkunchwar, and dealt with the practice of ragging in India. The New York Times said that the film was ""melodramatic"" but ""very decently and exuberantly performed by the nonprofessional actors"". Khan played a rowdy college student, an ""insignificant"" role that was described by CNN-IBN as ""lack[ing] in finesse"".Holi failed to attract a broad audience, but Hussain and his son Mansoor cast Khan as the leading man in Mansoor's directorial debut Qayamat Se Qayamat Tak (1988) opposite Juhi Chawla. The film is a tale of unrequited love and parental opposition, with Khan portraying Raj, a ""clean-cut, wholesome boy-next-door"". It became a major commercial success, and catapulted both Khan and Chawla to stardom. It received seven Filmfare Awards including a Best Male Debut trophy for Khan.Raakh, a crime thriller from Bhattacharya that was filmed before the production of Qayamat Se Qayamat Tak, was released in 1989","''' 1984–1989: అరంగేట్రం, కెరీర్ సవాళ్లు '''హుస్సేన్కు సహాయం చేయడంతో పాటు, ఫిల్మ్ అండ్ టెలివిజన్ ఇన్స్టిట్యూట్ ఆఫ్ ఇండియా విద్యార్థులు దర్శకత్వం వహించిన డాక్యుమెంటరీలలో ఖాన్ నటించాడు. దర్శకుడు కేతన్ మెహతా ఆ చిత్రాలలో ఖాన్ను గమనించాడు, అతనికి తక్కువ బడ్జెట్ ప్రయోగాత్మక చిత్రం హోలీలో ఒక పాత్రను అందించాడు. కొత్తవారితో కూడిన సమిష్టి తారాగణం, హోలీ మహేశ్ ఎల్కుంచ్వార్, నాటకం ఆధారంగా రూపొందించబడింది, భారతదేశంలో ర్యాగింగ్ అభ్యాసంతో వ్యవహరించబడింది. ది న్యూయార్క్ టైమ్స్ ఈ చిత్రం ""మెలోడ్రామాటిక్"" అయితే ""చాలా మర్యాదపూర్వకంగా, విపరీతంగా ప్రొఫెషనల్ నటులు ప్రదర్శించారు"" అని చెప్పింది. ఖాన్ ఒక రౌడీ కళాశాల విద్యార్థిగా నటించాడు, ఈ పాత్రను CNN-IBN ""నైపుణ్యం లోపించడం""గా అభివర్ణించింది. హోలీ విస్తృత ప్రేక్షకులను ఆకర్షించడంలో విఫలమైంది, అయితే హుస్సేన్, అతని కుమారుడు మన్సూర్ మన్సూర్ దర్శకత్వం వహించిన తొలి చిత్రం ఖయామత్ సే ఖయామత్ తక్ (1988)లో జూహీ చావ్లా సరసన ఖాన్ను ప్రధాన పాత్ర పోషించారు. ఈ చిత్రం అనాలోచిత ప్రేమ, తల్లిదండ్రుల వ్యతిరేకతతో కూడిన కథ, ఇందులో ఖాన్ రాజ్ను ""క్లీన్-కట్, ఆరోగ్యకరమైన, పక్కింటి అబ్బాయి""గా చిత్రీకరించాడు. ఇది పెద్ద వాణిజ్య విజయాన్ని సాధించింది, ఖాన్, చావ్లా ఇద్దరికీ స్టార్ డమ్ని తెచ్చిపెట్టింది. ఇది ఖాన్ కోసం ఉత్తమ పురుష తొలి ట్రోఫీతో సహా ఏడు ఫిల్మ్ఫేర్ అవార్డులను అందుకుంది. ఖయామత్ సే ఖయామత్ తక్ నిర్మాణానికి ముందు చిత్రీకరించబడిన భట్టాచార్య నుండి వచ్చిన క్రైమ్ థ్రిల్లర్ రాఖ్, 1989లో విడుదలైంది. "
24,Aamir Raza Husain,,
25,Abdul Gafur Khatri,,
26,Abdul Halim Jaffer Khan,,
27,Abdul Jabbar Khan,,
28,Abdul Karim Parekh,,
29,Abdul Latif Khan,,
30,Abdul Rahman Al Mahmoud,,
31,Abdul Rashid Khan,,
32,Abdul Sattar,,
33,Abdur Rahman,,
34,Abhay Chhajlani,,
35,Abhay and Rani Bang,,
36,Abhijit Sen,,
37,Abhin Chandra Rao,,
38,Abhinav Bindra,,
39,Abhiraj Rajendra Mishra,,
40,Abid Ali Khan,,
41,Abid Hussain,,
42,Achamma Mathai,,
43,Acharya Kakasaheb Kalelkar,,
44,Acharya Ramamurti,,
45,Acharya Shivpujan Sahay,,
46,Acharya Vishva Bandhu,,
47,Achyut Madhav Gokhale,,
48,Achyut Purushottam Kanvinde,,
49,Adarsh Sein Anand,,
50,Addepalli Sarvi Chetty,,
51,Adhya Jha,,
52,Adi Godrej,,
53,Adi M. Sethna,,
54,Adi Pherozeshah Marzban,,
55,Adinath Lahiri,,
56,Aditya Narayan Purohit,,
57,Aditya Nath Jha,,
58,Adnan Sami,,
59,Adoor Gopalakrishnan,,
60,Adusumalli Radha Krishna,,
61,Adya Prasad Mishra,,
62,Adya Rangacharya,,
63,Adyar K. Lakshman,,
64,Aekka Yadagiri Rao,,
65,Agram Krishnamachar,,
66,Agus Indra Udayana,,
67,Ahalya Chari,,
68,Ahindra Choudhury,,
69,Ahmed Jan Thirakwa,,
70,Aishwarya Rai Bachchan,,
71,Ajai Chowdhry,,
72,Ajay Devgan,,
73,Ajay K. Sood,,
74,Ajay Kumar Parida,,
75,Ajay Thakur,,
76,Ajaypal Singh Banga,,
77,Ajeet Bajaj,,
78,Ajeet Cour,,
79,Ajit Chandra Chatterjee,,
80,Ajit Kumar Basu,,
81,Ajit Pal Singh,,
82,Ajit Ram Verma,,
83,Ajit Wadekar,,
84,Ajoy Chakrabarty,,
85,Ajoy Kumar Dutta,,
86,Ajoy Kumar Mukherjee,,
87,Ajoy Kumar Ray,,
88,Ajudhia Nath Khosla,,
89,Ajudhiya Nath Khosla,,
90,Akbar Ali Khan,,
91,Akbar Padamsee,,
92,Akhil Chandra Mitra,,
93,Akhlaqur Rahman Kidwai,,
94,Akhtar Mohiuddin,,
95,Akhtarul Wasey,,
96,Akkineni Nageswara Rao,,
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,"''' Early career (1969–1972) '''
Bachchan made his film debut in 1969, as a voice narrator in Mrinal Sen's National Award-winning film Bhuvan Shome. His first acting role was as one of the seven protagonists in the film Saat Hindustani, directed by Khwaja Ahmad Abbas and featuring Utpal Dutt, Anwar Ali (brother of comedian Mehmood), Madhu and Jalal Agha.Anand (1971) followed, in which Bachchan starred alongside Rajesh Khanna. His role as a doctor with a cynical view of life garnered Bachchan his first Filmfare Award for Best Supporting Actor. He then played his first antagonist role as an infatuated lover-turned-murderer in Parwana (1971). Following Parwana were several films including Reshma Aur Shera (1971). During this time, he made a guest appearance in the film Guddi which starred his future wife Jaya Bhaduri. He narrated part of the film Bawarchi. In 1972, he made an appearance in the road action comedy Bombay to Goa directed by S. Ramanathan which was moderately successful","''' ప్రారంభ కెరీర్ (1969–1972) '''బచ్చన్ 1969లో మృణాల్ సేన్ జాతీయ అవార్డు గెలుచుకున్న చిత్రం భువన్ షోమ్లో వాయిస్ వ్యాఖ్యాతగా తన చలనచిత్ర రంగ ప్రవేశం చేశాడు. ఖ్వాజా అహ్మద్ అబ్బాస్ దర్శకత్వం వహించిన సాత్ హిందుస్తానీ చిత్రంలో ఉత్పల్ దత్, అన్వర్ అలీ (హాస్యనటుడు మెహమూద్ సోదరుడు), మధు, జలాల్ అఘా నటించారు. ఆనంద్ (1971) తర్వాత, ఇందులో బచ్చన్ రాజేష్ ఖన్నాతో కలిసి నటించారు. జీవితంపై విరక్తితో కూడిన దృక్పథంతో డాక్టర్గా అతని పాత్ర బచ్చన్కు ఉత్తమ సహాయ నటుడిగా అతని మొదటి ఫిల్మ్ఫేర్ అవార్డును పొందింది. ఆ తర్వాత ఇతను పర్వానా (1971)లో ప్రేమికుడుగా మారిన హంతకుడుగా తన మొదటి విరోధి పాత్రను పోషించాడు. పర్వానా తర్వాత రేష్మా ఔర్ షేరా (1971)తో సహా పలు చిత్రాలు వచ్చాయి. ఈ సమయంలో, ఇతను తన కాబోయే భార్య జయ భాదురి నటించిన గుడ్డి చిత్రంలో అతిథి పాత్రలో కనిపించాడు. ఇతను బావర్చి చిత్రంలో కొంత భాగాన్ని వివరించాడు. 1972లో, ఇతను ఎస్ దర్శకత్వం వహించిన రోడ్ యాక్షన్ కామెడీ బాంబే టు గోవాలో కనిపించాడు. రామనాథన్ ఒక మోస్తరు విజయం సాధించారు. "
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,,
181,Anil Kakodkar,,
182,Anil Kohli,,
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,,
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,,
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,,
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,,
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
603,Bishan Singh Bedi,,
604,Bishnupada Mukerjee,,
605,Bishnupada Mukhopadhyaya,,
606,Bishop Mulanakuzhiyil Abraham Thomas,,
607,Bismillah Khan,,
608,Biswas Ranjan Chatterjee,,
609,Bisweswar Bhattacharjee,,
610,Bob Blackman,,
611,Bombay Jayashri,,
612,Bombayla Devi Laishram,,
613,Boshi Sen,,
614,Bounlap Keokangna,,
615,Boyi Bhimanna,,
616,Brahm Dutt,,
617,Brahm Nath Qasir Datta,,
618,Brahm Prakash,,
619,Brahma Singh,,
620,Brahmanandam,,
621,Brahmdeo Ram Pandit,,
622,Brahmdev Sharma,,
623,Braj Kumar Nehru,,
624,Brajbir Saran Das,,
625,Brajendra Kishore Banerjee,,
626,Brajesh Mishra,,
627,Brihaspati Dev Triguna,,
628,Brij Krishna Chandiwala,,
629,Brijendra Kumar Rao,,
630,Brijesh Kumar Shukla,,
631,Brijmohan Lall Munjal,,
632,Buangi Sailo,,
633,Buddhadeb Bose,,
634,Buddhadev Das Gupta,,
635,Budhaditya Mukherjee,,
636,Bula Choudhury,,
637,Bulu Imam,,
638,Bunker Roy,,
639,Burjor Cavas Dastur,,
640,C. D. Deshmukh,,
641,C. D. Narasimhaiah,,
642,C. G. Krishnadas Nair,,
643,C. K. Prahalad,,
644,C. Kamlova,,
645,C. Kottieth Lakshmanan,,
646,C. N. Manjunath,,
647,C. N. R. Rao,,
648,C. Narayana Reddy,,
649,C. P. Krishnan Nair,,
650,C. P. Thakur,,
651,C. R. Krishnaswamy Rao,,
652,C. R. Rao,,
653,C. R. Vyas,,
654,C. Rangarajan,,
655,C. S. Seshadri,,
656,C. Sivaramamurti,,
657,C. U. Velmurugendran,,
658,C. V. Chandrasekhar,,
659,C. Vaidyanatha Bhagavathar,,
660,C. Venkata S. Ram,,
661,C. Venkataraman Sundaram,,
662,Camille Bulcke,,
663,Carmel Berkson,,
664,Chackachanveedu Krishnan Nair,,
665,Chaitanyamoy Ganguly,,
666,Chakravarthi V. Narasimhan,,
667,Challagalla Narasimham,,
668,Chaman Lal,,
669,Chaman Lal Sapru,,
670,Chamu Krishna Shastry,,
671,Chanapatha Krishnappa Venkataramayya,,
672,Chand Chhabra,,
673,Chand Ram,,
674,Chanda Kochhar,,
675,Chander Sekhar Samal,,
676,Chandeshwar Prasad Narayan Singh,,
677,Chandgi Ram,,
678,Chandi Prasad Bhatt,,
679,Chandi Prasad Misra,,
680,Chandidan Detha,,
681,Chandra David Devanasan,,
682,Chandra Kisan Daphtary,,
683,Chandra Mohan,,
684,Chandra Prakash Deval,,
685,Chandra Prakash Vohra,,
686,Chandra Prasad Saikia,,
687,Chandra Sekhar Rath,,
688,Chandra Shekhar Singh,,
689,Chandrakant Mehta,,
690,Chandrakant Pithawa,,
691,Chandraprabha Aitwal,,
692,Chandraprava Saikiani,,
693,Chandrashekhar Dasgupta,,
694,Chandrashekhar Lohumi,,
695,Chandrashekhar Shankar Dharmadhikari,,
696,Chandrashekhara Kambara,,
697,Chandravadan Mehta,,
698,Chandrika Prasad Srivastava,,
699,Chandu Borde,,
700,Chandulal Madhavlal Trivedi,,
701,Charanjit Singh,,
702,Charles Borromeo,,
703,Charles Correa,,
704,Chaturbhuj Meher,,
705,Chavaly Srinivasa Sastry,,
706,Chawngthu Lalhmingliana,,
707,Chemanchery Kunhiraman Nair,,
708,Chenganoor Raman Pillai,,
