,Recipients,controversy,controversy Telugu
97,Akkitham Achuthan Namboothiri,,
98,Akshay Kumar,,
99,Akshay Kumar Jain,,
100,Alagappa Chettiar,,
101,Alaka Keshav Deshpande,,
102,Alarmel Valli,,
103,Ale Ahmad Suroor,,
104,Alexander Kadakin,,
105,Alfred Georg Wuerfel,,
106,Ali Akbar Khan,,
107,Ali Hasan,,
108,Ali Jawad Zaidi,,
109,Ali Manikfan,,
110,Ali Mohammad,,
111,Ali Sardar Jafri,,
112,Ali Yavar Jung,,
113,Alice Boner,,
114,Alice Wilma Khan,,
115,Alka Kriplani,,
116,Alla Rakha,,
117,Allah Jilai Bai,,
118,Allauddin Khan,,
119,Allu Rama Lingaiah,,
120,Alluri Venkata Satyanarayana Raju,,
121,Alok Mehta,,
122,Aloysius Prakash Fernandez,,
123,Alyque Padamsee,,
124,Amal Shah,,
125,Amala Shankar,,
126,Amalprava Das,,
127,Amar Nath Gupta,,
128,Amar Nath Shastri,,
129,Amar Prasad Ray,,
130,Amarjit Singh,,
131,Amarnath Jha,,
132,Amarnath Sehgal,,
133,Ambrish Mithal,,
134,Ameen Sayani,,
135,Ameena Ahmad Ahuja,,
136,Amin Kamil,,
137,Amir Khan,,
138,Amit Mitra,,
139,Amit Prabhakar Maydeo,,
140,Amitabh Bachchan,,
141,Amitabh Mattoo,,
142,Amitabha Chaudhuri,,
143,Amitav Ghosh,,
144,Amitav Malik,,
145,Amitava Roy,,
146,Amiya Bhuson Kar,,
147,Amiya Chakravarty,,
148,Amiya Kumar Bagchi,,
149,Amjad Ali Khan,,
150,Amlanda Ghosh,,
151,Ammannur Madhava Chakyar,,
152,Amod Gupta,,
153,Amrik Singh Cheema,,
154,Amrit Tewari,,
155,Amrita Patel,,
156,Amrita Pritam,,
157,Amritlal Nagar,,
158,Amrta Suryananda Maha Raja,,
159,Amrut V. Mody,,
160,Amya Bhushan Das Gupta,,
161,Analjit Singh,,
162,Anand Mahindra,,
163,Anand Raj Surana,,
164,Ananda Chandra Barua,,
165,Ananda Mohan Chakrabarty,,
166,Ananda Shankar Jayant,,
167,Anandji Virji Shah,,
168,Anant Agarwal,,
169,Anant Darshan Shankar,,
170,Anant Gopal Sheorey,,
171,Anant Kanekar,,
172,Anant alias Annasaheb Sahasrabuddhe,,
173,Andal Venkatasubba Rao,,
174,Andre Beteille,,
175,Anekal Ramaswamy Iyengar Gopal Aiyengar,,
176,Anerood Jugnauth,,
177,Ang Kami,,
178,Anil Agarwal,,
179,Anil Bandhu Guha,,
180,Anil Bordia,"Anil Bordia's name featured in an administrative litigation, when J. C. Jetli, a senior IAS officer, approached the Central Administrative Tribunal, against Bordia's appointment as a Government Secretary, superseding Jetli's claims. The case precipitated a CAT judgment asking the Central Government to lay down norms and guidelines for the appointment of cabinet secretaries.He also had to meet with opposition during the Lok Jumbish program, when the rural people wanted full-fledged schools, rather than the system Bordia suggested, which finally led to the untimely cessation of the program in the state of Rajasthan.","అనిల్ బోర్డియా పేరు ఒక అడ్మినిస్ట్రేటివ్ లిటిగేషన్లో కనిపించినప్పుడు, జె. సి. జెట్లీ వాదనలను అధిగమించి ప్రభుత్వ కార్యదర్శిగా బోర్డియా నియామకానికి వ్యతిరేకంగా సీనియర్ IAS అధికారి జెట్లీ సెంట్రల్ అడ్మినిస్ట్రేటివ్ ట్రిబ్యునల్ను ఆశ్రయించారు. కేబినెట్ సెక్రటరీల నియామకానికి సంబంధించిన నిబంధనలు, మార్గదర్శకాలను రూపొందించాలని కేంద్ర ప్రభుత్వాన్ని కోరుతూ ఈ కేసు CAT తీర్పును ప్రేరేపించింది. లోక్ జంబిష్ కార్యక్రమంలో కూడా ఇతను వ్యతిరేకతను ఎదుర్కోవలసి వచ్చింది, బోర్డియా సూచించిన వ్యవస్థ కంటే గ్రామీణ ప్రజలు పూర్తి స్థాయి పాఠశాలలను కోరుకున్నారు, ఇది చివరకు రాజస్థాన్ రాష్ట్రంలో కార్యక్రమాన్ని అకాల విరమణకు దారితీసింది. "
181,Anil Kakodkar,,
182,Anil Kohli,"In 2010, corruption charges appeared against Kohli in the media, which he refuted. Subsequently, the Central Bureau of Investigation raided Kohli's home and office and filed a case against him for holding disproportionate assets. However, the case was closed after nine months of investigations by the agency, exonerating Kohli from the charges.","2010లో, మీడియాలో కోహ్లిపై అవినీతి ఆరోపణలు వచ్చాయి, వాటిని ఇతను ఖండించాడు. ఆ తర్వాత, సెంట్రల్ బ్యూరో ఆఫ్ ఇన్వెస్టిగేషన్ కోహ్లి ఇల్లు, ఆఫీసుపై దాడి చేసి, అతనిపై ఆదాయానికి మించిన ఆస్తులు కలిగి ఉన్నాడని కేసు నమోదు చేసింది. ఏదేమైనప్పటికీ, ఆ సంస్థ తొమ్మిది నెలల దర్యాప్తు తర్వాత, కోహ్లిని అభియోగాల నుండి విముక్తం చేస్తూ కేసు మూసివేయబడింది. "
183,Anil Kumar Agarwal,,
184,Anil Kumar Bhalla,,
185,Anil Kumar Das,,
186,Anil Kumar Ganguly,,
187,Anil Kumar Gupta,,
188,Anil Kumar Lakhina,,
189,Anil Kumari Malhotra,,
190,Anil Kumble,,
191,Anil Manibhai Naik,,
192,Anil Prakash Joshi,,
193,Anish Kapoor,,
194,Anisuzzaman,,
195,Anita Desai,,
196,Anita Reddy,,
197,Anjan Kumar Banerji,,
198,Anjolie Ela Menon,,
199,Anju Bobby George,,
200,Anjum Chopra,,
201,Anna Hazare,,
202,Anna Rajam Malhotra,,
203,Annada Shankar Ray,,
204,Annapurna Ravi Shankar,,
205,Annavarapu Rama Swamy,,
206,Annette Schmiedchen,,
207,Anoop Misra,,
208,Anselm Sawihlira,,
209,Anshu Jamsenpa,,
210,Anthony Lancelot Dias,,
211,Antony Padiyara,,
212,Anu Aga,,
213,Anuj (Ramanuj) Sharma,,
214,Anukul Chandra Mukherjee,,
215,Anumolu Ramakrishna,,
216,Anumolu Sriramarao,,
217,Anup Jalota,,
218,Anup Ranjan Pandey,,
219,Anup Shah,,
220,Anupam Kher,,
221,Anupama Gokhale,,
222,Anuradha Koirala,,
223,Anuradha Paudwal,,
224,Anutai Wagh,,
225,Anutosh Datta,,
226,Anvita Abbi,,
227,Anwar Jalalpuri,,
228,Apa Saheb Bala Saheb Pant,,
229,Aparna Sen,,
230,Appasaheb Dharmadhikari,,
231,Appasaheb Patwardhan,,
232,Appasaheb Pawar,,
233,Apurba Kishore Bir,,
234,Ar. V. Ma. Harkrishan Lal Kapur,,
235,Arathil C. Narayanan Nambiar,,
236,Arati Saha,,
237,Archana Sharma,,
238,Arcot Ramachandran,,
239,Ardeshir Ruttonji Wadia,,
240,Argula Nagaraja Rao,,
241,Aribam Syam Sharma,,
242,Ariyakudi Ramanuja Iyengar,,
243,Arjan Singh,,
244,Arjumand Wahabuddin Ahmed,,
245,Arjun Prajapati,,
246,Arjun Singh Shekhawat,,
247,Arjunan Rajasekaran,,
248,Army Dhunji Bhoy Engineer,,
249,Arnee Sreenivasan Ramakrishnan,,
250,Arogyaswami Paulraj,,
251,Aroon Purie,,
252,Arpita Singh,,
253,Artaballabha Mohanty,,
254,Arun Hastimal Firodia,,
255,Arun Jaitley,,
256,Arun Kumar Sharma,,
257,Arun Netravali,,
258,Arun Ramavtar Poddar,,
259,Arun Sharma,,
260,Arun Shourie,,
261,Arun Shridhar Vaidya,,
262,Arun Trimbak Dabke,,
263,Aruna Asaf Ali,,
264,Aruna Mohanty,,
265,Aruna Sairam,,
266,Arunachala Sreenivasan,,
267,Arunachalam Muruganantham,,
268,Arundathi Nag,,
269,Arunima Sinha,,
270,Arunmugam Sakthivel,,
271,Arunoday Mondal,,
272,Arup Kumar Dutta,,
273,Arvind Gupta,,
274,Arvind Kumar,,
275,Arvind Lal,,
276,Arvind Navranglal Buch,,
277,Arvind Panagariya,,
278,Arvind Parikh,,
279,Arvinder Singh Soin,,
280,Asa Singh Mastana,,
281,Asad Ali Khan,,
282,Asaf Ali Asghar Fyzee,,
283,Asavadi Prakasarao,,
284,Asgari Bai,,
285,Asha Bhosle,,
286,Asha Devi Aryanayakam,,
287,Asha Parekh,,
288,Ashangbam Minaketan Singh,,
289,Ashapoorna Devi,,
290,Ashesh Prasad Mitra,,
291,Ashim Dasgupta,,
292,Ashok Bhagat,,
293,Ashok Chakradhar,,
294,Ashok Chimanlal Shroff,,
295,Ashok Desai,,
296,Ashok Gulati,,
297,Ashok Jhunjhunwala,,
298,Ashok K. Vaid,,
299,Ashok Kumar,,
300,Ashok Kumar Grover,,
301,Ashok Kumar Hemal,,
302,Ashok Kumar Mago,,
303,Ashok Kumar Patel,,
304,Ashok Kumar Sahu,,
305,Ashok Kumar Sarkar,,
306,Ashok Laxmanrao Kukade,,
307,Ashok Malik,,
308,Ashok Panagariya,,
309,Ashok Rajgopal,,
310,Ashok Ramchandra Kelkar,,
311,Ashok Sekhar Ganguly,,
312,Ashok Seth,,
313,Ashoke Sen,,
314,Ashwin Balachand Mehta,,
315,Ashwini Kumar,,
316,Asifa Zamani,,
317,Asima Chatterjee,,
318,Asis Datta,,
319,Asok Kumar Barua,,
320,Asoke Kumar Bhattacharyya,,
321,Aspy Adajania,,
322,Astad Deboo,,
323,Atal Bihari Vajpayee,,
324,Atluri Sriman Narayana,,
325,Atma Ram,,
326,Atmaram Bhairav Joshi,,
327,Atmaram Ramchand Chellani,,
328,Atmaram Raoji Bhat,,
329,Attar Singh,,
330,Attur Rangaswami Venkatachari,,
331,Atul Chandra Hazarika,,
332,Atul Kumar,"In April 2018, Kumar stirred up controversy by slapping a resident doctor at the RPC, eliciting major protests from the resident doctors of AIIMS.","ఏప్రిల్ 2018లో, కుమార్ RPCలోని రెసిడెంట్ డాక్టర్ని చెంపదెబ్బ కొట్టి వివాదాన్ని రేకెత్తించాడు, AIIMS రెసిడెంట్ వైద్యుల నుండి పెద్ద నిరసనలు వ్యక్తమయ్యాయి. "
333,Aubakir Dastanuly Nilibayev,,
334,Autar Singh Paintal,,
335,Avabai Bomanji Wadia,,
336,Avadhanam Sita Raman,,
337,Avdhash Kaushal,,
338,Avinash Chander,,
339,Avinash Dixit,,
340,Avinash Vyas,,
341,Avinder Singh Brar,,
342,Avtar Singh Cheema,,
343,Avvai Natarajan,,
344,Awadhesh Prasad Pandey,,
345,Ayekpam Tomba Meetei,,
346,Ayodhya Prasad,,
347,Ayyadevara Kaleswara Rao,,
348,Ayyagari Sambasiva Rao,,
349,Ayyagiri Rao,,
350,Ayyappa Paniker,,
351,Azad Moopen,,
352,Azim Premji,,
353,B. B. Lal,,
354,B. C. Sanyal,,
355,B. D. Pande,,
356,B. Jayashree,,
357,B. K. Anand,,
358,B. K. Chaturvedi,,
359,B. K. Goyal,,
360,B. K. S. Iyengar,,
361,B. K. Thapar,,
362,B. L. Deekshatulu,,
363,B. M. Hegde,,
364,B. N. Goswamy,,
365,B. N. Mukherjee,,
366,B. N. Reddy,,
367,B. N. Suresh,,
368,B. Palaniappan,,
369,B. Paul Thaliath,,
370,B. R. Barwale,,
371,B. R. Chopra,,
372,B. R. Deodhar,,
373,B. R. Shetty,,
374,B. Rajam Iyer,,
375,B. Ramana Rao,,
376,B. Ravi Pillai,,
377,B. S. Chandrasekhar,,
378,B. Saroja Devi,,
379,B. Shiva Rao,,
380,B. Silvamurthy Siva Sastry,,
381,B. Sivaraman,,
382,B. V. Doshi,,
383,B. V. Karanth,,
384,B. V. Nimbkar,,
385,B. V. Raju,,
386,B. V. Rao,,
387,B. V. Sreekantan,,
388,Baba Amte,,
389,Baba Kalyani,,
390,Baba Sewa Singh,,
391,Baba Yogendra,,
392,Babubhai Maneklal Chinai,,
393,Babulal Dahiya,,
394,Babulal Patodi,,
395,Baburao Govindrao Shirke,,
396,Bachendri Pal,,
397,Bachubhai Ravat,,
398,Badal Sarkar,,
399,Bade Ghulam Ali Khan,,
400,Badri Narain Sinha,,
401,Badri Narayan,,
402,Badri Nath Prasad,,
403,Badri Nath Tandon,,
404,Badri Nath Uppal,,
405,Badri Prasad Bajoria,,
406,Bagicha Singh Minhas,,
407,Bahadur Singh Chouhan,,
408,Bahadur Singh Sagoo,,
409,Baibi Harparkash Kaur,,
410,Baichung Bhutia,,
411,Bajrang Lal Takhar,,
412,Bajrang Punia,,
413,Bakul Harshadrai Dholakia,,
414,Bakulaben Mohphai Patel,,
415,Bal Dattatreya Tilak,,
416,Bal Krishna Sharma Naveen,,
417,Bal Raj Nijhawan,,
418,Bal Ram Nanda,,
419,Bal Samant,,
420,Bala V. Balachandran,,
421,Balachandra Menon,,
422,Balagangadharanatha Swamiji,,
423,Balai Chand Mukhopadhyay,,
424,Balakrishna Bhagwant Borkar,,
425,Balan Putheri,,
426,Balasaheb Amgonda Patil,,
427,Balasaheb Bharde,,
428,Balasaheb Gangadhar Kher,,
429,Balasaheb Vikhe Patil,,
430,Balasaraswati,,
431,Balasubramaniam Ramamurthi,,
432,Balasubramanian Muthuraman,,
433,Balasubramanian Ramadorai,,
434,Balbir Dutt,,
435,Balbir Singh Kullar,,
436,Balbir Singh Saigal,,
437,Balbir Singh Seechewal,,
438,Balbir Singh Sr.,,
439,Baldev Raj,,
440,Baldev Singh,,
441,Baldev Singh Dhillon,,
442,Baldev Upadhyaya,,
443,Balendu Prakash,,
444,Balraj Komal,,
445,Balraj Puri,,
446,Balraj Sahni,,
447,Balram Bhargava,,
448,Balswarup Choubey,,
449,Balu Bhagvathar Sastrigal,,
450,Balu Sankaran,,
451,Balwant Gargi,,
452,Balwant Moreshwar Purandare,,
453,Balwant Sing Puri,,
454,Balwant Singh Nag,,
455,Balwant Thakur,,
456,Balwantrai Bhatt,,
457,Banarsidas Chaturvedi,,
458,Bangalore Gangadhar,,
459,Bangalore Puttaiya Radhakrishna,,
460,Bangaru Adigalar,,
461,Bannanje Govindacharya,,
462,Banoo Jehangir Coyaji,,
463,Bansi Kaul,,
464,Bansilal Rathi,,
465,Banwari Lal Chouksey,,
466,Bapu,,
467,Barjinder Singh,,
468,Barjinder Singh Hamdard,,
469,Barkha Dutt,"''' Tiranga TV controversy '''
Barkha served as an anchor and consulting editor at Tiranga TV during 26 January - 13 July 2019. Her show was titled Democracy Live. In July 2019, reports emerged that she was sacked by the Tiranga TV owners Kapil Sibal and his wife Promila Sibal on 'disciplinary grounds'. Dutt disputed this version of events by Sibals, claimed she was sacked for speaking out in internal emails against the treatment of other staffers, and vowed to sue the channel owners in court.


''' 2010 Radia tapes controversy '''

In November 2010, the magazines OPEN and Outlook published transcripts of some telephone conversations between Nira Radia with some senior journalists, politicians, and corporates. The Central Bureau of Investigation announced that they had 5,851 recordings of phone conversations by Radia, some of which outline Radia's attempts to broker deals in relation to the 2G spectrum sale. Dutt's conversations with Radia were reported and Dutt became the face of the tapes scandal. On 30 November 2010, Dutt defended herself before a jury of her peers in a televised program on NDTV. Dutt apologised over the issue saying it was ""an error of judgement"" on her part, but said that she had not indulged in any wrongdoing. Magazine editor Hartosh Singh Bal said that ""proximity of NDTV and Tehelka are concerned, their closeness to the Congress is no secret","'' 'తిరంగా టీవీ వివాదం' '' బర్ఖా జనవరి 26 - 13 జూలై 2019 సమయంలో తిరంగా టీవీలో యాంకర్, కన్సల్టింగ్ ఎడిటర్గా పనిచేశారు. ఈమె షో పేరు డెమోక్రసీ లైవ్. జూలై 2019లో, తిరంగా టీవీ యజమానులు కపిల్ సిబల్, అతని భార్య ప్రమీలా సిబల్ ఈమెను 'క్రమశిక్షణా కారణాల'తో తొలగించారని నివేదికలు వెలువడ్డాయి. సిబల్స్ చేసిన ఈ సంఘటనల సంస్కరణను దత్ వివాదం చేశారు, ఇతర సిబ్బంది పట్ల వ్యవహరించినందుకు వ్యతిరేకంగా అంతర్గత ఇమెయిల్లలో మాట్లాడినందుకు ఈమెను తొలగించారని, ఛానెల్ యజమానులపై కోర్టులో దావా వేస్తానని ప్రతిజ్ఞ చేశారు. ''' 2010 రాడియా టేపుల వివాదం '''నవంబర్ 2010లో, OPEN, Outlook పత్రికలు నీరా రాడియా మధ్య కొంతమంది సీనియర్ జర్నలిస్టులు, రాజకీయ నాయకులు, కార్పొరేట్లతో జరిగిన కొన్ని టెలిఫోన్ సంభాషణల ట్రాన్స్క్రిప్ట్లను ప్రచురించాయి. సెంట్రల్ బ్యూరో ఆఫ్ ఇన్వెస్టిగేషన్ తమ వద్ద రాడియా చేసిన 5, 851 ఫోన్ సంభాషణల రికార్డింగ్లు ఉన్నాయని ప్రకటించింది, వాటిలో కొన్ని 2G స్పెక్ట్రమ్ విక్రయానికి సంబంధించి బ్రోకర్ ఒప్పందాలకు రాడియా చేసిన ప్రయత్నాలను వివరిస్తాయి. రాడియాతో దత్ సంభాషణలు నివేదించబడ్డాయి, టేపుల కుంభకోణానికి దత్ ముఖంగా మారాడు. 30 నవంబర్ 2010న, NDTVలో ప్రసారమైన ఒక కార్యక్రమంలో తన సహచరుల జ్యూరీ ముందు దత్ తనను తాను సమర్థించుకుంది. ఈ సమస్యపై దత్ క్షమాపణలు చెప్పింది, ఇది తన పక్షాన ""తీర్పు, పొరపాటు"" అని చెప్పింది, అయితే తాను ఎలాంటి తప్పు చేయలేదని చెప్పింది. మ్యాగజైన్ ఎడిటర్ హర్తోష్ సింగ్ బాల్ మాట్లాడుతూ, ""ఎన్డిటివి, తెహల్కా, సామీప్యత ఆందోళన కలిగిస్తుంది, కాంగ్రెస్తో వారి సాన్నిహిత్యం రహస్యం కాదు. "
470,Barry Gardiner,,
471,Barsane Lal Chaturvedi,,
472,Barun Mazumder,,
473,Basanti Bisht,,
474,Basanti Devi,,
475,Basanti Dulal Nagchaudhuri,,
476,Basantibala Jena,,
477,Basavapatna Narayana Balakrishna Rao,,
478,Basavaraj Rajguru,,
479,Bashir Badr,,
480,Bashir Hussain Zaidi,,
481,Batakrushna Sahoo,,
482,Batchu Lutchmiah Srinivasa Murthy,,
483,Baua Devi,,
484,Begum Aizaz Rasul,,
485,Begum Akhtar,,
486,Begum Akhtar,,
487,Begum Mumtaz Jehan Mirza,,
488,Begum Parveen Sultana,,
489,Begum Zaffar Ali,,
490,Behram Contractor,,
491,Bellary Shamanna Kesavan,,
492,Ben Kingsley,,
493,Benichandra Jamatia,,
494,Benjamin A. Gilman,,
495,Benjamin Peary Pal,,
496,Benode Behari Mukherjee,,
497,Benoy Bhushan Ghosh,,
498,Benudhar Sharma,,
499,Bernard Peters,,
500,Bertha Gyndykes Dkhar,,
501,Bettina Baumer,,
502,Bhabani Charan Mukharji,,
503,Bhabani Charan Pattanayak,,
504,Bhabatosh Datta,,
505,Bhabendra Nath Saikia,,
506,Bhag Mehta,,
507,Bhagaban Sahu,,
508,Bhagat Puran Singh,,
509,Bhagavatula Dattaguru,,
510,Bhagirathi Devi,,
511,Bhagwan Sahay,,
512,Bhagwant Javhermal Shahaney,,
513,Bhagwantrao Mandloi,,
514,Bhagwat Murmu,,
515,Bhagwat Sinha Mehta,,
516,Bhagwati Charan Verma,,
517,Bhagyashree Thipsay,,
518,Bhajan Sopori,,
519,Bhajju Shyam,,
520,Bhakta B. Rath,,
521,Bhakti Yadav,,
522,Bhalchandra Babaji Dikshit,,
523,Bhalchandra Dattatray Mondhe,,
524,Bhalchandra Digambar Garware,,
525,Bhalchandra Nemade,,
526,Bhalchandra Nilkanth Purandare,,
527,Bhalchandra Udgaonkar,,
528,Bhalindra Singh,,
529,Bharat Bhushan,,
530,Bharat Bhushan Tyagi,,
531,Bharat Goenka,,
532,Bharat Mishra,,
533,Bharat Ram,,
534,Bharath Gopi,,
535,Bharathi Vishnuvardhan,,
536,Bharathiraja,,
537,Bharati Shivaji,,
538,Bhargavaram Viththal Varerkar,,
539,Bhaurao Krishnaji Gaikwad,,
540,Bhaurao Patil,,
541,Bhavarlal Jain,,
542,Bhawana Somaaya,,
543,Bhawani Prasad Tiwari,,
544,Bhikham Lal Atreya,,
545,Bhikhu Parekh,,
546,Bhikhubhai Khushalbhai Naik,,
547,Bhikhudan Gadhvi,,
548,Bhimsen Joshi,,
549,Bhisham Sahni,,
550,Bhishan Saroop Bansal,,
551,Bhogilal Pandya,,
552,Bhola Nath,,
553,Bhola Nath Jha,,
554,Bhola Nath Mullik,,
555,Bholabhai Patel,,
556,Bhupathiraju Somaraju,,
557,Bhupati Mohan Sen,,
558,Bhupen Hazarika,,
559,Bhupen Khakhar,,
560,Bhuri Bai,,
561,Bhuvneshwari Kumari,,
562,Bibek Debroy,,
563,Bijoy Chandra Bhagavati,,
564,Bijoy Nandan Shahi,,
565,Bikash Bhattacharjee,,
566,Bikash Sinha,,
567,Bilat Paswan Vihangam,,
568,Bilkees I. Latif,,
569,Bill Gates,,
570,Billy Arjan Singh,,
571,Bimal Krishna Matilal,,
572,Bimal Kumar Bachhawat,,
573,Bimal Kumar Jain,,
574,Bimal Kumar Roy,,
575,Bimal Patel,,
576,Bimal Prashad Jain,,
577,Bimala Prasad Chaliha,,
578,Biman Bihari Das,,
579,Bimla Poddar,,
580,Bina Agarwal,,
581,Bina Das,,
582,Binapani Mohanty,,
583,Binay Ranjan Sen,,
584,Bindeshwar Pathak,,
585,Bindeshwari Prasad Verma,,
586,Bindhyabasini Devi,,
587,Binny Yanga,,
588,Binod Kanungo,,
589,Bipan Chandra,"In April 2016, right-wing activist Dinanath Batra sought a ban on Chandra's bestselling India's Struggle for Independence because of a misunderstanding of the terminology used in it.","ఏప్రిల్ 2016లో, మితవాద కార్యకర్త దీనానాథ్ బాత్రా చంద్ర, అత్యధికంగా అమ్ముడైన భారతదేశ స్వాతంత్ర్య పోరాటంలో ఉపయోగించబడిన పదజాలాన్ని తప్పుగా అర్థం చేసుకున్నందున నిషేధించాలని కోరాడు. "
590,Bipin Ganatra,,
591,Bir Bhan Bhatia,,
592,Biren De,,
593,Biren Kumar Basak,,
594,Birendra Nath Datta,,
595,Birendra Nath Ganguli,,
596,Birendranath Sircar,,
597,Birju Maharaj,"After his death, several Kathak performers accused Maharaj of sexual abuse. Some of the accusers were minors at the time of the alleged abuse.  The allegations, however, are unconfirmed yet.","అతని మరణానంతరం, అనేక మంది కథక్ కళాకారులు మహారాజ్ లైంగిక వేధింపులకు పాల్పడ్డారని ఆరోపించారు. ఆరోపించిన దుర్వినియోగం సమయంలో నిందితులలో కొందరు మైనర్లు. అయితే ఆరోపణలు ఇంకా ధృవీకరించబడలేదు. "
598,Birkha Bahadur Limboo Muringla,,
599,Bishamber Khanna,,
600,Bishambhar Nath Pande,,
601,Bishan Lal Raina,,
602,Bishan Man Singh,,
