,Recipients,WikiLink,Padma Shri Year,Padma Shri State,Padma Shri Field,Padma Shri Awarded By,Padma Bhushan Year,Padma Bhushan State,Padma Bhushan Field,Padma Bhushan Awarded By,Padma Vibhushan Year,Padma Vibhushan State,Padma Vibhushan Field,Padma Vibhushan Awarded By,Born,Birth Date,Place of Birth,Died,Death Date,Place of Death,Nationality,Spouse,Alma mater,Institutions,Other Awards including Padma,Occupation,Election Year,Posthumus
10,Akhil Chandra Mitra,,1954.0,"Uttar Pradesh, India",Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
11,Apa Saheb Bala Saheb Pant,https://en.wikipedia.org/wiki/Apa_Saheb_Bala_Saheb_Pant,1954.0,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,,,"11 September 1912
Aundh State,British India(present-dayMaharashtra, India)",2012-09-11 00:00:00,"Aundh State,British India(present-dayMaharashtra, India)","5 October 1992
Pune,Maharashtra, India",1992-10-05 00:00:00,"Pune,Maharashtra, India",,,"University of Bombay
University of Oxford",,Padma Shri(1954),"Diplomat, freedom fighter",No,No
12,Mirnamayee Ray,,1954.0,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
13,Machani Somappa,https://en.wikipedia.org/wiki/Machani_Somappa,1954.0,"Andhra Pradesh, India",Public Affairs,Rajendra Prasad,,,,,,,,,"1904
Yemmiganur,Kurnool,Andhra Pradesh, India",1904.0,"Yemmiganur,Kurnool,Andhra Pradesh, India","yemmiganur,Kurnool",nan,nan,,,,,Padma Shri,"Social worker, industrialist",No,No
14,S. P. P. Thorat,https://en.wikipedia.org/wiki/S._P._P._Thorat,1954.0,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,,,"(1906-08-12)12 August 1906
Vadgaon,Kolhapur State,British India",(1906-08-12)12 August 1906,"Vadgaon,Kolhapur State,British India",10 August 1992(1992-08-10)(aged 85),10 August 1992(1992-08-10)(aged 85),nan,,,,,"Kirti Chakra
Padma Shri
Distinguished Service Order",,No,No
15,Perakath Verghese Benjamin,https://en.wikipedia.org/wiki/Perakath_Verghese_Benjamin,1955.0,"Kerala, India",Medicine,Rajendra Prasad,,,,,,,,,"Kerala, India",nan,nan,nan,nan,nan,,,,,Padma Shri,,No,No
16,Kewal Singh Choudhary,https://en.wikipedia.org/wiki/Kewal_Singh,1955.0,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
17,Zarina Currimbhoy,,1955.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
18,Digamber Vasudev Joglekar,,1955.0,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
19,Sidda Nath Kaul,,1955.0,Delhi/India,Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
20,Manak Jehangir Bhickaji Maneckji,,1955.0,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
21,Humayun Mirza,,1955.0,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
22,Habibur Rahman,,1955.0,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
23,Laxminarayan Sahu,https://en.wikipedia.org/wiki/Laxminarayan_Sahu,1955.0,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,,,,"Keertan Sahu Shiv Narayan Sahu
13 January 2003
Karondi, Shahpura",2003-01-13 00:00:00,nan,nan,nan,nan,,,,,,Indian Army Under Training,No,No
24,Omkarnath Thakur,https://en.wikipedia.org/wiki/Omkarnath_Thakur,1955.0,"Gujarat, India",Arts,Rajendra Prasad,,,,,,,,,"(1897-06-24)24 June 1897[1]
Jahaj,Khambhat (Gujarat)Baroda State,Bombay Presidency,British India(present-dayGujarat,India)",(1897-06-24)24 June 1897[1],"Jahaj,Khambhat (Gujarat)Baroda State,Bombay Presidency,British India(present-dayGujarat,India)","29 December 1967(1967-12-29)(aged 70)[2]
Bombay,Maharashtra,India(present-dayMumbai)",29 December 1967(1967-12-29)(aged 70)[2],"Bombay,Maharashtra,India(present-dayMumbai)",,,,,,,No,No
25,Sohan Singh Bhakna,https://en.wikipedia.org/wiki/Sohan_Singh_Bhakna,1956.0,"Punjab, India",Medicine,Rajendra Prasad,,,,,,,,,"22 January 1870
Khutrai Khurd,British India",22 January 1870,"Khutrai Khurd,British India","21 December 1968 (Aged 98)
Amritsar,India",21 December 1968 (Aged 98),"Amritsar,India",,,,,,,No,No
26,Surya Kumar Bhuyan,https://en.wikipedia.org/wiki/Surya_Kumar_Bhuyan,1956.0,"Rajasthan, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1892-01-27)27 January 1892
Fauzdaripatty,Nagaon district, Assam",(1892-01-27)27 January 1892,"Fauzdaripatty,Nagaon district, Assam","1964 (aged 71–72) -->
Fauzdaripatty, Nagaon, Assam",1964 (aged 71–72) -->,"Fauzdaripatty, Nagaon, Assam",Indian,,,,Padma Shri,"Writer, Lecturer",No,No
27,Mohan Lal,,1956.0,"Uttar Pradesh, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
28,Satish Chandra Majumdar,,1956.0,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
29,Sukhdev Pande,,1956.0,"Uttarakhand, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
30,Sthanam Narasimha Rao,https://en.wikipedia.org/wiki/Sthanam_Narasimha_Rao,1956.0,"Andhra Pradesh, India",Arts,Rajendra Prasad,,,,,,,,,"23 September 1902
Bapatla,Andhra Pradesh, India",2002-09-23 00:00:00,"Bapatla,Andhra Pradesh, India",1971-02-21 00:00:00,1971-02-21 00:00:00,nan,,,,,"Sangeet Natak Akademi Award(1961)
Padma Shri(1956)",,No,No
31,Isaac Santra,https://en.wikipedia.org/wiki/Isaac_Santra,1956.0,"West Bengal, India",Medicine,Rajendra Prasad,,,,,,,,,"3 November 1892
Sambalpur,Odisha, India",3 November 1892,"Sambalpur,Odisha, India","29 August 1968(1968-08-30)(aged 75)
Sambalpur,Odisha, India",29 August 1968(1968-08-30)(aged 75),"Sambalpur,Odisha, India",,Rajkumari Das,,,"Padma Shri
Rai Saheb",Physician,No,No
32,Jaswantrai Jayantilal Anjaria,,1957.0,"Maharashtra, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
33,Atmaram Ramchand Chellani,,1957.0,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
34,Laxman Mahadeo Chitale,https://en.wikipedia.org/wiki/Laxman_Mahadeo_Chitale,1957.0,"Maharashtra, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"1892
Ratnagiri,Maharashtra, India",1892.0,"Ratnagiri,Maharashtra, India",1960.0,1960.0,nan,,,,,"Padma Shri
RIBAFellowship",Architect,Yes,No
35,Nalini Bala Devi,https://en.wikipedia.org/wiki/Nalini_Bala_Devi,1957.0,"Assam, India",Literature and Education,Rajendra Prasad,,,,,,,,,"23 March 1898
Guwahati, Assam",23 March 1898,"Guwahati, Assam",1977-12-24 00:00:00,1977-12-24 00:00:00,nan,Indian,Jibeswar Changkakoti,,,"Sahitya Akademi Award
Padma Shri","Poet, writer",Yes,No
36,Narayan Swami Dharmarajan,,1957.0,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
37,Ram Prakash Gehlote,https://en.wikipedia.org/wiki/Ram_Prakash_Gehlote,1957.0,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
38,Thackkadu Natesasastrigal Jagadisan,,1957.0,"Tamil Nadu, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
39,Sudhir Khastgir,https://en.wikipedia.org/wiki/Sudhir_Khastgir,1957.0,"Uttar Pradesh, India",Arts,Rajendra Prasad,,,,,,,,,"(1907-09-24)24 September 1907
Chittagong,Bangladesh",(1907-09-24)24 September 1907,"Chittagong,Bangladesh","6 June 1974(1974-06-06)(aged 66)
Kolkata,West Bengal,India",6 June 1974(1974-06-06)(aged 66),"Kolkata,West Bengal,India",Indian,,,,,,Yes,No
40,Ralengnao Khathing,https://en.wikipedia.org/wiki/Ralengnao_Khathing,1957.0,"Manipur, India",Public Affairs,Rajendra Prasad,,,,,,,,,"28 February 1912
Ukhrul, Manipur, India",2012-02-28 00:00:00,"Ukhrul, Manipur, India","12 January 1990
Mantripukhri,Imphal, Manipur, India",1990-01-12 00:00:00,"Mantripukhri,Imphal, Manipur, India",,,,,"Padma Shri
Member of the Order of the British Empire
Military Cross
C-in-CGallantry Certificate","Army major, civil servant, diplomat",Yes,No
41,Dwaram Venkataswamy Naidu,https://en.wikipedia.org/wiki/Dwaram_Venkataswamy_Naidu,1957.0,"Andhra Pradesh, India",Arts,Rajendra Prasad,,,,,,,,,"(1893-11-08)8 November 1893
Bangalore, India",(1893-11-08)8 November 1893,"Bangalore, India",25 November 1964 (aged 71),25 November 1964 (aged 71),nan,,,,,,,Yes,No
42,S. R. Ranganathan,https://en.wikipedia.org/wiki/S._R._Ranganathan,1957.0,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,,,"Shiyali Ramamrita Ranganathan
(1892-08-12)12 August 1892
shiyali,British India(present-dayTamil Nadu,India)",(1892-08-12)12 August 1892,nan,"27 September 1972 (aged 80)
Bangalore, India",27 September 1972 (aged 80),"Bangalore, India",Indian,,,,Padma Shri(1957),"Librarian, author, academic, mathematician",Yes,No
43,Samarendranath Sen,,1957.0,"West Bengal, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,Yes,No
44,Khushdeva Singh,https://en.wikipedia.org/wiki/Khushdeva_Singh,1957.0,"Punjab, India",Medicine,Rajendra Prasad,,,,,,,,,"Patiala,Punjab, India",nan,nan,nan,nan,nan,,,,,Padma Shri,Physician,Yes,No
45,Debaki Bose,https://en.wikipedia.org/wiki/Debaki_Bose,1958.0,"West Bengal, India",Arts,Rajendra Prasad,,,,,,,,,"Debaki Kumar Bose
1898(1898)",1898(1898),nan,1971 (aged 72–73),1971 (aged 72–73),nan,,,,,,,No,No
46,Punamalai Ekambaranathan,,1958.0,"Tamil Nadu, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
47,Fatima Ismail,,1958.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
48,Shambhu Maharaj,https://en.wikipedia.org/wiki/Shambhu_Maharaj,1958.0,"Uttar Pradesh, India",Arts,Rajendra Prasad,,,,,,,,,"1910
India",1910.0,India,"4 November 1970(1970-11-04)(aged 59–60)
New Delhi, India",4 November 1970(1970-11-04)(aged 59–60),"New Delhi, India",Indian,,,,,Indian classical musicdancer,No,No
49,Nargis,https://en.wikipedia.org/wiki/Nargis,1958.0,"Maharashtra, India",Arts,Rajendra Prasad,,,,,,,,,"Fatima Rashid[1]
(1929-06-01)1 June 1929
Calcutta,Bengal Presidency,British India",Fatima Rashid[1],"(1929-06-01)1 June 1929
Calcutta,Bengal Presidency,British India","3 May 1981(1981-05-03)(aged 51)
Bombay,Maharashtra, India",3 May 1981(1981-05-03)(aged 51),"Bombay,Maharashtra, India",,"Sunil Dutt
​​(m.1958)​",,,Filmfare Award for Best Actress(1958)National Film Award(1968),Actresspolitician,No,No
50,Bal Raj Nijhawan,https://en.wikipedia.org/wiki/Bal_Raj_Nijhawan,1958.0,Spain,Science and Engineering,Rajendra Prasad,,,,,,,,,"22 September 1915
Lyallpur,British India",2015-09-22 00:00:00,"Lyallpur,British India",2014-04-06 00:00:00,2014-04-06 00:00:00,nan,,Pushpa,,,"Padma Shri
Shanti Swarup Bhatnagar Prize
Iron and Steel Institute of Japan Gold Medal
Government of Yugoslavia Award
International AwardGovernment of Poland
Government of CzechoslovakiaAward of Honour and Gold Medal
Banaras Hindu UniversityDistinguished Alumnus Award",Metallurgist,No,No
51,Navalpakkam Parthasarthy,https://en.wikipedia.org/wiki/Navalpakkam_Parthasarthy,1958.0,United Arab Emirates,Science and Engineering,Rajendra Prasad,,,,,,,,,"8 April 1900
India",2000-04-08 00:00:00,India,1993-01-04 00:00:00,1993-01-04 00:00:00,nan,,,,,"Padma Shri
Rural Development Agency, South Korea Gold Medal",,No,No
52,Balwant Sing Puri,,1958.0,"Punjab, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
53,Lakshminarayana Pulram Ananthakrishnan Ramdas,,1958.0,Delhi/India,Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
54,Devika Rani,https://en.wikipedia.org/wiki/Devika_Rani,1958.0,"Karnataka, India",Arts,Rajendra Prasad,,,,,,,,,"Devika Rani Chaudhuri
(1908-03-30)30 March 1908
Vizagapatam,Madras Presidency,British India(present-dayVisakhapatnam,Andhra Pradesh,India)",(1908-03-30)30 March 1908,nan,"9 March 1994(1994-03-09)(aged 85)
Bangalore,Karnataka, India",9 March 1994(1994-03-09)(aged 85),"Bangalore,Karnataka, India",,Himanshu Rai(1929–1940)[1]Svetoslav Roerich(1945–1993),,,Dadasaheb Phalke Award(1969),"Textile designer, actress, singer",No,No
55,Argula Nagaraja Rao,,1958.0,"Andhra Pradesh, India",Trade and Industry,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
56,Ram Singh,,1958.0,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
57,Kunwar Digvijai Singh,https://en.wikipedia.org/wiki/K._D._Singh,1958.0,"Uttar Pradesh, India",Sports,Rajendra Prasad,,,,,,,,,"(1922-02-02)2 February 1922
Barabanki,United Provinces,
British India",(1922-02-02)2 February 1922,"Barabanki,United Provinces,
British India","27 March 1978(1978-03-27)(aged 56)
Lucknow,Uttar Pradesh,India",27 March 1978(1978-03-27)(aged 56),"Lucknow,Uttar Pradesh,India",,,,,,,No,No
58,R. S. Subbalakshmi,https://en.wikipedia.org/wiki/R._S._Subbalakshmi,1958.0,"Tamil Nadu, India",Social Work,Rajendra Prasad,,,,,,,,,"(1886-08-18)18 August 1886
Mylapore, Madras, India",(1886-08-18)18 August 1886,"Mylapore, Madras, India","20 December 1969(1969-12-20)(aged 83)
Madras",20 December 1969(1969-12-20)(aged 83),Madras,,,,,"Kaiser-i-Hindaward,Padma Shreeaward","Social reformer,educationist, Member ofMadras Legislative Council,Madras Presidency",No,No
59,Ram Chandra Varma,,1958.0,"Uttar Pradesh, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
60,Magan Lal Tribhuvandas Vyas,,1958.0,"Gujarat, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
61,K. S. Chandrasekharan,https://en.wikipedia.org/wiki/K._S._Chandrasekharan,1959.0,"Tamil Nadu, India",Literature and Education,Rajendra Prasad,,,,,,,,,"(1920-11-21)21 November 1920
Bapatla,Guntur District,Madras Presidency,British India(nowAndhra Pradesh,India)",(1920-11-21)21 November 1920,"Bapatla,Guntur District,Madras Presidency,British India(nowAndhra Pradesh,India)","13 April 2017(2017-04-13)(aged 96)
Zurich",13 April 2017(2017-04-13)(aged 96),Zurich,,,,"TIFR,ETH Zurich","Srinivasa Ramanujan Medal(1966),Padma Shri(1959),Shanti Swarup Bhatnagar Awardfor Mathematical Sciences (1963)",Mathematician,No,No
62,Sailabala Das,https://en.wikipedia.org/wiki/Sailabala_Das,1959.0,"Odisha, India",Social Work,Rajendra Prasad,,,,,,,,,"Shoila Bala Hazra
(1875-03-25)25 March 1875[1]
Chakraberia Road,Bhowanipore, Calcutta",(1875-03-25)25 March 1875[1],nan,29 April 1968(1968-04-29)(aged 93),29 April 1968(1968-04-29)(aged 93),nan,,,"Bethune College,Maria Grey Training College[2]",,,,No,No
63,Manchar Balvant Diwan,,1959.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
64,Mary Ratnamma Issac,,1959.0,"Karnataka, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
65,Lakshman Singh Jangpangi,https://en.wikipedia.org/wiki/Lakshman_Singh_Jangpangi,1959.0,"Odisha, India",Social Work,Rajendra Prasad,,,,,,,,,"24 July 1905
Burfu,Johar Valley,Uttarakhand, India",2005-07-24 00:00:00,"Burfu,Johar Valley,Uttarakhand, India",1976.0,1976.0,nan,,,,,Padma Shri,,No,No
66,Surendranath Kar,https://en.wikipedia.org/wiki/Surendranath_Kar,1959.0,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"5 March 1892
Bihar, India",5 March 1892,"Bihar, India",1970-08-02 00:00:00,1970-08-02 00:00:00,nan,,,,,Padma Shri,"Artist, architect",No,No
67,Ganesh Gobind Karkhanis,,1959.0,"Karnataka, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
68,Parixitalal Lallu Bhai Majumdar,,1959.0,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
69,Mathew Kandathil Mathulla,,1959.0,"Karnataka, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
70,Om Prakash Mathur,https://en.wikipedia.org/wiki/Om_Prakash_Mathur,1959.0,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,,,,"(1952-01-02)2 January 1952(age 69)
Falna,Rajasthan,India",(1952-01-02)2 January 1952(age 69),"Falna,Rajasthan,India",nan,nan,nan,,,,,,,No,No
71,Pratapri Girdhari Lal Mehta,,1959.0,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
72,Onkar Srinivasa Murthy,,1959.0,"Tamil Nadu, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
73,Balwant Singh Nag,,1959.0,"Punjab, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
74,Parameswaran Kuttapp Panikkar,,1959.0,"Kerala, India",Civil Service,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
75,Shivaji Ganesh Patwardhan,,1959.0,"Maharashtra, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
76,Atma Ram,https://en.wikipedia.org/wiki/Atma_Ram_(scientist),1959.0,"West Bengal, India",Trade and Industry,Rajendra Prasad,,,,,,,,,(1908-10-12)12 October 1908,(1908-10-12)12 October 1908,nan,"6 February 1983(1983-02-06)(aged 74)
Delhi,India",6 February 1983(1983-02-06)(aged 74),"Delhi,India",Indian,,,"Central Glass and Ceramic Research Institute
Council of Scientific and Industrial Research",Padma Shri(1959),,No,No
77,Milkha Singh,https://en.wikipedia.org/wiki/Milkha_Singh,1959.0,Chandigarh/India,Sports,Rajendra Prasad,,,,,,,,,"(1929-11-20)20 November 1929
Govindpura,Punjab,British India
(present-dayPunjab,Pakistan)",(1929-11-20)20 November 1929,"Govindpura,Punjab,British India
(present-dayPunjab,Pakistan)","18 June 2021(2021-06-18)(aged 91)
Chandigarh,India",18 June 2021(2021-06-18)(aged 91),"Chandigarh,India",Indian,Nirmal Saini​​(m.1963; died 2021)​,,,Padma Shri,Athlete,No,No
78,Badri Nath Uppal,,1959.0,Chandigarh/India,Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
79,Rustomji Marwanji Alpaiwala,,1960.0,"Maharashtra, India",Public Affairs,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
80,Nanabhai Bhatt,https://en.wikipedia.org/wiki/Nanabhai_Bhatt_(Lokbharti),1960.0,"Maharashtra, India",Social Work,Rajendra Prasad,,,,,,,,,"11 November 1882
Bhavnagar,Gujarat,India",11 November 1882,"Bhavnagar,Gujarat,India","31 December 1961
(age 79)
Bhavnagar,Gujarat,India",1961-12-31 00:00:00,"(age 79)
Bhavnagar,Gujarat,India",,,,,,,No,No
81,Anil Kumar Das,,1960.0,"West Bengal, India",Science and Engineering,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
82,Bina Das,https://en.wikipedia.org/wiki/Bina_Das,1960.0,"West Bengal, India",Social Work,Rajendra Prasad,,,,,,,,,"24 August 1911(1911-08-24)
Krishnanagar,Bengal Province,British India",24 August 1911(1911-08-24),"Krishnanagar,Bengal Province,British India","26 December 1986(1986-12-27)(aged 75)
Rishikesh, Uttarakhand, India",26 December 1986(1986-12-27)(aged 75),"Rishikesh, Uttarakhand, India",,,,,Padma Shri Award,,No,No
83,Kalpathy Ram Iyer Doraiswamy,,1960.0,"Tamil Nadu, India",Medicine,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
84,Vijay Hazare,https://en.wikipedia.org/wiki/Vijay_Hazare,1960.0,"Gujarat, India",Sports,Rajendra Prasad,,,,,,,,,"(1915-03-11)11 March 1915
Sangli,Bombay Presidency,British India",(1915-03-11)11 March 1915,"Sangli,Bombay Presidency,British India","18 December 2004(2004-12-18)(aged 89)
Vadodara,Gujarat, India",18 December 2004(2004-12-18)(aged 89),"Vadodara,Gujarat, India",,,,,,,No,No
85,Bellary Shamanna Kesavan,https://en.wikipedia.org/wiki/B._S._Kesavan,1960.0,"Karnataka, India",Literature and Education,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
86,Artaballabha Mohanty,https://en.wikipedia.org/wiki/Artaballabha_Mohanty,1960.0,"Odisha, India",Literature and Education,Rajendra Prasad,,,,,,,,,"30 July 1887(1887-07-30)
Cuttack, Odisha, India",30 July 1887(1887-07-30),"Cuttack, Odisha, India",30 July 1969(1969-00-00)(aged 81–82),30 July 1969(1969-00-00)(aged 81–82),nan,,,,,Padma Shri,,No,No
87,Dahyabhai Jivaji Naik,,1960.0,"Gujarat, India",Social Work,Rajendra Prasad,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,No,No
88,Jasu Patel,https://en.wikipedia.org/wiki/Jasu_Patel,1960.0,"Gujarat, India",Sports,Rajendra Prasad,,,,,,,,,"(1924-11-26)26 November 1924
Ahmedabad,British India(presently inGujarat,india)",(1924-11-26)26 November 1924,"Ahmedabad,British India(presently inGujarat,india)","12 December 1992(1992-12-12)(aged 68)
Ahmedabad, Gujarat, India",12 December 1992(1992-12-12)(aged 68),"Ahmedabad, Gujarat, India",,,,,,,No,No
89,Nuthakki Bhanu Prasad,https://en.wikipedia.org/wiki/Nuthakki_Bhanu_Prasad,1960.0,"Andhra Pradesh, India",Civil Service,Rajendra Prasad,,,,,,,,,"21 February 1928
Vijayawada,Andhra Pradesh, India",2028-02-21 00:00:00,"Vijayawada,Andhra Pradesh, India","29 April 2013
Hyderabad, India",2013-04-29 00:00:00,"Hyderabad, India",,Pendyala Ananthalakshmi,,,"Padma Shri
Petrotech Lifetime Achievement Award","Chemical engineer, bureaucrat,Industrialist",No,No
